Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Forfattere og værker,Hvem skabte drengen Silas i en række børnebøger?,100,Cecil Bødker,Ole Lund Kirkegaard,Bjarne Reuter,Lene Kaaberbøl,,,,Silas og den sorte hoppe,https://forfatterweb.dk/oversigt/boedker/boedker2,OK – åbnet/verificeret,2026-07-09,Underbygger Cecil Bødker og Silas-serien.
Forfattere og værker,Hvem skrev kriminalromanen “Mord i mørket”?,200,Dan Turèll,Anders Bodelsen,Jussi Adler-Olsen,Leif Davidsen,,,,Genrer og tematikker,https://forfatterweb.dk/oversigt/turell-dan/zturell5,OK – åbnet/verificeret,2026-07-09,"Underbygger Dan Turèlls Mord-serie, der starter med Mord i mørket."
Forfattere og værker,Hvem skrev romanen “Rend mig i traditionerne”?,300,Leif Panduro,Klaus Rifbjerg,Villy Sørensen,Hans Scherfig,,,,"Panduro, Leif",https://forfatterweb.dk/oversigt/zpanduro00,OK – åbnet/verificeret,2026-07-09,Underbygger Leif Panduro og Rend mig i traditionerne.
Forfattere og værker,Hvem skrev ungdomsromanen “Martin & Victoria”?,400,Klaus Lynggaard,Bjarne Reuter,Bent Haller,Martha Christensen,,,,Martin og Victoria,https://forfatterweb.dk/oversigt/zlynggaard00/zlynggaard06,OK – åbnet/verificeret,2026-07-09,Underbygger Klaus Lynggaard og Martin & Victoria.
Forfattere og værker,Hvem skrev romanen “Nordkraft”?,500,Jakob Ejersbo,Morten Pape,Thomas Korsgaard,Jonas Eika,,,,Nordkraft,https://forfatterweb.dk/oversigt/zejersboja00/zejersboja05,OK – åbnet/verificeret,2026-07-09,Underbygger Jakob Ejersbos Nordkraft og romanens Aalborg-miljø.
Forfattere og værker,Hvem skrev novellesamlingen “Radiator”?,600,Jan Sonnergaard,Naja Marie Aidt,Simon Fruelund,Jens Blendstrup,,,,Minimalisme i 1990'erne,https://forfatterweb.dk/oversigt/perioder/minimalisme-i-1990erne,OK – åbnet/verificeret,2026-07-09,"Underbygger Jan Sonnergaards Radiator, minimalismeperioden og samtidsskildringer/dirty realism-kontekst."
Forfattere og værker,Hvem skrev romanen “Planen”?,700,Morten Pape,Jakob Ejersbo,Thomas Korsgaard,Kim Leine,,,,Morten Pape,https://forfatterweb.dk/oversigt/pape-morten,OK – åbnet/verificeret,2026-07-09,Underbygger Morten Pape og romanen Planen.
Forfattere og værker,Hvem skrev romanen “De ansatte”?,800,Olga Ravn,Solvej Balle,Asta Olivia Nordenhof,Theis Ørntoft,,,,De ansatte,https://forfatterweb.dk/oversigt/ravn-olga/ansatte,OK – åbnet/verificeret,2026-07-09,Underbygger Olga Ravn og romanen De ansatte.
Perioder og strømninger,Hvilken efterkrigsforfatter skrev novellesamlingen “Sære historier”?,100,Villy Sørensen,Martin Andersen Nexø,Johannes Ewald,Jeppe Aakjær,,,,Villy Sørensen,https://forfatterweb.dk/oversigt/soerensen-villy,OK – åbnet/verificeret,2026-07-09,Underbygger Villy Sørensen og Sære historier.
Perioder og strømninger,Hvilken betegnelse bruges om 1960'ernes formeksperimenter hos blandt andre Klaus Rifbjerg og Villy Sørensen?,200,modernisme,realisme,nationalromantik,barok,,,,Villy Sørensen,https://forfatterweb.dk/oversigt/soerensen-villy,OK – åbnet/verificeret,2026-07-09,Underbygger Villy Sørensen og Sære historier.
Perioder og strømninger,"Hvilken poetisk retning arbejder efter tydelige systemer og begrænsninger, som i Inger Christensens “Alfabet”?",300,systemdigtning,lejlighedsdigtning,heltedigtning,bekendelsesprosa,,,,Dansk modernisme,https://forfatterweb.dk/oversigt/perioder/dansk-modernisme,OK – åbnet/verificeret,2026-07-09,"Underbygger dansk modernisme, systemdigtning og Inger Christensens Alfabet."
Perioder og strømninger,"Hvilken type litteratur fik stor betydning i 1970'erne med personlige skildringer af køn, familie og hverdagsliv?",400,kvindelitteratur,ridderromaner,hyrdedigtning,hofsagaer,,,,Kvinderne og 1970'ernes litteratur,https://forfatterweb.dk/oversigt/perioder/kvinderne-og-1970ernes-litteratur,OK – åbnet/verificeret,2026-07-09,Underbygger kvindelitteratur/bekendelseslitteratur i 1970erne.
Perioder og strømninger,Hvilken stil forbindes ofte med Helle Helles knappe sprog og betydningsfulde udeladelser?,500,minimalisme,barok,ekspressionisme,naturromantik,,,,"Helle, Helle",https://forfatterweb.dk/oversigt/zhelle00,OK – åbnet/verificeret,2026-07-09,"Underbygger Helle Helle, Rødby-Puttgarden og minimalistisk stil."
Perioder og strømninger,Hvilken betegnelse bruges ofte om Jan Sonnergaards rå skildringer af samtidens byliv og social ulighed?,600,dirty realism,højromantik,magisk realisme,klassicisme,,,,Minimalisme i 1990'erne,https://forfatterweb.dk/oversigt/perioder/minimalisme-i-1990erne,OK – åbnet/verificeret,2026-07-09,"Underbygger Jan Sonnergaards Radiator, minimalismeperioden og samtidsskildringer/dirty realism-kontekst."
Perioder og strømninger,"Hvad kaldes litteratur, hvor forfatterens eget liv blandes med romanens fiktion?",700,autofiktion,allegori,epigram,versepos,,,,2000'erne,https://forfatterweb.dk/oversigt/perioder/autofiktion,OK – åbnet/verificeret,2026-07-09,Underbygger autofiktion og Yahya Hassan-debuten i 2013.
Perioder og strømninger,"Hvilken strømning er kendetegnet ved ironi, genreblanding og leg med tidligere tekster?",800,postmodernisme,naturalisme,barok,nationalromantik,,,,Perioder,https://forfatterweb.dk/oversigt/perioder,OK – åbnet/verificeret,2026-07-09,"Underbygger litterære perioder og strømninger i dansk litteratur, bl.a. oplysningstid, romantik, modernisme, postmodernisme, minimalisme og autofiktion."
"Figurer, former og genrer","Hvad kaldes en bog, hvor forfatteren fortæller om sit eget liv?",100,selvbiografi,utopi,almanak,libretto,,,,selvbiografi | Den Danske Ordbog,https://ordnet.dk/ddo/ordbog/selvbiografi,OK – åbnet/verificeret,2026-07-09,Underbygger selvbiografi som bog/tekst om forfatterens eget liv.
"Figurer, former og genrer","Hvad kaldes en fortælling, der består af breve mellem personer?",200,brevroman,sonetkrans,kollektivroman,knækprosa,,,,brevroman | Den Danske Ordbog,https://ordnet.dk/ddo/ordbog/brevroman,OK – åbnet/verificeret,2026-07-09,Underbygger brevroman som roman i brevform.
