Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘arrival’?,100,ankomst,afgang,bagage,billetpris,,,,Wiktionary – arrival,https://en.wiktionary.org/wiki/arrival,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “arrival”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘luggage’?,200,bagage,afgang,ankomst,billetpris,,,,Wiktionary – luggage,https://en.wiktionary.org/wiki/luggage,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “luggage”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘fare’?,300,billetpris,afgang,ankomst,bagage,,,,Wiktionary – fare,https://en.wiktionary.org/wiki/fare,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “fare”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘although’?,400,selvom,medmindre,derfor,imens,,,,Wiktionary – although,https://en.wiktionary.org/wiki/although,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “although”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘unless’?,500,medmindre,selvom,derfor,imens,,,,Wiktionary – unless,https://en.wiktionary.org/wiki/unless,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “unless”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘therefore’?,600,derfor,selvom,medmindre,imens,,,,Wiktionary – therefore,https://en.wiktionary.org/wiki/therefore,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “therefore”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘meanwhile’?,700,imens,selvom,medmindre,derfor,,,,Wiktionary – meanwhile,https://en.wiktionary.org/wiki/meanwhile,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “meanwhile”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske udtryk ‘break the ice’?,800,at skabe en afslappet begyndelse,at afslutte et venskab,at tage en stor risiko,at tie helt stille,,,,Wiktionary – break the ice,https://en.wiktionary.org/wiki/break_the_ice,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger idiomet “break the ice” som at starte eller løsne en social situation.
Grammatik og udtale,"Hvilket question tag passer til “She is coming, ___”?",100,isn't she?,doesn't she?,is she?,won't she?,,,,British Council – Question tags,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/question-tags,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger at positiv hovedsætning normalt får negativ tag: “isn’t she?”.
Grammatik og udtale,Hvilken sætning står i passiv?,200,The novel was written in 1949.,The author wrote the novel in 1949.,The author was writing in 1949.,The novel wrote the author.,,,,British Council – Passives,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/passives,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger passiv konstruktion med “be” + past participle: “was written”.
Grammatik og udtale,Hvilket relativt pronomen bruges normalt om en person i “The woman ___ called”?,300,who,which,where,what,,,,British Council – Defining relative clauses,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/relative-clauses-defining-relative-clauses,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger at “who” bruges om personer i relative clauses.
Grammatik og udtale,Hvilken præposition passer i udtrykket “interested ___ music”?,400,in,on,at,for,,,,Wiktionary – interested,https://en.wiktionary.org/wiki/interested,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger konstruktionen “interested in”.
Grammatik og udtale,Hvad betyder phrasal verbet “give up” i “She gave up smoking”?,500,holde op med,uddele,aflevere,opfinde,,,,British Council – Phrasal verbs,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/phrasal-verbs,OK – åbnet,2026-07-09,"Åben grammatikkilde. Underbygger at “give up” kan betyde at holde op med en vane, fx smoking."
Grammatik og udtale,Hvilket begyndelsesbogstav er stumt i ordet “know”?,600,k,n,o,w,,,,Wiktionary – know,https://en.wiktionary.org/wiki/know,OK – åbnet,2026-07-09,"Åbent ordbogsopslag. Underbygger udtalen af “know”, hvor begyndelses-k ikke udtales."
Grammatik og udtale,Hvordan udtales endelsen -ed i “wanted”?,700,som en ekstra stavelse /ɪd/,som /t/,som /d/ uden ekstra stavelse,den udtales slet ikke,,,,Wiktionary – wanted,https://en.wiktionary.org/wiki/wanted,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger udtalen af “wanted” med ekstra stavelse /ɪd/.
Grammatik og udtale,Hvilket udsagn om en almindelig engelsk hovedsætning er mest præcist?,800,den har et finit verbal og normalt et subjekt,den har altid to objekter,den har altid et adjektiv,den ender altid med et spørgsmålstegn,,,,Cambridge Dictionary Grammar – Clauses: finite and non-finite,https://dictionary.cambridge.org/grammar/british-grammar/clauses-finite-and-non-finite,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger at finite/main clauses indeholder et finit verbal og typisk subjekt.
