Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Første Verdenskrig,Hvad kaldes den uofficielle våbenhvile mellem dele af fronten ved julen 1914?,100,Julefreden,Påskefreden,Marnevåbenhvilen,Yprespagten,,,,Wikipedia – Christmas truce,https://en.wikipedia.org/wiki/Christmas_truce,OK,2026-07-09,Åben artikel om julefreden på Vestfronten i 1914.
Første Verdenskrig,Hvilket søslag i 1916 var krigens største sammenstød mellem britiske og tyske flådestyrker?,200,Jyllandsslaget,Doggerbanke-slaget,Dardanellerslaget,Skagerrakraidet,,,,Wikipedia – Battle of Jutland,https://en.wikipedia.org/wiki/Battle_of_Jutland,OK,2026-07-09,Åben artikel om Jyllandsslaget/Battle of Jutland i 1916.
Første Verdenskrig,Hvilket land sluttede sig til Centralmagterne i 1914 og lukkede Dardanellerne for Rusland?,300,Det Osmanniske Rige,Grækenland,Rumænien,Portugal,,,,Wikipedia – Ottoman entry into World War I,https://en.wikipedia.org/wiki/Ottoman_entry_into_World_War_I,OK,2026-07-09,Åben artikel om Det Osmanniske Riges indtræden i Første Verdenskrig og lukning af Dardanellerne.
Første Verdenskrig,"Hvilket telegram lovede tysk støtte til Mexico, hvis landet gik i krig mod USA?",400,Zimmermanntelegrammet,Emsdepechen,Krügertelegrammet,Sykes-Picot-noten,,,,Wikipedia – Zimmermann Telegram,https://en.wikipedia.org/wiki/Zimmermann_Telegram,OK,2026-07-09,Åben artikel om Zimmermanntelegrammet.
Første Verdenskrig,Hvilket slag i 1917 kaldes også Det Tredje Slag ved Ypres?,500,Passchendaele,Cambrai,Amiens,Arras,,,,Wikipedia – Battle of Passchendaele,https://en.wikipedia.org/wiki/Battle_of_Passchendaele,OK,2026-07-09,Åben artikel om Passchendaele/Det Tredje Slag ved Ypres.
Første Verdenskrig,Hvad var Hindenburglinjen?,600,et tysk forsvarssystem på Vestfronten,en britisk søblokade,en russisk jernbane,en fransk allianceaftale,,,,Wikipedia – Hindenburg Line,https://en.wikipedia.org/wiki/Hindenburg_Line,OK,2026-07-09,Åben artikel om Hindenburglinjen som tysk forsvarssystem.
Første Verdenskrig,Hvilken offensiv i august 1918 blev begyndelsen på De Hundrede Dage?,700,Slaget ved Amiens,Forårsoffensiven,Brusilovoffensiven,Gallipolifelttoget,,,,Wikipedia – Battle of Amiens (1918),https://en.wikipedia.org/wiki/Battle_of_Amiens_(1918),OK,2026-07-09,Åben artikel om Slaget ved Amiens 1918 som begyndelsen på De Hundrede Dage.
Første Verdenskrig,Hvilken italiensk front blev gennembrudt ved Caporetto i 1917?,800,Isonzofronten,Vestfronten,Salonika-fronten,Kaukasusfronten,,,,Wikipedia – Battle of Caporetto,https://en.wikipedia.org/wiki/Battle_of_Caporetto,OK,2026-07-09,Åben artikel om Caporetto og gennembruddet på Isonzofronten.
Anden Verdenskrig i Europa,Hvad var Enigma?,100,en tysk chiffermaskine,en britisk radarstation,en sovjetisk kampvogn,en italiensk ubåd,,,,Wikipedia – Enigma machine,https://en.wikipedia.org/wiki/Enigma_machine,OK,2026-07-09,Åben artikel om Enigma-maskinen som tysk chiffermaskine.
Anden Verdenskrig i Europa,Hvem blev leder af Frie Frankrig fra London?,200,Charles de Gaulle,Philippe Pétain,Pierre Laval,Georges Bidault,,,,Wikipedia – Charles de Gaulle,https://en.wikipedia.org/wiki/Charles_de_Gaulle,OK,2026-07-09,Åben artikel om Charles de Gaulle og Frie Frankrig.
Anden Verdenskrig i Europa,"På hvilken dato fejres VE Day, sejren i Europa, i mange vestlige lande?",300,8. maj 1945,9. april 1945,2. september 1945,11. november 1945,,,,Wikipedia – Victory in Europe Day,https://en.wikipedia.org/wiki/Victory_in_Europe_Day,OK,2026-07-09,Åben artikel om Victory in Europe Day 8. maj 1945.
Anden Verdenskrig i Europa,Hvilken hær erobrede Berlin i 1945?,400,Den Røde Hær,Den britiske 8. armé,Den amerikanske 1. armé,Den frie franske hær,,,,Wikipedia – Battle of Berlin,https://en.wikipedia.org/wiki/Battle_of_Berlin,OK,2026-07-09,Åben artikel om Slaget om Berlin og Den Røde Hærs erobring af byen.
Anden Verdenskrig i Europa,Hvilke tre statsledere mødtes på Jalta-konferencen i februar 1945?,500,"Churchill, Roosevelt og Stalin","Truman, de Gaulle og Stalin","Hitler, Mussolini og Hirohito","Churchill, Eisenhower og Tito",,,,Wikipedia – Yalta Conference,https://en.wikipedia.org/wiki/Yalta_Conference,OK,2026-07-09,"Åben artikel om Jalta-konferencen og deltagerne Churchill, Roosevelt og Stalin."
Anden Verdenskrig i Europa,Hvilken ørkenkamp i 1942 standsede aksemagternes fremrykning i Egypten?,600,Det Andet Slag ved El Alamein,Slaget ved Tobruk,Slaget ved Kasserine,Slaget ved Gazala,,,,Wikipedia – Second Battle of El Alamein,https://en.wikipedia.org/wiki/Second_Battle_of_El_Alamein,OK,2026-07-09,Åben artikel om Det Andet Slag ved El Alamein i 1942.
Anden Verdenskrig i Europa,Hvilken konference i juli-august 1945 fastlagde centrale efterkrigsordninger for Tyskland?,700,Potsdamkonferencen,Casablancakonferencen,Teherankonferencen,Münchenkonferencen,,,,Wikipedia – Potsdam Conference,https://en.wikipedia.org/wiki/Potsdam_Conference,OK,2026-07-09,Åben artikel om Potsdamkonferencen i juli-august 1945.
Anden Verdenskrig i Europa,Hvad betegnede kodenavnet Ultra?,800,efterretninger fra brudte aksemagtschifre,den tyske invasion af England,den amerikanske atombombe,det sovjetiske angreb på Berlin,,,,Wikipedia – Ultra,https://en.wikipedia.org/wiki/Ultra,OK,2026-07-09,Åben artikel om Ultra som efterretninger fra brudte aksemagtschifre.
Global krig og Holocaust,Hvad var “den endelige løsning” nazisternes eufemisme for?,100,udryddelsen af Europas jøder,fredsaftalen med Sovjetunionen,invasionen af Storbritannien,delingen af Tyskland,,,,Wikipedia – Final Solution,https://en.wikipedia.org/wiki/Final_Solution,OK,2026-07-09,Åben artikel om den nazistiske “endelige løsning” som udryddelsen af Europas jøder.
Global krig og Holocaust,"Hvad kaldtes japanske piloter, der udførte planlagte selvmordsangreb?",200,kamikazepiloter,samuraivagter,ninjapiloter,shogunflyvere,,,,Wikipedia – Kamikaze,https://en.wikipedia.org/wiki/Kamikaze,OK,2026-07-09,Åben artikel om kamikazepiloter og planlagte selvmordsangreb.
Global krig og Holocaust,"Hvilken befolkningsgruppe blev sammen med jøder udsat for et nazistisk folkedrab, ofte kaldet Porajmos?",300,Roma og sinti,Baskere,Samer,Irere,,,,Wikipedia – Romani Holocaust,https://en.wikipedia.org/wiki/Romani_Holocaust,OK,2026-07-09,"Åben artikel om folkedrabet på roma og sinti, ofte kaldet Porajmos."
Global krig og Holocaust,Hvad var Aktion T4?,400,nazisternes mordprogram mod mennesker med handicap,en ubådskampagne,en plan for invasion af Schweiz,en allieret luftbro,,,,Wikipedia – Aktion T4,https://en.wikipedia.org/wiki/Aktion_T4,OK,2026-07-09,Åben artikel om nazisternes Aktion T4 og mordprogram mod mennesker med handicap.
Global krig og Holocaust,Hvilken tvangsmarch fulgte efter kapitulationen på Bataan-halvøen i 1942?,500,Bataan-dødsmarchen,Den lange march,Burma-marchen,Midway-marchen,,,,Wikipedia – Bataan Death March,https://en.wikipedia.org/wiki/Bataan_Death_March,OK,2026-07-09,Åben artikel om Bataan-dødsmarchen i 1942.
