Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Regning,Hvad er 7 · (5 + 3)?,100,56,40,49,63,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 250 ÷ 5 + 17?,200,67,57,60,77,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 3 · 24 - 16?,300,56,48,60,64,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 1.000 - 468?,400,532,522,542,568,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 32 · 15?,500,480,450,470,510,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Brøker og procent,"Hvad er 12,5 % af 160?",100,20,16,18,25,,,,Khan Academy – Rates and percentages,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,OK,2026-07-09,"Åben undervisningskilde om procent, rabatter, ændringer og procentregning. Underbygger metoden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 7/10 skrevet som procent?,200,70 %,7 %,17 %,700 %,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 30 % af 240?,300,72,60,70,84,,,,Khan Academy – Rates and percentages,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,OK,2026-07-09,"Åben undervisningskilde om procent, rabatter, ændringer og procentregning. Underbygger metoden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 1 1/2 skrevet som decimaltal?,400,"1,5","1,2","1,25","2,5",,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 4/5 ÷ 2/5?,500,2,1,4,8/25,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
