Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Rødder og hjemsteder,I hvilken bydel i New York forbindes hiphoppens fremkomst i 1970'erne især med blokfester?,100,Bronx,Queens,Manhattan,Staten Island,,,,Wikipedia – Hip hop music,https://en.wikipedia.org/wiki/Hip_hop_music,OK,2026-07-09,Åben artikel om hiphoppens fremkomst ved blokfester i Bronx i 1970’erne.
Rødder og hjemsteder,Hvilken caribisk østat er reggae opstået i?,200,Jamaica,Cuba,Barbados,Haiti,,,,Wikipedia – Reggae,https://en.wikipedia.org/wiki/Reggae,OK,2026-07-09,Åben artikel om reggae som jamaicansk musikgenre.
Rødder og hjemsteder,Hvilken hurtig jamaicansk genre gik forud for rocksteady og reggae?,300,ska,samba,salsa,soca,,,,Wikipedia – Ska,https://en.wikipedia.org/wiki/Ska,OK,2026-07-09,Åben artikel om ska som jamaicansk genre før rocksteady og reggae.
Rødder og hjemsteder,"Hvilken jamaicansk studiestil bygger på remix, ekko og fremhævet bas?",400,dub,bossa nova,zydeco,operette,,,,Wikipedia – Dub music,https://en.wikipedia.org/wiki/Dub_music,OK,2026-07-09,"Åben artikel om dub som jamaicansk studiestil med remix, ekko og fremhævet bas."
Rødder og hjemsteder,Hvilken genre fra Trinidad og Tobago er kendt for fortællende sange og karnevalstradition?,500,calypso,fado,raï,klezmer,,,,Wikipedia – Calypso music,https://en.wikipedia.org/wiki/Calypso_music,OK,2026-07-09,"Åben artikel om calypso fra Trinidad og Tobago, karneval og fortællende sange."
Rytmer og instrumenter,Hvilke to roller var centrale ved hiphoppens tidlige blokfester?,100,DJ og MC,dirigent og koncertmester,kantor og organist,komponist og librettist,,,,Wikipedia – Hip hop music,https://en.wikipedia.org/wiki/Hip_hop_music,OK,2026-07-09,Åben artikel om hiphoppens fremkomst ved blokfester i Bronx i 1970’erne.
Rytmer og instrumenter,I hvilken amerikansk by opstod housemusikken i klubmiljøet i begyndelsen af 1980'erne?,200,Chicago,Seattle,Memphis,Boston,,,,Wikipedia – House music,https://en.wikipedia.org/wiki/House_music,OK,2026-07-09,Åben artikel om housemusikkens opståen i Chicago-klubmiljøet.
Rytmer og instrumenter,I hvilken amerikansk by opstod techno som betegnelse for en elektronisk dansemusikscene i 1980'erne?,300,Detroit,Austin,Miami,New Orleans,,,,Wikipedia – Detroit techno,https://en.wikipedia.org/wiki/Detroit_techno,OK,2026-07-09,Åben artikel om Detroit-techno og scenen omkring 1980’ernes elektroniske dansemusik.
Rytmer og instrumenter,Hvilken britisk elektronisk genre bruger hurtige breakbeats og markant bas?,400,drum and bass,ambient,country pop,bolero,,,,Wikipedia – Drum and bass,https://en.wikipedia.org/wiki/Drum_and_bass,OK,2026-07-09,Åben artikel om drum and bass med hurtige breakbeats og markant bas.
Rytmer og instrumenter,Hvilket håndholdt bælginstrument er centralt i mange tangoensembler?,500,bandoneon,melodica,mundharpe,concertina,,,,Wikipedia – Bandoneon,https://en.wikipedia.org/wiki/Bandoneon,OK,2026-07-09,"Fallback-kilde valgt ud fra korrekt svar: Åben oversigtsartikel om genren, kunstneren, instrumentet eller begrebet. Underbygger spørgsmålet og det korrekte svar."
Kunstnere og gennembrud,Hvilken sangerinde blev kendt som “Queen of Disco”?,100,Donna Summer,Janis Joplin,Carole King,Tina Turner,,,,Wikipedia – Donna Summer,https://en.wikipedia.org/wiki/Donna_Summer,OK,2026-07-09,Åben biografisk artikel om Donna Summer og tilnavnet Queen of Disco.
