Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Forfattere og værker,Hvem skrev komedien “Jeppe på Bjerget”?,100,Ludvig Holberg,Adam Oehlenschläger,Johan Herman Wessel,Søren Kierkegaard,,,,Jeppe på Bjerget – Komedie af Ludvig Holberg – Lex,https://lex.dk/Jeppe_p%C3%A5_Bjerget,OK – åbnet/verificeret,2026-07-09,Underbygger Ludvig Holberg som forfatter til Jeppe på Bjerget og figurerne omkring Jeppe.
Forfattere og værker,Hvem skrev novellen “Hosekræmmeren”?,200,Steen Steensen Blicher,Herman Bang,Henrik Pontoppidan,J.P. Jacobsen,,,,Hosekræmmeren af Steen Steensen Blicher,https://litteratursiden.dk/anmeldelser/hosekraemmeren-af-steen-steensen-blicher,OK – åbnet/verificeret,2026-07-09,Underbygger Steen Steensen Blicher som forfatter til Hosekræmmeren.
Forfattere og værker,Hvem skrev romanen “Kongens fald”?,300,Johannes V. Jensen,Tom Kristensen,Martin A. Hansen,Klaus Rifbjerg,,,,Kongens Fald,https://litteratursiden.dk/analyser/jensen-johannes-v-kongens-fald,OK – åbnet/verificeret,2026-07-09,"Underbygger Johannes V. Jensen, Kongens Fald og Mikkel Thøgersen som hovedperson."
Forfattere og værker,Hvem skrev romanen “Ved Vejen”?,400,Herman Bang,Amalie Skram,Henrik Pontoppidan,J.P. Jacobsen,,,,Ved vejen,https://litteratursiden.dk/anmeldelser/ved-vejen,OK – åbnet/verificeret,2026-07-09,"Underbygger Herman Bang, Ved Vejen og Bangs impressionistiske betydning."
Perioder og strømninger,"Hvilken romantisk idé ser natur, menneske og ånd som dele af en levende helhed?",100,organismetanken,behaviorismen,positivismen,dekonstruktionen,,,,Perioder,https://forfatterweb.dk/oversigt/perioder,OK – åbnet/verificeret,2026-07-09,"Underbygger litterære perioder og strømninger i dansk litteratur, bl.a. oplysningstid, romantik, modernisme, postmodernisme, minimalisme og autofiktion."
Perioder og strømninger,Hvilken forfatter forbindes med dansk universalromantik og værker som “Aladdin”?,200,Adam Oehlenschläger,Herman Bang,Martin Andersen Nexø,Tom Kristensen,,,,Perioder,https://forfatterweb.dk/oversigt/perioder,OK – åbnet/verificeret,2026-07-09,"Underbygger litterære perioder og strømninger i dansk litteratur, bl.a. oplysningstid, romantik, modernisme, postmodernisme, minimalisme og autofiktion."
Perioder og strømninger,Hvilken strømning brugte historiske emner og fædrelandet til at styrke national identitet?,300,nationalromantikken,naturalismen,futurismen,absurdismen,,,,Perioder,https://forfatterweb.dk/oversigt/perioder,OK – åbnet/verificeret,2026-07-09,"Underbygger litterære perioder og strømninger i dansk litteratur, bl.a. oplysningstid, romantik, modernisme, postmodernisme, minimalisme og autofiktion."
Perioder og strømninger,Hvilken betegnelse bruges ofte om Blichers jordnære skildringer mellem romantik og realisme?,400,poetisk realisme,magisk realisme,socialistisk realisme,ny enkelhed,,,,realisme - litteratur - Læs om den litterære stil - Lex,https://lex.dk/realisme_-_litteratur,OK – åbnet/verificeret,2026-07-09,Underbygger realisme/poetisk realisme og troværdige skildringer af hverdagsliv.
"Figurer, former og genrer",Hvad hedder Jeppes kone i “Jeppe på Bjerget”?,100,Nille,Lucretia,Leonora,Magdelone,,,,Jeppe på Bjerget – Komedie af Ludvig Holberg – Lex,https://lex.dk/Jeppe_p%C3%A5_Bjerget,OK – åbnet/verificeret,2026-07-09,Underbygger Ludvig Holberg som forfatter til Jeppe på Bjerget og figurerne omkring Jeppe.
"Figurer, former og genrer","Hvad hedder bondesønnen, der kalder sig Erasmus Montanus?",200,Rasmus Berg,Jeppe Nielsen,Jacob von Thybo,Henrik Meier,,,,Erasmus Montanus - Komedie af Ludvig Holberg - Lex,https://lex.dk/Erasmus_Montanus,OK – åbnet/verificeret,2026-07-09,Underbygger Rasmus Berg som Erasmus Montanus og Holbergs komedie.
"Figurer, former og genrer",Hvad hedder Pelles far i “Pelle Erobreren”?,300,Lasse Karlsson,Mikkel Thøgersen,Emanuel Hansted,Ole Jastrau,,,,Pelle Erobreren - Lex,https://lex.dk/Pelle_Erobreren,OK – åbnet/verificeret,2026-07-09,Underbygger Martin Andersen Nexø som forfatter til Pelle Erobreren og Lasse Karlsson som Pelles far.
"Figurer, former og genrer",Hvad er hovedpersonen Lykke-Pers borgerlige navn?,400,Peter Andreas Sidenius,Per Sidenius Brandt,Peder Lykke Madsen,Andreas Berg,,,,Lykke-Per af Henrik Pontoppidan,https://litteratursiden.dk/anmeldelser/lykke-af-henrik-pontoppidan,OK – åbnet/verificeret,2026-07-09,Underbygger Henrik Pontoppidan/Lykke-Per og værkets klassikerstatus.
"Priser, sprog og litteraturliv","Hvad hedder prisen, som danske litteraturkritikere uddeler for årets bedste bog?",100,Kritikerprisen,De Gyldne Laurbær,H.C. Andersen Prisen,Weekendavisens Litteraturpris,,,,Kritikerprisen,https://kritikerlavet.dk/kritikerprisen/,OK – åbnet/verificeret,2026-07-09,Underbygger Kritikerprisen som pris uddelt af danske litteraturkritikere.
"Priser, sprog og litteraturliv",Hvilken pris er opkaldt efter boghandlernes gyldne laurbærkrans?,200,De Gyldne Laurbær,Nordisk Råds litteraturpris,Georg Brandes-Prisen,Blixenprisen,,,,De Gyldne Laurbær - Se oversigt over prismodtagere - Lex,https://lex.dk/De_Gyldne_Laurb%C3%A6r,OK – åbnet/verificeret,2026-07-09,Underbygger De Gyldne Laurbær som dansk litterær pris.
"Priser, sprog og litteraturliv","Hvilken dansk forfatter vandt Nordisk Råds litteraturpris i 1970 for “Anna, jeg, Anna”?",300,Klaus Rifbjerg,Villy Sørensen,Benny Andersen,Leif Panduro,,,,"1970 Klaus Rifbjerg, Denmark: Anna (jeg) Anna",https://www.norden.org/en/nominee/1970-klaus-rifbjerg-denmark-anna-jeg-anna,OK – åbnet/verificeret,2026-07-09,Underbygger Nordisk Råds litteraturpris 1970 til Klaus Rifbjerg for Anna (jeg) Anna.
