Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1992?,100,Barcelona,Madrid,Sevilla,Lissabon,,,,Olympics.com – Barcelona 1992,https://www.olympics.com/en/olympic-games/barcelona-1992,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1984?,200,Los Angeles,Chicago,New York,San Francisco,,,,Olympics.com – Los Angeles 1984,https://www.olympics.com/en/olympic-games/los-angeles-1984,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1964?,300,Tokyo,Osaka,Kyoto,Sapporo,,,,Olympics.com – Tokyo 1964,https://www.olympics.com/en/olympic-games/tokyo-1964,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 2004?,400,Athen,Thessaloniki,Rom,Istanbul,,,,Olympics.com – Athens 2004,https://www.olympics.com/en/olympic-games/athens-2004,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Sportsgrene og discipliner,Hvilke to discipliner indgår i nordisk kombination?,100,skihop og langrend,alpint skiløb og skiskydning,curling og skøjteløb,snowboard og freestyle,,,,Olympics.com – Nordic combined,https://www.olympics.com/en/sports/nordic-combined/,OK,2026-07-09,Officiel OL-sportside. Underbygger at nordisk kombination består af skihop og langrend.
Sportsgrene og discipliner,Hvilken vintersport køres liggende på ryggen med fødderne forrest på en lille slæde?,200,"kælk, luge",skeleton,bobslæde,speed skating,,,,Olympics.com – Luge,https://www.olympics.com/en/sports/luge/,OK,2026-07-09,Officiel OL-sportside. Underbygger at luge/kælk køres på ryggen med fødderne forrest.
Sportsgrene og discipliner,Hvilken vintersport køres med hovedet forrest på en lille slæde?,300,skeleton,luge,bobslæde,skicross,,,,Olympics.com – Skeleton,https://www.olympics.com/en/sports/skeleton/,OK,2026-07-09,Officiel OL-sportside. Underbygger at skeleton køres med hovedet forrest på en lille slæde.
Sportsgrene og discipliner,Hvor mange spillere har et basketballhold normalt på banen ad gangen?,400,5,6,7,11,,,,FIBA – Official Basketball Rules 2024,https://www.fiba.basketball/documents/official-basketball-rules/current.pdf,OK,2026-07-09,Officielt regelsæt. Underbygger at et basketballhold har fem spillere på banen.
Symboler og organisation,I hvilket år blev Den Internationale Olympiske Komité grundlagt?,100,1894,1896,1900,1912,,,,IOC – Olympic Movement,https://www.olympics.com/ioc/overview,OK,2026-07-09,Officiel IOC-side. Underbygger IOC’s grundlæggelse i 1894 og den olympiske bevægelse.
Symboler og organisation,I hvilken by blev IOC grundlagt ved den olympiske kongres i 1894?,200,Paris,Athen,Lausanne,London,,,,"IOC – 1894: Demetrius Vikelas, first IOC President",https://www.olympics.com/ioc/1894-demetrius-vikelas-first-ioc-president,OK,2026-07-09,Officiel IOC-side. Underbygger den olympiske kongres i Paris og Vikelas som første præsident.
Symboler og organisation,Hvem var IOC’s første præsident?,300,Demetrios Vikelas,Pierre de Coubertin,Juan Antonio Samaranch,Avery Brundage,,,,"IOC – 1894: Demetrius Vikelas, first IOC President",https://www.olympics.com/ioc/1894-demetrius-vikelas-first-ioc-president,OK,2026-07-09,Officiel IOC-side. Underbygger Demetrios Vikelas som IOC’s første præsident.
Symboler og organisation,Hvad hedder det grundlæggende regelsæt for den olympiske bevægelse?,400,Det Olympiske Charter,Lausanne-traktaten,Olympia-kodeksen,Sportsforfatningen,,,,IOC – Olympic Charter,https://www.olympics.com/ioc/olympic-charter,OK,2026-07-09,Officiel IOC-side. Underbygger Det Olympiske Charter som grundlæggende regelsæt for den olympiske bevægelse.
Atleter og præstationer,Hvilken atlet vandt fire guldmedaljer ved OL i Berlin 1936?,100,Jesse Owens,Paavo Nurmi,Emil Zátopek,Carl Lewis,,,,Olympics.com – Berlin 1936,https://www.olympics.com/en/olympic-games/berlin-1936,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Atleter og præstationer,Hvilken finsk løber vandt ni olympiske guldmedaljer i 1920’erne?,200,Paavo Nurmi,Lasse Virén,Hannes Kolehmainen,Ville Ritola,,,,Olympics.com – Antwerp 1920,https://www.olympics.com/en/olympic-games/antwerp-1920,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Atleter og præstationer,Hvilken gymnast vandt i alt 18 olympiske medaljer for Sovjetunionen?,300,Larisa Latynina,Věra Čáslavská,Polina Astakhova,Ludmilla Tourischeva,,,,Olympics.com – Larisa Latynina,https://www.olympics.com/en/athletes/larisa-latynina,OK,2026-07-09,Officiel atletprofil. Underbygger Latyninas 18 olympiske medaljer.
