Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Lande og hovedstæder,Hvad er Indiens hovedstad?,100,New Delhi,Mumbai,Kolkata,Bengaluru,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Kenyas hovedstad?,200,Nairobi,Mombasa,Kampala,Dar es Salaam,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Marokkos hovedstad?,300,Rabat,Casablanca,Marrakech,Fès,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Nepals hovedstad?,400,Kathmandu,Pokhara,Thimphu,Dhaka,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Pakistans hovedstad?,500,Islamabad,Karachi,Lahore,Peshawar,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Ghanas hovedstad?,600,Accra,Kumasi,Lomé,Abuja,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Etiopiens hovedstad?,700,Addis Ababa,Asmara,Nairobi,Khartoum,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
Lande og hovedstæder,Hvad er Bangladeshs hovedstad?,800,Dhaka,Chittagong,Kathmandu,Colombo,,,,Wikipedia – List of national capitals,https://en.wikipedia.org/wiki/List_of_national_capitals,OK,2026-07-09,Åben oversigt over nationale hovedstæder; bruges til spørgsmål om land og hovedstad.
"Bjerge, floder og landskaber",Hvilken bjergkæde regnes traditionelt som en del af grænsen mellem Europa og Asien?,100,Uralbjergene,Andesbjergene,Atlasbjergene,Appalacherne,,,,Wikipedia – Ural Mountains,https://en.wikipedia.org/wiki/Ural_Mountains,OK,2026-07-09,Åben artikel om Uralbjergene som traditionel grænse mellem Europa og Asien.
"Bjerge, floder og landskaber",På hvilken italiensk ø ligger vulkanen Etna?,200,Sicilien,Sardinien,Elba,Capri,,,,Wikipedia – Mount Etna,https://en.wikipedia.org/wiki/Mount_Etna,OK,2026-07-09,Åben artikel om Etna på Sicilien.
"Bjerge, floder og landskaber",På hvilken øgruppe ligger Mauna Loa?,300,Hawaiiøerne,Aleuterne,De Kanariske Øer,Galápagosøerne,,,,USGS – Mauna Loa,https://www.usgs.gov/volcanoes/mauna-loa,OK,2026-07-09,Officiel USGS-kilde om Mauna Loa på Hawaii.
"Bjerge, floder og landskaber",I hvilket land ligger vulkanøen Krakatau?,400,Indonesien,Japan,Filippinerne,Papua Ny Guinea,,,,Wikipedia – Krakatoa,https://en.wikipedia.org/wiki/Krakatoa,OK,2026-07-09,Åben artikel om Krakatau/Krakatoa i Indonesien.
"Bjerge, floder og landskaber",I hvilken havbugt udmunder Mississippi?,500,Den Mexicanske Golf,Hudsonbugten,Californiabugten,Fundybugten,,,,Wikipedia – Mississippi River,https://en.wikipedia.org/wiki/Mississippi_River,OK,2026-07-09,Åben artikel om Mississippi og udmundingen i Den Mexicanske Golf.
"Bjerge, floder og landskaber","I hvilket hav udmunder Chang Jiang, også kaldet Yangtze?",600,Det Østkinesiske Hav,Det Sydkinesiske Hav,Det Japanske Hav,Det Gule Hav,,,,Wikipedia – Yangtze,https://en.wikipedia.org/wiki/Yangtze,OK,2026-07-09,Åben artikel om Chang Jiang/Yangtze og udmundingen i Det Østkinesiske Hav.
"Bjerge, floder og landskaber",Hvilket af disse områder ligger lavest på Jordens blotlagte landoverflade?,700,kysten ved Det Døde Hav,Death Valley,Qattara-lavningen,Turfan-lavningen,,,,Wikipedia – Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea,OK,2026-07-09,Åben artikel om Det Døde Havs kyst som laveste blotlagte landoverflade.
