Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘müde’?,100,træt,glad,vred,overrasket,,,,Wiktionary – müde,https://en.wiktionary.org/wiki/m%C3%BCde,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘wütend’?,200,vred,glad,træt,overrasket,,,,Wiktionary – wütend,https://en.wiktionary.org/wiki/w%C3%BCtend,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘überrascht’?,300,overrasket,glad,træt,vred,,,,Wiktionary – überrascht,https://en.wiktionary.org/wiki/%C3%BCberrascht,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bahnhof’?,400,banegård,rådhus,bageri,bibliotek,,,,Wiktionary – Bahnhof,https://en.wiktionary.org/wiki/Bahnhof,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Rathaus’?,500,rådhus,banegård,bageri,bibliotek,,,,Wiktionary – Rathaus,https://en.wiktionary.org/wiki/Rathaus,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bäckerei’?,600,bageri,banegård,rådhus,bibliotek,,,,Wiktionary – Bäckerei,https://en.wiktionary.org/wiki/B%C3%A4ckerei,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bibliothek’?,700,bibliotek,banegård,rådhus,bageri,,,,Wiktionary – Bibliothek,https://en.wiktionary.org/wiki/Bibliothek,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske udtryk “Tomaten auf den Augen haben”?,800,ikke at få øje på noget åbenlyst,at være meget sulten,at dyrke grøntsager,at være rød i ansigtet,,,,Redensarten-Index – Tomaten auf den Augen haben,https://www.redensarten-index.de/suche.php?suchbegriff=Tomaten%20auf%20den%20Augen%20haben,OK,2026-07-09,Åben idiomoversigt. Underbygger betydningen af udtrykket som ikke at se noget åbenlyst.
Grammatik og udtale,"I tysk standardretskrivning i Tyskland og Østrig, hvilket ord bruger ß korrekt efter en lang vokal?",100,Straße,Strasse som eneste tilladte form,Hauß,Waßer,,,,Duden – s-Laute,https://www.duden.de/sprachwissen/rechtschreibregeln/s-Laute,OK,2026-07-09,Duden-retskrivningsregel. Underbygger brugen af ß efter lang vokal/diftong i tysk standardretskrivning.
Grammatik og udtale,"Hvad markerer prikkerne i ä, ö og ü?",200,omlyd,tryk på sidste stavelse,stumt bogstav,flertalsendelse alene,,,,Wikipedia – Umlaut (diacritic),https://en.wikipedia.org/wiki/Umlaut_(diacritic),OK,2026-07-09,"Åben artikel om omlydstegnet. Underbygger ä, ö og ü som vokaler med omlyd."
Grammatik og udtale,Hvilket ord passer: “Ich habe ___ Auto”?,300,kein,nicht ein,keine,keinen,,,,Wiktionary – kein,https://en.wiktionary.org/wiki/kein,OK,2026-07-09,Åben ordbogs-/bøjningsartikel. Underbygger negationsordet kein og formen kein Auto.
Grammatik og udtale,Hvilken kasus styrer præpositionen “mit”?,400,dativ,akkusativ,genitiv alene,nominativ,,,,Wiktionary – mit,https://en.wiktionary.org/wiki/mit,OK,2026-07-09,Åben ordbogsartikel. Underbygger præpositionen mit som dativstyrende.
Grammatik og udtale,Hvilken kasus kræver verbet “helfen” normalt?,500,dativ,akkusativ,nominativ,genitiv,,,,Wiktionary – helfen,https://en.wiktionary.org/wiki/helfen,OK,2026-07-09,Åben ordbogs-/bøjningsartikel. Underbygger helfen som verbum der normalt tager dativ.
Grammatik og udtale,Hvad er korrekt futurum: “Ich ___ morgen lernen”?,600,werde,würde,bin,habe,,,,Wiktionary – werden,https://en.wiktionary.org/wiki/werden,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formen wird og futurum med werde + infinitiv.
Grammatik og udtale,Hvilken formulering udtrykker en tænkt mulighed?,700,Ich würde gehen.,Ich werde gegangen.,Ich bin gehen.,Ich habe gehe.,,,,Grimm Grammar – Konjunktiv II,https://coerll.utexas.edu/gg/gr/vsub_02.html,OK,2026-07-09,Åben tyskgrammatisk reference. Forklarer Konjunktiv II med würde + infinitiv til tænkte muligheder.
Grammatik og udtale,Hvilket pronomen bruges som høflig tiltale og skrives med stort?,800,Sie,du,ihr,er,,,,German with Laura – German Personal Pronouns,https://germanwithlaura.com/personal-pronouns/,OK,2026-07-09,"Åben grammatikside. Forklarer forskellen mellem du og høflig tiltale Sie, som skrives med stort."
Kunst og kultur,I hvilken by forbindes begivenheden Salzburger Festspiele især med?,100,Salzburg,München,Berlin,Wien,,,,Salzburg Festival – Official website,https://www.salzburgerfestspiele.at/en/,OK,2026-07-09,Officiel festivalside. Underbygger forbindelsen mellem Salzburger Festspiele og Salzburg.
Kunst og kultur,I hvilken by forbindes begivenheden Wienerfilharmonikernes nytårskoncert især med?,200,Wien,München,Berlin,Salzburg,,,,Vienna Philharmonic – New Year’s Concert,https://www.wienerphilharmoniker.at/en/newyearsconcert,OK,2026-07-09,Officiel side. Underbygger Wienerfilharmonikernes nytårskoncert og dens tilknytning til Wien.
Kunst og kultur,I hvilken by eller hvilket land ligger Goethe-Instituttets hovedsæde?,300,München,Leipzig og Frankfurt am Main,Wien,Bern,,,,Goethe-Institut – Contact,https://www.goethe.de/en/uun/auf.html,OK,2026-07-09,Officiel Goethe-Institut-side. Underbygger institutionen og dens placering i München.
Kunst og kultur,I hvilken by eller hvilket land ligger Deutsche Nationalbibliotheks to hovedafdelinger?,400,Leipzig og Frankfurt am Main,München,Wien,Bern,,,,Deutsche Nationalbibliothek – Locations,https://www.dnb.de/EN/Ueber-uns/Standorte/standorte_node.html,OK,2026-07-09,Officiel DNB-side. Underbygger hovedafdelingerne i Leipzig og Frankfurt am Main.
Kunst og kultur,I hvilken by eller hvilket land ligger Kunsthistorisches Museum?,500,Wien,München,Leipzig og Frankfurt am Main,Bern,,,,Kunsthistorisches Museum Wien – Visit,https://www.khm.at/en/visit/,OK,2026-07-09,Officiel museumsside. Underbygger Kunsthistorisches Museum i Wien.
Kunst og kultur,I hvilken by eller hvilket land ligger Zentrum Paul Klee?,600,Bern,München,Leipzig og Frankfurt am Main,Wien,,,,Zentrum Paul Klee – Visit,https://www.zpk.org/en/visit-9.html,OK,2026-07-09,Officiel museumsside. Underbygger Zentrum Paul Klee i Bern.
