Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Solsystemets verdener,Hvilken planet har den største massefylde?,100,Jorden,Merkur,Jupiter,Saturn,,,,"Jorden - Klodens dannelse, form, opbygning og alder - Lex",https://lex.dk/Jorden,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger Jordens høje middeldensitet; sammenligningsdelen er kontroleret mod øvrige planetfakta.
Solsystemets verdener,Hvilke fire planeter kaldes gas- og isgiganterne?,200,"Jupiter, Saturn, Uranus og Neptun","Merkur, Venus, Jorden og Mars","Jorden, Mars, Jupiter og Saturn","Venus, Mars, Uranus og Neptun",,,,"Solsystemet - Opbygning, dannelse og udvikling - Lex",https://lex.dk/Solsystemet,OK – åbnet,2026-07-09,"Dansk Lex-kilde. Oplyser Jupiter, Saturn, Uranus og Neptun som de fire store gasplaneter/jovianske planeter."
Solsystemets verdener,Hvilke fire planeter kaldes de terrestriske planeter?,300,"Merkur, Venus, Jorden og Mars","Jupiter, Saturn, Uranus og Neptun","Venus, Jorden, Jupiter og Saturn","Merkur, Mars, Saturn og Uranus",,,,"Solsystemet - Opbygning, dannelse og udvikling - Lex",https://lex.dk/Solsystemet,OK – åbnet,2026-07-09,"Dansk Lex-kilde. Oplyser Merkur, Venus, Jorden og Mars som de fire inderste/terrestriske planeter."
Solsystemets verdener,Hvilken planet har den hurtigste rotation om sin egen akse?,400,Jupiter,Jorden,Saturn,Neptun,,,,"Jupiter (planet) - Opbygning, egenskaber og måner - Lex",https://lex.dk/Jupiter_-_planet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger Jupiters korte rotationsperiode; sammenligning er kontroleret mod de øvrige planetfakta.
Solsystemets verdener,Hvilken planet har en blå farve især på grund af metan i atmosfæren?,500,Neptun,Mars,Merkur,Venus,,,,"Neptun (planet) - Egenskaber, måner og atmosfære - Lex",https://lex.dk/Neptun_-_planet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger Neptuns atmosfære/metan og den blå farve.
Solsystemets verdener,Hvilken planet har overfladetryk på omkring 90 gange Jordens?,600,Venus,Mars,Merkur,Neptun,,,,Venus (planet) - Størrelse og egenskaber - Lex,https://lex.dk/Venus_-_planet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger det meget høje overfladetryk på Venus.
Solsystemets verdener,"Hvilken planet har Valles Marineris, et enormt kløftsystem?",700,Mars,Venus,Jupiter,Uranus,,,,"Mars - Egenskaber, overflade, opbygning og liv - Lex",https://lex.dk/Mars,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Valles Marineris findes på Mars.
Måner og smålegemer,"Hvad kaldes den fjerne, hypotetiske sky af kometkerner omkring Solsystemet?",100,Oortskyen,Kuiperbæltet,Orionskyen,Magellanske sky,,,,Oort-skyen – Lex,https://lex.dk/Oort-skyen,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger Oort-skyen som fjern sky/reservoir af kometer omkring Solsystemet.
Måner og smålegemer,"Hvad kaldes et lille klippe- eller metallegeme i rummet, før det rammer atmosfæren?",200,Meteoroide,Meteor,Meteorit,Komet,,,,meteoroide – Lex,https://lex.dk/meteoroide,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger begrebet meteoroide som legeme før atmosfærisk lysfænomen/nedslag.
Måner og smålegemer,"Hvad kaldes lysstriben, når en meteoroide brænder i atmosfæren?",300,Meteor,Meteoroide,Meteorit,Asteroide,,,,meteor – Lex,https://lex.dk/meteor,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger meteor som lysstriben/fænomenet i atmosfæren.
