Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘hier’?,100,i går,mandag,i morgen,snart,,,,Wiktionary – hier,https://en.wiktionary.org/wiki/hier,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘bientôt’?,200,snart,mandag,i morgen,i går,,,,Wiktionary – bientôt,https://en.wiktionary.org/wiki/bient%C3%B4t,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘acheter’?,300,købe,sælge,lede efter,finde,,,,Wiktionary – acheter,https://en.wiktionary.org/wiki/acheter,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘vendre’?,400,sælge,købe,lede efter,finde,,,,Wiktionary – vendre,https://en.wiktionary.org/wiki/vendre,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘chercher’?,500,lede efter,købe,sælge,finde,,,,Wiktionary – chercher,https://en.wiktionary.org/wiki/chercher,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘trouver’?,600,finde,købe,sælge,lede efter,,,,Wiktionary – trouver,https://en.wiktionary.org/wiki/trouver,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘heureux’?,700,glad,træt,vred,overrasket,,,,Wiktionary – heureux,https://en.wiktionary.org/wiki/heureux,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det franske ord eller udtryk.
Grammatik og udtale,Hvilket udtryk kan indlede et neutralt ja/nej-spørgsmål?,100,Est-ce que,Parce que,Bien que,Afin que,,,,Lawless French – Est-ce que,https://www.lawlessfrench.com/expressions/est-ce-que/,OK,2026-07-09,Forklarer at Est-ce que kan bruges til at gøre et udsagn til et spørgsmål.
Grammatik og udtale,Hvilken ordstilling er korrekt for “en rød bil”?,200,une voiture rouge,une rouge voiture,un voiture rouge,une voiture rouges,,,,Lawless French – Adjective Position,https://www.lawlessfrench.com/grammar/adjective-position/,OK,2026-07-09,"Forklarer at beskrivende adjektiver som farver normalt følger substantivet, fx voiture rouge."
Grammatik og udtale,Hvilket possessivt ord bruges normalt foran “amie” i “min veninde”?,300,mon,ma,mes,moi,,,,Lawless French – Euphonic Adjectives,https://www.lawlessfrench.com/grammar/euphonic-adjectives/,OK,2026-07-09,Forklarer eufoniske former som mon foran vokal og cet foran vokal eller stumt h.
Grammatik og udtale,Hvilket demonstrativt ord passer foran “homme”?,400,cet,ce,cette,ces,,,,"Lawless French – Definite Article – le, la, l’, les",https://www.lawlessfrench.com/grammar/definite-article/,OK,2026-07-09,"Forklarer bestemte artikler: le, la, l’ og les, herunder l’ foran vokal eller stumt h."
Grammatik og udtale,Hvilket pronomen kan erstatte “à Marie” i “Je parle à Marie”?,500,lui,la,y,en,,,,Kwiziq French – Indirect object pronouns,https://french.kwiziq.com/revision/grammar/when-to-use-lui-and-leur-to-replace-specific-people-with-him-her-and-them-indirect-object-pronouns,OK,2026-07-09,Forklarer at lui kan erstatte et indirekte objekt med à + person.
Grammatik og udtale,Hvilket pronomen erstatter ofte et sted indledt med “à”?,600,y,en,le,leur,,,,Lawless French – Adverbial Pronouns / Pronominal Adverbs,https://www.lawlessfrench.com/grammar/adverbial-pronouns/,OK,2026-07-09,"Forklarer pronominerne y og en og at de kan erstatte sted, mængde eller præposition + objekt."
Kunst og kultur,"Hvilken kunstner forbindes med værket Impression, soleil levant?",100,Claude Monet,Auguste Rodin,Claude Debussy,Édith Piaf,,,,"Wikipedia – Impression, Sunrise","https://en.wikipedia.org/wiki/Impression,_Sunrise",OK,2026-07-09,"Åben artikel om Impression, soleil levant/Impression, Sunrise. Underbygger Claude Monet som kunstner."
