Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Kommunikation og medier,Hvem opfandt World Wide Web på CERN omkring 1989–1990?,100,Tim Berners-Lee,Vint Cerf,Ray Tomlinson,Douglas Engelbart,,,,The birth of the Web,https://home.cern/science/computing/the-birth-of-the-web/,OK – kilde tilføjet,2026-07-09,CERN-kilde til Berners-Lee og World Wide Web.
Kommunikation og medier,Hvilke virksomheder udviklede compact disc-formatet i fællesskab?,200,Philips og Sony,IBM og Intel,Kodak og Polaroid,Xerox og Canon,,,,The history of the CD - The beginning,https://www.philips.com/a-w/research/technologies/cd/beginning.html,OK – kilde tilføjet,2026-07-09,Philips-kilde til compact disc udviklet med Sony.
Kommunikation og medier,Hvem sendte i 1971 en tidlig netværksmail og valgte @-tegnet mellem bruger og computer?,300,Ray Tomlinson,Tim Berners-Lee,Robert Metcalfe,Larry Roberts,,,,Ray Tomlinson - CHM,https://www.computerhistory.org/internethistory/1970s/#email,OK – kilde tilføjet,2026-07-09,"Computer History Museum-kilde til Tomlinson, tidlig netværksmail og @."
Kommunikation og medier,Hvilket tysk forskningsinstitut spillede en central rolle i udviklingen af MP3-lydformatet?,400,Fraunhofer-instituttet,Max Planck-instituttet,CERN,Bell Labs,,,,mp3 - Fraunhofer-Institut für Integrierte Schaltungen IIS,https://www.iis.fraunhofer.de/en/ff/amm/consumer-electronics/mp3.html,OK – kilde tilføjet,2026-07-09,Fraunhofer IIS-kilde til MP3-udviklingen.
Kommunikation og medier,Hvilken opfindelse gjorde Alois Senefelder kendt omkring 1796?,500,litografi,fotografi,telegrafi,xerografi,,,,lithography - Wikipedia,https://en.wikipedia.org/wiki/Lithography,OK – kilde tilføjet,2026-07-09,Kilde til Senefelder og litografi.
Kommunikation og medier,"Hvem opfandt Linotype-maskinen, som støbte hele tekstlinjer i metal?",600,Ottmar Mergenthaler,Johannes Gutenberg,Christopher Latham Sholes,Alois Senefelder,,,,Ottmar Mergenthaler – Lex,https://lex.dk/Ottmar_Mergenthaler,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Linotype-maskinen.
Kommunikation og medier,Hvem udviklede en automatisk telefoncentral efter at have patenteret en automatisk omkobler i 1891?,700,Almon Strowger,Alexander Graham Bell,Elisha Gray,Antonio Meucci,,,,Almon Brown Strowger - Wikipedia,https://en.wikipedia.org/wiki/Almon_Brown_Strowger,OK – kilde tilføjet,2026-07-09,Kilde til Strowger og automatisk telefoncentral/omstiller.
Kommunikation og medier,Hvilken magnetisk lydoptager opfandt Valdemar Poulsen i 1898?,800,telegrafonen,fonografen,grammofonen,dictafonen,,,,Valdemar Poulsen – Lex,https://lex.dk/Valdemar_Poulsen,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Poulsen og telegrafonen.
Transport og maskiner,Hvilke brødre stod bag den første bemandede varmluftsballonflyvning i 1783?,100,Joseph-Michel og Jacques-Étienne Montgolfier,Orville og Wilbur Wright,Auguste og Louis Lumière,Jacques og Pierre Curie,,,,Montgolfier brothers - Wikipedia,https://en.wikipedia.org/wiki/Montgolfier_brothers,OK – kilde tilføjet,2026-07-09,Kilde til Montgolfier-brødrene og ballonen i 1783.
Transport og maskiner,"Hvem byggede i 1807 den kommercielt succesfulde dampbåd North River Steamboat, ofte kaldet Clermont?",200,Robert Fulton,John Fitch,James Watt,George Stephenson,,,,Robert Fulton - Wikipedia,https://en.wikipedia.org/wiki/Robert_Fulton,OK – kilde tilføjet,2026-07-09,Kilde til Fulton og North River Steamboat/Clermont.
