Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Skibe og rejser,Omtrent hvor meget last kunne Skuldelev 3 føre?,100,4 tons,400 kilo,20 tons,60 tons,,,,Vikingeskibsmuseet – Skuldelev 3: Kystfareren,https://www.vikingeskibsmuseet.dk/besoeg/udstillinger/de-fem-vikingeskibe/skuldelev-3-kystfareren,OK,2026-07-09,Officiel museumskilde om Skuldelev 3 som kysthandelsskib med plads til omkring 4 tons last.
Skibe og rejser,Hvad var det mindre Skuldelev 5 beregnet til?,200,et mindre langskib,et tungt fragtskib,en fiskerbåd uden sejl,et ceremonisk skib,,,,Vikingeskibsmuseet – Skuldelev 5: Det lille langskib,https://www.vikingeskibsmuseet.dk/besoeg/udstillinger/de-fem-vikingeskibe/skuldelev-5-det-lille-langskib,OK,2026-07-09,Officiel museumskilde om Skuldelev 5 som et mindre langskib/krigsskib.
Skibe og rejser,Hvor blev de fem Skuldelevskibe fundet?,300,i Roskilde Fjord,i Oslofjorden,ved Lindisfarne,i Seinen,,,,Vikingeskibsmuseet – De fem vikingeskibe,https://www.vikingeskibsmuseet.dk/besoeg/udstillinger/de-fem-vikingeskibe,OK,2026-07-09,"Vikingeskibsmuseets officielle oversigt over Skuldelevskibene, skibstyper og sejlspærringen i Roskilde Fjord."
Skibe og rejser,Hvorfor blev Skuldelevskibene sænket i fjorden?,400,for at indgå i en sejlspærring,for at begrave en konge,fordi de alle kæntrede,for at skabe en fiskedam,,,,Vikingeskibsmuseet – De fem vikingeskibe,https://www.vikingeskibsmuseet.dk/besoeg/udstillinger/de-fem-vikingeskibe,OK,2026-07-09,"Vikingeskibsmuseets officielle oversigt over Skuldelevskibene, skibstyper og sejlspærringen i Roskilde Fjord."
Skibe og rejser,I hvilket norsk skibsgravfund blev der fundet 64 runde skjolde?,500,Gokstadskibet,Osebergskibet,Ladbyskibet,Skuldelev 3,,,,Museum of the Viking Age – The excavation of the Gokstad ship,https://www.vikingtidsmuseet.no/english/research/gjellestad-ship/gokstad-ship/,OK,2026-07-09,"Officiel museumskilde om Gokstadskibet, herunder fundet af 64 skjolde."
Skibe og rejser,Hvilket norsk vikingeskib blev fundet i en grav med to kvinder?,600,Osebergskibet,Gokstadskibet,Skuldelev 2,Ladbyskibet,,,,Museum of the Viking Age – The Oseberg ship,https://www.vikingtidsmuseet.no/english/research/gjellestad-ship/oseberg-ship/,OK,2026-07-09,Officiel museumskilde om Osebergskibet som gravskib for to kvinder.
Skibe og rejser,Hvilket dansk vikingeskib ligger bevaret i sin oprindelige gravhøj på Fyn?,700,Ladbyskibet,Osebergskibet,Gokstadskibet,Skuldelev 1,,,,VisitKerteminde – Vikingmuseum Ladby,https://www.visitkerteminde.com/kerteminde/plan-your-holiday/vikingmuseum-ladby-gdk613576,OK,2026-07-09,"Åben destinations-/museumsbeskrivelse af Ladbyskibet som Danmarks eneste skibsgrav fra vikingetiden, bevaret i gravhøjen ved Kerteminde."
Hverdag og handel,Hvilket nordisk materiale blev handlet som smykkeråstof sydpå?,100,rav,granitskærver,kridt,brunkul,,,,Wikipedia – Amber,https://en.wikipedia.org/wiki/Amber,OK,2026-07-09,Åben artikel om rav som nordisk/Østersø-relateret handels- og smykkemateriale.
Hverdag og handel,Hvilke varer fra nordlige områder indgik ofte i vikingetidens langdistancehandel?,200,pelsværk,kaffebønner,gummi,kakao,,,,"Danmarkshistorien/Lex – Hedeby, en vigtig handelsby i vikingetiden",https://danmarkshistorien.lex.dk/Hedeby_-_en_vigtig_handelsby_i_vikingetiden,OK,2026-07-09,Dansk fagkilde om Hedeby som en af vikingetidens vigtigste handelsbyer i det nuværende Slesvig-Holsten.
Hverdag og handel,Hvilket arktisk produkt blev blandt andet handlet fra de nordboiske bygder i Grønland?,300,hvalrostænder,silkeorme,olivenolie,porcelæn,,,,Wikipedia – Norse colonization of North America,https://en.wikipedia.org/wiki/Norse_colonization_of_North_America,OK,2026-07-09,Åben artikel om nordboisk handel og produkter som elfenben/hvalrostænder fra nordatlantiske områder.
Hverdag og handel,Hvilken dansk by var en tidlig handelsplads allerede omkring begyndelsen af vikingetiden?,400,Ribe,Aalborg,Fredericia,Esbjerg,,,,Danmarkshistorien/Lex – De første handelsbyer: Ribe i 700-tallet,https://danmarkshistorien.lex.dk/De_f%C3%B8rste_handelsbyer_-_Ribe_i_700-tallet,OK,2026-07-09,Dansk fagkilde om Ribe som tidlig handels- og håndværkerby i 700-tallet.
Hverdag og handel,Hvilken handelsby ved Slien var et af vikingetidens vigtigste centre?,500,Hedeby,Lindisfarne,Trelleborg,Jelling,,,,"Danmarkshistorien/Lex – Hedeby, en vigtig handelsby i vikingetiden",https://danmarkshistorien.lex.dk/Hedeby_-_en_vigtig_handelsby_i_vikingetiden,OK,2026-07-09,Dansk fagkilde om Hedeby som en af vikingetidens vigtigste handelsbyer i det nuværende Slesvig-Holsten.
Hverdag og handel,Hvilken svensk handelsplads lå på øen Björkö i Mälaren?,600,Birka,Kaupang,Ribe,Dublin,,,,UNESCO – Birka and Hovgården,https://whc.unesco.org/en/list/555/,OK,2026-07-09,UNESCO beskriver Birka på Björkö i Mälaren som vikingetidens handelsplads og verdensarv sammen med Hovgården.
"Tro, runer og kunst",Hvilke materialer kunne vikingerne riste runer i?,100,"sten, træ og ben",kun pergament,kun bronze,papir og lærred,,,,Danmarkshistorien/Lex – Vikingetidens runealfabet (futhark),https://danmarkshistorien.lex.dk/Vikingetidens_runealfabet_%28futhark%29,OK,2026-07-09,Dansk fagkilde der beskriver vikingetidens yngre futhark med 16 tegn og runernes brug på runesten.
