Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Grundlov og Folketing,"Hvad kaldes princippet om, at statsmagten deles i lovgivende, udøvende og dømmende magt?",100,magtens tredeling,negativ parlamentarisme,forholdstalsvalg,kommunalt selvstyre,,,,Grundloven og det danske demokrati,https://www.ft.dk/da/folkestyret/grundloven-og-folkestyret/grundloven-og-det-danske-demokrati,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger grundlovens rolle, frihedsrettigheder og magtens tredeling i det danske demokrati."
Grundlov og Folketing,Hvem udøver den dømmende magt i Danmark?,200,domstolene,Folketinget,regeringen,kommunerne,,,,Grundloven og det danske demokrati,https://www.ft.dk/da/folkestyret/grundloven-og-folkestyret/grundloven-og-det-danske-demokrati,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger grundlovens rolle, frihedsrettigheder og magtens tredeling i det danske demokrati."
Grundlov og Folketing,Hvem udøver i praksis den udøvende magt?,300,regeringen,Folketingets Præsidium,Højesteret,regionerne,,,,Grundloven og det danske demokrati,https://www.ft.dk/da/folkestyret/grundloven-og-folkestyret/grundloven-og-det-danske-demokrati,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger grundlovens rolle, frihedsrettigheder og magtens tredeling i det danske demokrati."
Grundlov og Folketing,Hvad kaldes et forslag til en ny lov?,400,lovforslag,aktstykke,bekendtgørelse,forespørgsel,,,,Lovforslag,https://www.ft.dk/da/leksikon/Lovforslag,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger lovforslag, hvem der kan fremsætte dem, og Folketingets tre behandlinger."
Grundlov og Folketing,Hvor mange behandlinger gennemgår et lovforslag normalt i Folketinget?,500,3,1,2,4,,,,Lovforslag,https://www.ft.dk/da/leksikon/Lovforslag,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger lovforslag, hvem der kan fremsætte dem, og Folketingets tre behandlinger."
Valg og partier,Hvad betyder hemmelig stemmeafgivning?,100,"andre må ikke kunne se, hvad den enkelte vælger stemmer",stemmerne tælles ikke,kun partierne kender resultatet,vælgeren må ikke tale om politik,,,,Det danske valgsystem: Valg til Folketinget,https://www.valg.im.dk/valg/valgsystemet/opgoerelse-af-folketingsvalg,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger forholdstalsvalg, mandatfordeling, spærregrænse, kredsmandater og tillægsmandater ved folketingsvalg."
Valg og partier,Hvilket bogstav bruges traditionelt af Socialdemokratiet på stemmesedlen?,200,A,V,C,F,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Valg og partier,Hvilket bogstav bruges traditionelt af Venstre på stemmesedlen?,300,V,A,B,Ø,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Valg og partier,Hvilket bogstav bruges af Det Konservative Folkeparti?,400,C,K,H,D,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Valg og partier,Hvilket bogstav bruges af Socialistisk Folkeparti?,500,F,S,G,R,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Regeringer og politisk historie,"Hvem var statsminister, da Danmark blev besat den 9. april 1940?",100,Thorvald Stauning,Erik Scavenius,Vilhelm Buhl,Hans Hedtoft,,,,statsministre i Danmark - Oversigt fra 1848 til nu - Lex,https://lex.dk/statsministre_i_Danmark,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger perioder og navne i listen over danske statsministre.
Regeringer og politisk historie,Hvem blev statsminister i november 1942 og fortsatte frem til regeringens ophør i august 1943?,200,Erik Scavenius,Vilhelm Buhl,Knud Kristensen,John Christmas Møller,,,,statsministre i Danmark - Oversigt fra 1848 til nu - Lex,https://lex.dk/statsministre_i_Danmark,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger perioder og navne i listen over danske statsministre.
Regeringer og politisk historie,Hvem ledede befrielsesregeringen fra maj 1945?,300,Vilhelm Buhl,Hans Hedtoft,Erik Scavenius,Knud Kristensen,,,,statsministre i Danmark - Oversigt fra 1848 til nu - Lex,https://lex.dk/statsministre_i_Danmark,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger perioder og navne i listen over danske statsministre.
Regeringer og politisk historie,"Hvilken statsminister stod i spidsen, da Danmark blev medlem af NATO i 1949?",400,Hans Hedtoft,H.C. Hansen,Viggo Kampmann,Jens Otto Krag,,,,statsministre i Danmark - Oversigt fra 1848 til nu - Lex,https://lex.dk/statsministre_i_Danmark,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger perioder og navne i listen over danske statsministre.
Regeringer og politisk historie,Hvilken statsminister udskrev folkeafstemningen om dansk EF-medlemskab i 1972?,500,Jens Otto Krag,Anker Jørgensen,Hilmar Baunsgaard,Poul Hartling,,,,statsministre i Danmark - Oversigt fra 1848 til nu - Lex,https://lex.dk/statsministre_i_Danmark,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger perioder og navne i listen over danske statsministre.
"Kommuner, regioner og rigsfællesskab",Hvilken opgave har regionerne især haft siden 2007?,100,drift af hospitaler og sundhedsvæsen,folkeskoleundervisning,politi og forsvar,udstedelse af pas,,,,Om de fem regioner,https://www.regioner.dk/om-os/om-de-fem-regioner/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger fem regioner, 98 kommuner og regionernes hovedopgave med sundhedsvæsenet."
"Kommuner, regioner og rigsfællesskab",Hvilket folkevalgt organ leder en region?,200,regionsrådet,kommunalbestyrelsen,Folketingets Præsidium,Statsrådet,,,,Regionalvalget,https://www.regioner.dk/om-os/om-de-fem-regioner/regionalvalget/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger regionsråd/regionalvalg og regionernes sundhedsopgaver.
"Kommuner, regioner og rigsfællesskab",Hvilken by var administrationssæde for Region Hovedstaden ved oprettelsen i 2007?,300,Hillerød,København,Roskilde,Helsingør,,,,Regionerne,https://www.rm.dk/om-os/hvad-er-regionen/regionerne/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger regionernes hovedsæder: Hillerød, Sorø, Vejle, Viborg og Aalborg."
