KortID;Billedfil;Billedtitel;Billedsti;Forside;Symbol;AtomicNumber;English;Dansk;Group;Hint;Bagside;BagsideTekst
EL001;01_hydrogen_h.png;H;navneleg-demo/periodic-table/photos/01_hydrogen_h.png;H;H;1;Hydrogen;Brint;Nonmetal;Small but dramatic.;Hydrogen;Hydrogen (H) — dansk: Brint. Atomnummer 1. Gruppe: Nonmetal. Small but dramatic.
EL002;02_helium_he.png;He;navneleg-demo/periodic-table/photos/02_helium_he.png;He;He;2;Helium;Helium;Noble gas;Makes balloons and voices suspicious.;Helium;Helium (He) — dansk: Helium. Atomnummer 2. Gruppe: Noble gas. Makes balloons and voices suspicious.
EL003;03_lithium_li.png;Li;navneleg-demo/periodic-table/photos/03_lithium_li.png;Li;Li;3;Lithium;Lithium;Alkali metal;Tiny battery celebrity.;Lithium;Lithium (Li) — dansk: Lithium. Atomnummer 3. Gruppe: Alkali metal. Tiny battery celebrity.
EL004;04_beryllium_be.png;Be;navneleg-demo/periodic-table/photos/04_beryllium_be.png;Be;Be;4;Beryllium;Beryllium;Alkaline earth;Light, stiff and not a snack.;Beryllium;Beryllium (Be) — dansk: Beryllium. Atomnummer 4. Gruppe: Alkaline earth. Light, stiff and not a snack.
EL005;05_boron_b.png;B;navneleg-demo/periodic-table/photos/05_boron_b.png;B;B;5;Boron;Bor;Metalloid;"Boron sounds like boring; it isn't.";Boron;"Boron (B) — dansk: Bor. Atomnummer 5. Gruppe: Metalloid. Boron sounds like boring; it isn't."
EL006;06_carbon_c.png;C;navneleg-demo/periodic-table/photos/06_carbon_c.png;C;C;6;Carbon;Kulstof;Nonmetal;Diamonds, pencils and you.;Carbon;Carbon (C) — dansk: Kulstof. Atomnummer 6. Gruppe: Nonmetal. Diamonds, pencils and you.
EL007;07_nitrogen_n.png;N;navneleg-demo/periodic-table/photos/07_nitrogen_n.png;N;N;7;Nitrogen;Kvælstof;Nonmetal;Most of the air, very humble.;Nitrogen;Nitrogen (N) — dansk: Kvælstof. Atomnummer 7. Gruppe: Nonmetal. Most of the air, very humble.
EL008;08_oxygen_o.png;O;navneleg-demo/periodic-table/photos/08_oxygen_o.png;O;O;8;Oxygen;Ilt;Nonmetal;Breathing's favorite element.;Oxygen;Oxygen (O) — dansk: Ilt. Atomnummer 8. Gruppe: Nonmetal. Breathing's favorite element.
EL009;09_fluorine_f.png;F;navneleg-demo/periodic-table/photos/09_fluorine_f.png;F;F;9;Fluorine;Fluor;Halogen;Toothpaste with attitude.;Fluorine;Fluorine (F) — dansk: Fluor. Atomnummer 9. Gruppe: Halogen. Toothpaste with attitude.
EL010;10_neon_ne.png;Ne;navneleg-demo/periodic-table/photos/10_neon_ne.png;Ne;Ne;10;Neon;Neon;Noble gas;Signage influencer.;Neon;Neon (Ne) — dansk: Neon. Atomnummer 10. Gruppe: Noble gas. Signage influencer.
