Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Celler og krop,Hvilket organel producerer størstedelen af cellens ATP ved aerob respiration?,100,mitokondriet,Golgiapparatet,cellekernen,lysosomet,,,,mitokondrie - Lex er Danmarks nationalleksikon,https://lex.dk/mitokondrie,OK,2026-07-09,Underbygger mitokondriet som cellens energiproducerende organel.
Celler og krop,Hvor foregår proteinsyntesen?,200,på ribosomer,i lysosomer,i centrioler,i cellevæggen,,,,ribosom - Et kompleks af proteiner og RNA - Lex,https://lex.dk/ribosom,OK,2026-07-09,Underbygger ribosomers rolle i proteinsyntese.
Celler og krop,Hvilket organel modificerer og sorterer mange proteiner før transport?,300,Golgiapparatet,mitokondriet,cellekernen,kloroplasten,,,,Golgi-apparat - Membranbundet organel - Struktur - Lex,https://lex.dk/Golgi-apparat,OK,2026-07-09,Underbygger Golgi-apparatet som membranbundet organel relevant for modificering/sortering.
Celler og krop,Hvilket organel nedbryder mange affaldsstoffer og makromolekyler i dyreceller?,400,lysosomet,ribosomet,nukleolus,cellevæggen,,,,organel - Lex er Danmarks nationalleksikon,https://lex.dk/organel,OK,2026-07-09,Underbygger organeller i eukaryote celler og nævner bl.a. lysosomer.
Arv og evolution,Hvor mange kromosomer har en typisk menneskelig kropscelle?,100,46,23,44,92,,,,"kromosom - Struktur, som bærer DNA - Lex",https://lex.dk/kromosom,OK,2026-07-09,"Underbygger kromosom som struktur, der bærer gener/DNA."
Arv og evolution,Hvilken DNA-base danner normalt par med guanin?,200,cytosin,adenin,thymin,uracil,,,,basepar - Lex er Danmarks nationalleksikon,https://lex.dk/basepar,OK,2026-07-09,Underbygger baseparring i DNA/RNA og uracil i RNA.
Arv og evolution,Hvad er et gen?,300,et DNA-afsnit med information til et funktionelt produkt,et helt kromosomsæt,en type cellemembran,et frit protein i blodet,,,,gen - Læs om arveanlæg og mendelsk arvefaktor – Lex,https://lex.dk/gen,OK,2026-07-09,Underbygger gen som basal arvelig enhed og relationen til DNA.
Arv og evolution,Hvad er et kromosom?,400,en organiseret struktur af DNA og proteiner,en energiproducerende organel,et lipid i cellemembranen,et signalstof mellem neuroner,,,,"kromosom - Struktur, som bærer DNA - Lex",https://lex.dk/kromosom,OK,2026-07-09,"Underbygger kromosom som struktur, der bærer gener/DNA."
Planter og svampe,Hvilken gas frigives typisk som biprodukt ved fotosyntese?,100,ilt,metan,ammoniak,argon,,,,fotosyntese - Biologisk proces i planter - Lex,https://lex.dk/fotosyntese,OK,2026-07-09,"Underbygger fotosyntese, kuldioxid som reaktant og ilt som produkt."
Planter og svampe,Hvilket plantevæv transporterer vand og mineraler fra rødderne?,200,xylem,floem,epidermis,kambium alene,,,,xylem - Lex er Danmarks nationalleksikon,https://lex.dk/xylem,OK,2026-07-09,Underbygger xylem som plantevæv til vandtransport.
Planter og svampe,Hvilket plantevæv transporterer sukker og andre organiske stoffer?,300,floem,xylem,korkvæv,rodhætte,,,,phloem - Lex er Danmarks nationalleksikon,https://lex.dk/phloem,OK,2026-07-09,Underbygger phloem/floem som plantevæv til transport af især sukkerstoffer.
Planter og svampe,"Hvad kaldes de små åbninger i blade, som regulerer gasudveksling?",400,spalteåbninger,rodhår,støvknapper,kimblade,,,,spalteåbning - Funktion og udseende - Læs mere – Lex,https://lex.dk/spalte%C3%A5bning,OK,2026-07-09,Underbygger spalteåbninger som små åbninger i overhuden på grønne plantedele.
Økologi og dyr,Hvad er en producents rolle i en fødekæde?,100,at danne organisk stof fra uorganiske kilder,at spise alle nedbrydere,at omdanne dyr til mineraler alene,at leve uden energikilde,,,,fødenet - Definition - Fødekæder og nedbryderkæder - Lex,https://lex.dk/f%C3%B8denet,OK,2026-07-09,"Underbygger fødenet/fødekæder, energistrømme og tab mellem trofiske niveauer."
Økologi og dyr,Hvad er en nedbryders vigtigste økologiske rolle?,200,at nedbryde dødt organisk materiale og frigive næringsstoffer,at producere sollys,at standse stofkredsløb,at omdanne ilt til grundstoffer,,,,fødenet - Definition - Fødekæder og nedbryderkæder - Lex,https://lex.dk/f%C3%B8denet,OK,2026-07-09,"Underbygger fødenet/fødekæder, energistrømme og tab mellem trofiske niveauer."
Økologi og dyr,Hvad viser pilene i en fødekæde normalt?,300,retningen for energi og stof fra føde til forbruger,hvilket dyr der løber hurtigst,retningen for vind,hvor arterne vandrer om vinteren,,,,fødenet - Definition - Fødekæder og nedbryderkæder - Lex,https://lex.dk/f%C3%B8denet,OK,2026-07-09,"Underbygger fødenet/fødekæder, energistrømme og tab mellem trofiske niveauer."
