Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Skæve taktarter og danse,Hvor mange ottendedele giver grupperingen 2+2+3 tilsammen?,100,syv,fem,otte,ni,,,,Turkish rhythms,https://chromatone.center/theory/rhythm/system/turkish/,OK,2026-07-09,Underbygger aksak som tyrkisk betegnelse for haltende/ujævne asymmetriske rytmer bygget af 2- og 3-grupper.
Skæve taktarter og danse,Hvad betyder det tyrkiske musikord aksak omtrent?,200,haltende eller ujævn,meget langsom,sunget uden ord,spillet helt frit,,,,Turkish rhythms,https://chromatone.center/theory/rhythm/system/turkish/,OK,2026-07-09,Underbygger aksak som tyrkisk betegnelse for haltende/ujævne asymmetriske rytmer bygget af 2- og 3-grupper.
Skæve taktarter og danse,"Hvad er horo, hora og oro typisk betegnelser for i Balkanområdet?",300,kæde- eller kredsdanse,solosange uden dans,militære fanfarer,vuggeviser,,,,Hora (dance) - Wikipedia,https://en.wikipedia.org/wiki/Oro_(dance),OK,2026-07-09,Underbygger oro/horo/hora som kæde- eller kredsdans i Balkanområdet.
Roma og musik på tværs,"Hvilken betegnelse bruges normalt respektfuldt om det folk, der tidligere ofte blev kaldt sigøjnere?",100,Roma,maorier,sorbere,katalanere,,,,Descriptive Glossary of terms relating to Roma issues,https://childrenofprisoners.eu/wp-content/uploads/2019/11/Glossary_Roma_18May2012_CoE.pdf,OK,2026-07-09,Council of Europe-glossar; underbygger at Roma er den respektfulde/institutionelle betegnelse frem for ældre betegnelser.
Roma og musik på tværs,Hvad er en lăutar i rumænsk musiktradition?,200,en professionel musiker,en folkedanser,en instrumentbygger,en sangtekst,,,,Lăutărească music - Wikipedia,https://en.wikipedia.org/wiki/L%C4%83ut%C4%83reasc%C4%83_music,OK,2026-07-09,"Underbygger muzică lăutărească som rumænsk musiktradition udført af professionelle lăutari, ofte romani musikere."
Roma og musik på tværs,Hvad er et taraf i rumænsk musikliv?,300,et mindre ensemble af lăutari,en stor kirkeklokke,en solodans,en rytmisk taktart,,,,Lăutărească music - Wikipedia,https://en.wikipedia.org/wiki/L%C4%83ut%C4%83reasc%C4%83_music,OK,2026-07-09,"Underbygger muzică lăutărească som rumænsk musiktradition udført af professionelle lăutari, ofte romani musikere."
Instrumenter og ensembler,Hvilken type blæseinstrument er en kaval?,100,en endeblæst fløjte,en dobbelt-rørbladsobo,en messingbasun,en sækkepibe,,,,Kaval - Wikipedia,https://en.wikipedia.org/wiki/Kaval,OK,2026-07-09,Underbygger kaval som endeblæst fløjte.
Instrumenter og ensembler,Hvad er en tapan eller davul?,200,en stor dobbeltskindet tromme,en lille strygeviolin,en træfløjte,en langhalset lut,,,,Davul - Wikipedia,https://en.wikipedia.org/wiki/Davul,OK,2026-07-09,Underbygger davul/tapan som stor dobbeltskindet tromme.
"Stilarter, sange og steder",Hvilken region forbindes med den flerstemmige a cappella-tradition klapa?,100,Dalmatien i Kroatien,Thrakien i Bulgarien,Epirus i Grækenland,Banat i Rumænien,,,,UNESCO ICH · Klapa multipart singing of Dalmatia,https://ich.unesco.org/en/RL/klapa-multipart-singing-of-dalmatia-southern-croatia-00746,OK,2026-07-09,Officiel UNESCO-kilde; underbygger klapa som flerstemmig a cappella-tradition fra Dalmatien og optagelsen i 2012.
"Stilarter, sange og steder",Hvilket land forbindes især med den urbane sangtradition sevdalinka?,200,Bosnien-Hercegovina,Albanien,Bulgarien,Slovenien,,,,UNESCO ICH · Sevdalinka,https://ich.unesco.org/en/RL/sevdalinka-traditional-urban-folk-song-01872,OK,2026-07-09,Officiel UNESCO-kilde; underbygger sevdalinka som traditionel urban folk song fra Bosnien-Hercegovina og optagelsen i 2024.
