Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Grækenland og Rom,Hvilken græsk gudinde forbindes med visdom og byen Athen?,100,Athene,Hera,Artemis,Demeter,,,,Wikipedia – Athena,https://en.wikipedia.org/wiki/Athena,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gud regerer over dødsriget?,200,Hades,Zeus,Ares,Dionysos,,,,Wikipedia – Hades,https://en.wikipedia.org/wiki/Hades,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gudinde forbindes med kærlighed og skønhed?,300,Afrodite,Hestia,Hera,Persefone,,,,Wikipedia – Aphrodite,https://en.wikipedia.org/wiki/Aphrodite,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Egyptens gudeverden,Hvilken egyptisk gud forbindes med de døde og genopstandelse?,100,Osiris,Horus,Seth,Khnum,,,,Wikipedia – Osiris,https://en.wikipedia.org/wiki/Osiris,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Egyptens gudeverden,Hvilken gudinde er Osiris’ hustru og Horus’ mor?,200,Isis,Hathor,Nephthys,Nut,,,,Wikipedia – Isis,https://en.wikipedia.org/wiki/Isis,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Egyptens gudeverden,Hvilken falkehovedet gud forbindes med kongemagt?,300,Horus,Anubis,Sobek,Thoth,,,,British Museum – Ancient Egyptian gods and goddesses,https://www.britishmuseum.org/learn/schools/ages-7-11/ancient-egypt/ancient-egyptian-gods-and-goddesses,OK,2026-07-09,British Museum beskriver Horus som falkehovedet gud for himmel/krig/jagt og kongemagt samt søn af Osiris og Isis.
Mesopotamien og Nærorienten,"Hvad hedder kongen af Uruk i det mesopotamiske heltedigt, der bærer hans navn?",100,Gilgamesh,Enkidu,Utnapishtim,Humbaba,,,,Wikipedia – Gilgamesh,https://en.wikipedia.org/wiki/Gilgamesh,OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Mesopotamien og Nærorienten,Hvilken gud blev Babylons vigtigste bygud?,200,Marduk,Ashur,Enlil,Dumuzi,,,,Wikipedia – Marduk,https://en.wikipedia.org/wiki/Marduk,OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Myter fra andre kulturer,Hvilken shinto-gudinde forbindes med solen i japansk mytologi?,100,Amaterasu,Izanami,Benzaiten,Inari,,,,Wikipedia – Amaterasu,https://en.wikipedia.org/wiki/Amaterasu,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
Myter fra andre kulturer,Hvilken aztekisk gud kaldes den fjerklædte slange?,200,Quetzalcoatl,Tlaloc,Tezcatlipoca,Huitzilopochtli,,,,Wikipedia – Quetzalcoatl,https://en.wikipedia.org/wiki/Quetzalcoatl,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
