Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘cansado’?,100,træt,glad,vred,overrasket,,,,Wiktionary – cansado,https://en.wiktionary.org/wiki/cansado,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘enfadado’?,200,vred,glad,træt,overrasket,,,,Wiktionary – enfadado,https://en.wiktionary.org/wiki/enfadado,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘sorprendido’?,300,overrasket,glad,træt,vred,,,,Wiktionary – sorprendido,https://en.wiktionary.org/wiki/sorprendido,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘estación’?,400,station,rådhus,bageri,bibliotek,,,,Wiktionary – estación,https://en.wiktionary.org/wiki/estaci%C3%B3n,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘ayuntamiento’?,500,rådhus,station,bageri,bibliotek,,,,Wiktionary – ayuntamiento,https://en.wiktionary.org/wiki/ayuntamiento,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘panadería’?,600,bageri,station,rådhus,bibliotek,,,,Wiktionary – panadería,https://en.wiktionary.org/wiki/panader%C3%ADa,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘biblioteca’?,700,bibliotek,station,rådhus,bageri,,,,Wiktionary – biblioteca,https://en.wiktionary.org/wiki/biblioteca,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske udtryk “estar en las nubes”?,800,at være distræt eller dagdrømme,at være meget vred,at rejse med fly,at arbejde hele natten,,,,SpanishDictionary – estar en las nubes,https://www.spanishdict.com/translate/estar%20en%20las%20nubes,OK,2026-07-09,Åben ordbogs-/oversættelsesside. Underbygger idiomet som at være distræt eller dagdrømme.
Grammatik og udtale,Hvilket ord med accent betyder “hvad”?,100,qué,que,quien,cual,,,,SpanishDictionary – Spanish Question Words,https://www.spanishdict.com/guide/spanish-question-words,OK,2026-07-09,"Forklarer spanske spørgeord med accent, fx qué."
Grammatik og udtale,Hvilken form betyder “du” som personligt pronomen?,200,tú,tu,te,ti,,,,SpanishDictionary – Spanish Subject Pronouns,https://www.spanishdict.com/guide/subject-pronouns-in-spanish,OK,2026-07-09,Forklarer personlige pronominer som tú.
Grammatik og udtale,Hvilket bogstav er særligt for spansk og udtales omtrent som dansk “nj”?,300,ñ,ll,j,h,,,,SpanishDictionary – Spanish Alphabet Pronunciation,https://www.spanishdict.com/guide/spanish-alphabet-pronunciation,OK,2026-07-09,"Forklarer det spanske alfabet og udtale, herunder ñ og at h normalt er stumt."
Grammatik og udtale,Hvordan udtales bogstavet h normalt i standardspansk?,400,det er stumt,som dansk h,som /k/,som /f/,,,,SpanishDictionary – Spanish Alphabet Pronunciation,https://www.spanishdict.com/guide/spanish-alphabet-pronunciation,OK,2026-07-09,"Forklarer det spanske alfabet og udtale, herunder ñ og at h normalt er stumt."
Grammatik og udtale,Hvilke tegn indleder og afslutter et direkte spørgsmål på spansk?,500,¿ og ?,¡ og !,( og ),« og »,,,,SpanishDictionary – Spanish Punctuation,https://www.spanishdict.com/guide/spanish-punctuation,OK,2026-07-09,Forklarer spanske spørgsmålstegn og brugen af indledende omvendt spørgsmålstegn.
Grammatik og udtale,Hvilken form passer efter “Quiero que tú ___”?,600,vengas,vienes,vendrás,venir,,,,Wiktionary – venir,https://en.wiktionary.org/wiki/venir,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger konjunktivformen vengas af venir.
Grammatik og udtale,Hvad er korrekt futurum af “hablar” med “yo”?,700,hablaré,hablaría,hablé,hablara,,,,Wiktionary – hablar,https://en.wiktionary.org/wiki/hablar,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger futurumformen hablaré af hablar.
Grammatik og udtale,Hvilken formulering betyder høfligt “Jeg kunne godt tænke mig”?,800,Me gustaría…,Me gustó…,Me gusta que…,Gustaré…,,,,Wiktionary – gustar,https://en.wiktionary.org/wiki/gustar,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger conditionalisformen gustaría i høflige ønsker.
