Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Grundlov og Folketing,Hvad kaldes den årlige lov om statens forventede indtægter og udgifter?,100,finansloven,grundloven,styrelsesloven,valgloven,,,,Finanslov,https://www.ft.dk/da/leksikon/Finanslov,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger finansloven som den årlige lov om statens indtægter og udgifter.
Grundlov og Folketing,Hvem kan fremsætte lovforslag i Folketinget?,200,ministre og folketingsmedlemmer,kun statsministeren,kun dommere,kun kommunalbestyrelser,,,,Lovforslag,https://www.ft.dk/da/leksikon/Lovforslag,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger lovforslag, hvem der kan fremsætte dem, og Folketingets tre behandlinger."
Grundlov og Folketing,"Hvad kaldes et forslag, der udtrykker Folketingets holdning uden selv at være en lov?",300,beslutningsforslag,bekendtgørelse,grundlovsforslag,cirkulære,,,,Beslutningsforslag,https://www.ft.dk/da/leksikon/Beslutningsforslag,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger beslutningsforslag som forslag om Folketingets holdning uden at være en lov.
Grundlov og Folketing,"Hvad kaldes princippet om, at en regering ikke må have et flertal imod sig i Folketinget?",400,negativ parlamentarisme,positiv særbehandling,direkte demokrati,magtens enhed,,,,Parlamentarisme,https://www.ft.dk/da/leksikon/Parlamentarisme,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger negativ parlamentarisme og princippet om, at regeringen ikke må have et flertal imod sig."
Grundlov og Folketing,Hvor lang tid kan der højst gå mellem to folketingsvalg?,500,4 år,3 år,5 år,6 år,,,,Folketingsvalg,https://www.ft.dk/da/leksikon/Folketingsvalg,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger folketingsvalg mindst hvert fjerde år og valgret ved 18 år.
Grundlov og Folketing,Hvornår åbner et nyt folketingsår efter grundloven?,600,den første tirsdag i oktober,den første mandag i januar,den 5. juni,den sidste fredag i september,,,,Min grundlov,https://www.ft.dk/da/dokumenter/bestil-publikationer/publikationer/mingrundlov/min-grundlov,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger grundlovens bestemmelser om regeringsform, folkekirke, folketingsår, lovforslag, ministerudnævnelse, mistillidsvotum og grundlovsændring."
Grundlov og Folketing,Hvem leder Folketingets møder fra formandsstolen?,700,Folketingets formand,statsministeren,dronningen,højesteretspræsidenten,,,,Folketingets formand,https://www.ft.dk/da/leksikon/Folketingets-formand,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Folketingets formands rolle med at lede møder og arbejde i Folketinget.
Valg og partier,Hvilket bogstav bruges af Radikale Venstre?,100,B,R,L,Q,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Valg og partier,Hvilket bogstav bruges af Enhedslisten?,200,Ø,E,Å,Z,,,,Partiernes bogstavbetegnelser,https://www.valg.im.dk/partier-og-kandidater/partiernes-bogstavbetegnelser,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger partiernes aktuelle bogstavbetegnelser på stemmesedlen.
Valg og partier,Hvilket år blev Socialdemokratiet grundlagt?,300,1871,1849,1905,1915,,,,"Socialdemokratiet, 1871-",https://danmarkshistorien.lex.dk/Socialdemokratiet%2C_1871-,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Socialdemokratiets stiftelse i 1871 og partihistorie.
Valg og partier,Hvilket år blev partiet Venstre dannet som en samlet politisk organisation?,400,1870,1848,1901,1915,,,,"Venstre, 1870-",https://danmarkshistorien.lex.dk/Venstre%2C_1870-,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Venstres dannelse i 1870 og partihistorie.
Valg og partier,Hvilket år blev Radikale Venstre stiftet efter en splittelse i Venstre?,500,1905,1871,1915,1959,,,,"Det Radikale Venstre, 1905-",https://danmarkshistorien.lex.dk/Det_Radikale_Venstre%2C_1905-,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Radikale Venstres dannelse i 1905 og partihistorie.
Valg og partier,Hvilket år blev Det Konservative Folkeparti stiftet?,600,1915,1905,1924,1945,,,,Det Konservative Folkeparti 1915-1945,https://danmarkshistorien.lex.dk/Det_Konservative_Folkeparti_1915-1945,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Det Konservative Folkepartis stiftelse i 1915 og partihistorie.
