Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Lande og styreformer,Hvad kaldes Færøernes hovedstad?,100,Tórshavn,Klaksvík,Nuuk,Mariehamn,,,,Nordisk Samarbejde – Facts about the Faroe Islands,https://www.norden.org/en/information/facts-about-faroe-islands,OK,2026-07-09,"Officiel nordisk faktaside om Færøerne; underbygger hovedstad, sprog, øtal, højeste punkt, selvstyre og valuta."
Lande og styreformer,Hvilken grønlandsk by er landets hovedstad?,200,Nuuk,Sisimiut,Tórshavn,Reykjavík,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Lande og styreformer,Hvilken by er centrum for Ålands selvstyre?,300,Mariehamn,Turku,Visby,Tórshavn,,,,Nordisk Samarbejde – About Åland,https://www.norden.org/en/information/about-aland,OK,2026-07-09,"Officiel nordisk faktaside om Åland; underbygger Mariehamn, svensk som officielt sprog, euro, selvstyre, øtal og Lagtinget."
Lande og styreformer,Hvad betaler man med i Danmark?,400,danske kroner,svenske kroner,euro,islandske kroner,,,,Nordisk Samarbejde – Facts about Denmark,https://www.norden.org/en/information/facts-about-denmark,OK,2026-07-09,"Officiel nordisk faktaside om Danmark; underbygger hovedstad, sprog, valuta, areal, styreform og nationaldata."
Natur og geografi,Hvilke tre lande har Norge landegrænse til?,100,"Sverige, Finland og Rusland","Danmark, Sverige og Finland","Sverige, Island og Rusland","Finland, Danmark og Rusland",,,,Nordisk Samarbejde – Facts about Norway,https://www.norden.org/en/information/facts-about-norway,OK,2026-07-09,"Officiel nordisk faktaside om Norge; underbygger hovedstad, valuta, sprog, geografi og nationaldata."
Natur og geografi,Hvilke tre lande har Finland landegrænse til?,200,"Sverige, Norge og Rusland","Danmark, Norge og Sverige","Sverige, Estland og Rusland","Norge, Island og Rusland",,,,Nordisk Samarbejde – Facts about Finland,https://www.norden.org/en/information/facts-about-finland,OK,2026-07-09,"Officiel nordisk faktaside om Finland; underbygger hovedstad, valuta, nationale sprog, EU/NATO-status og nationaldata."
Natur og geografi,Hvilket nordisk land har ingen landegrænser?,300,Island,Danmark,Finland,Norge,,,,Nordisk Samarbejde – Facts about Iceland,https://www.norden.org/en/information/facts-about-iceland,OK,2026-07-09,"Officiel nordisk faktaside om Island; underbygger hovedstad, valuta, sprog, geografi og nationaldata."
Natur og geografi,På hvilket kontinent ligger Grønland geografisk?,400,Nordamerika,Europa,Asien,Antarktis,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Sprog og kultur,Hvilke to sprog er Finlands nationale sprog?,100,finsk og svensk,finsk og samisk,svensk og norsk,finsk og russisk,,,,Nordisk Samarbejde – Facts about Finland,https://www.norden.org/en/information/facts-about-finland,OK,2026-07-09,"Officiel nordisk faktaside om Finland; underbygger hovedstad, valuta, nationale sprog, EU/NATO-status og nationaldata."
Sprog og kultur,Hvilket sprog har officiel status i Island?,200,islandsk,færøsk,norsk,dansk,,,,Nordisk Samarbejde – Facts about Iceland,https://www.norden.org/en/information/facts-about-iceland,OK,2026-07-09,"Officiel nordisk faktaside om Island; underbygger hovedstad, valuta, sprog, geografi og nationaldata."
Sprog og kultur,Hvad er Færøernes officielle sprog?,300,færøsk,islandsk,dansk,norsk,,,,Lex – færøsk,https://lex.dk/f%C3%A6r%C3%B8sk,OK,2026-07-09,Dansk leksikonartikel der beskriver færøsk som nært beslægtet med islandsk og oldnordisk.
Sprog og kultur,Hvilket sprog er officielt i Grønland?,400,grønlandsk,dansk,islandsk,inuktitut fra Canada,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Historie og samarbejde,Hvilken organisation står for det parlamentariske nordiske samarbejde?,100,Nordisk Råd,Nordisk Ministerråd,Arktisk Råd,Østersørådet,,,,Nordisk Samarbejde – About the Nordic Council,https://www.norden.org/en/information/about-nordic-council,OK,2026-07-09,Officiel side om Nordisk Råd som parlamentarisk nordisk samarbejdsorgan og dets medlemmer.
Historie og samarbejde,Hvilken organisation står for de nordiske regeringers samarbejde?,200,Nordisk Ministerråd,Nordisk Råd,Nordisk Folketing,Skandinavisk Union,,,,Nordisk Samarbejde – About the Nordic Council of Ministers,https://www.norden.org/en/information/about-nordic-council-ministers,OK,2026-07-09,Officiel side om Nordisk Ministerråd som regeringssamarbejde og medlemslande/områder.
Historie og samarbejde,Hvilke tre lande menes normalt med Skandinavien i snæver betydning?,300,"Danmark, Norge og Sverige","Danmark, Finland og Island","Norge, Sverige og Finland","Danmark, Sverige og Island",,,,Lex – Skandinavien,https://lex.dk/Skandinavien,OK,2026-07-09,"Dansk leksikonartikel der forklarer Skandinavien i snæver betydning som Danmark, Norge og Sverige."
