Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Solsystemets verdener,Hvilken planet har den store røde plet?,100,Jupiter,Mars,Saturn,Neptun,,,,"Jupiter (planet) - Opbygning, egenskaber og måner - Lex",https://lex.dk/Jupiter_-_planet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Den Store Røde Plet er en karakteristisk struktur på Jupiter.
Solsystemets verdener,På hvilken planet ligger vulkanen Olympus Mons?,200,Mars,Venus,Jorden,Merkur,,,,Olympus Mons – Lex,https://lex.dk/Olympus_Mons,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Olympus Mons er en vulkan på Mars.
Solsystemets verdener,Hvilken planet har den korteste omløbstid om Solen?,300,Merkur,Venus,Mars,Jorden,,,,Merkur - Se liste over egenskaber - Udforskninger - Lex,https://lex.dk/Merkur,OK – åbnet,2026-07-09,Dansk Lex-kilde. Oplyser Merkurs omløbstid; den korteste blandt planeterne i spillets svarmuligheder.
Solsystemets verdener,Hvilken planet har den længste omløbstid om Solen?,400,Neptun,Uranus,Saturn,Jupiter,,,,"Neptun (planet) - Egenskaber, måner og atmosfære - Lex",https://lex.dk/Neptun_-_planet,OK – åbnet,2026-07-09,"Dansk Lex-kilde. Oplyser Neptuns sideriske omløbstid på 164,79 år; længst blandt de otte planeter."
Solsystemets verdener,"Hvilken planet har et døgn, der er længere end dens år?",500,Venus,Merkur,Mars,Saturn,,,,Venus (planet) - Størrelse og egenskaber - Lex,https://lex.dk/Venus_-_planet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Venus har en dag/rotation på 243 dage og et år på 225 dage.
Måner og smålegemer,Hvad hedder Plutos største måne?,100,Charon,Nix,Hydra,Triton,,,,Charon – måne – Lex,https://lex.dk/Charon_-_m%C3%A5ne,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Charon er Plutos største måne.
Måner og smålegemer,Hvilken dværgplanet ligger i asteroidebæltet?,200,Ceres,Pluto,Eris,Haumea,,,,Ceres – dværgplanet – Lex,https://lex.dk/Ceres_-_dv%C3%A6rgplanet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Ceres er en dværgplanet og kredser midt i asteroidebæltet.
Måner og smålegemer,Hvilken dværgplanet blev tidligere regnet som Solsystemets niende planet?,300,Pluto,Ceres,Eris,Makemake,,,,Pluto - Dværgplanet - Se oversigt over egenskaber – Lex,https://lex.dk/Pluto,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Pluto tidligere blev regnet som Solsystemets niende planet og i 2006 fik status som dværgplanet.
Måner og smålegemer,Hvilket område mellem Mars og Jupiter rummer mange små klippelegemer?,400,Asteroidebæltet,Kuiperbæltet,Oortskyen,Van Allen-bælterne,,,,"Solsystemet - Opbygning, dannelse og udvikling - Lex",https://lex.dk/Solsystemet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at asteroidebæltet ligger mellem Mars og Jupiter.
Måner og smålegemer,"Hvilket område uden for Neptun rummer mange islegemer, herunder Pluto?",500,Kuiperbæltet,Asteroidebæltet,Orionarmen,Heliosfæren,,,,"Solsystemet - Opbygning, dannelse og udvikling - Lex",https://lex.dk/Solsystemet,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Kuiperbæltet findes uden for Neptun og består af mange små kometlignende legemer; Pluto er et kendt objekt i området.
Stjerner og galakser,Hvilken blå superkæmpe markerer omtrent Orions venstre fod?,100,Rigel,Aldebaran,Antares,Capella,,,,Rigel – Lex,https://lex.dk/Rigel,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at Rigel er en blå superkæmpe og navnet betyder/kommer af “fod”.
Stjerner og galakser,Hvilke tre stjerner danner Sommertrianglen?,200,"Vega, Deneb og Altair","Sirius, Rigel og Betelgeuse","Polaris, Capella og Aldebaran","Antares, Spica og Regulus",,,,Sommertrekanten – Lex,https://lex.dk/Sommertrekanten,OK – åbnet,2026-07-09,"Dansk Lex-kilde. Underbygger at Deneb, Vega og Altair danner Sommertrekanten."
Stjerner og galakser,Hvad kaldes en eksploderende stjerne?,300,Supernova,Nebula,Pulsar,Komet,,,,supernova - Enorm stjerneeksplosion - Typer - Lex,https://lex.dk/supernova,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at en supernova er en enorm stjerneeksplosion.
Stjerner og galakser,Hvad er en pulsar?,400,En hurtigt roterende neutronstjerne,En ung planet,En type komet,En kold brun dværg,,,,pulsar – Lex,https://lex.dk/pulsar,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at pulsarer er hurtigt roterende neutronstjerner.
Stjerner og galakser,Hvad er en nebula eller tåge i astronomi?,500,En sky af gas og støv i rummet,En gruppe planeter,Et sort hul uden masse,En stjernes faste overflade,,,,nebula – Lex,https://lex.dk/nebula,OK – åbnet,2026-07-09,Dansk Lex-kilde. Underbygger at nebula betyder sky/tåge og beskrives som en sky af støv og gas.
Rumfart og observation,Hvilken Mars-rover landede i Jezero-krateret i 2021?,100,Perseverance,Curiosity,Spirit,Sojourner,,,,Perseverance Rover Location Map - NASA Science,https://science.nasa.gov/mission/mars-2020-perseverance/location-map/,OK – åbnet,2026-07-09,NASA-primærkilde. Underbygger at Perseverance landede i Jezero-krateret 18. februar 2021.
