Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Klima og drivhuseffekt,Hvilken gas står for den største del af menneskeskabt opvarmning fra langlivede drivhusgasser siden industrialiseringen?,100,kuldioxid,ilt,argon,helium,,,,DMI – Kuldioxid (CO₂),https://www.dmi.dk/klima/temaforside-drivhusgasser/kuldioxid-co2,OK,2026-07-09,"Dansk DMI-side. Underbygger CO₂ fra forbrænding af fossile brændsler og biomasse, nedbrydning af organisk stof samt CO₂s lange klimaeffekt."
Klima og drivhuseffekt,Hvad er den kemiske formel for metan?,200,CH₄,CO₂,N₂O,O₃,,,,PubChem – Methane,https://pubchem.ncbi.nlm.nih.gov/compound/Methane,OK,2026-07-09,NIH/PubChem. Underbygger metan som CH₄.
Klima og drivhuseffekt,Hvad er den kemiske formel for lattergas?,300,N₂O,NO₂,NH₃,SO₂,,,,PubChem – Nitrous oxide,https://pubchem.ncbi.nlm.nih.gov/compound/Nitrous-oxide,OK,2026-07-09,NIH/PubChem. Underbygger lattergas/nitrous oxide som N₂O.
Menneskelige udledninger,Hvilken drivhusgas dannes i drøvtyggeres fordøjelse?,100,metan,kuldioxid alene,svovldioxid,ozon i stratosfæren,,,,US EPA – Agriculture Sector Emissions,https://www.epa.gov/ghgemissions/agriculture-sector-emissions,OK,2026-07-09,"EPA-side. Underbygger metan fra drøvtyggere/enterisk fermentering, risdyrkning, gødning og lattergas fra landbrugsjord."
Menneskelige udledninger,Hvorfor kan skovrydning øge atmosfærens indhold af kuldioxid?,200,"kulstof frigives, og færre træer kan optage CO₂",skovrydning øger atmosfærens ilt til det dobbelte,jordens tyngdekraft bliver mindre,havets saltindhold falder straks,,,,DMI – Kuldioxid (CO₂),https://www.dmi.dk/klima/temaforside-drivhusgasser/kuldioxid-co2,OK,2026-07-09,"Dansk DMI-side. Underbygger CO₂ fra forbrænding af fossile brændsler og biomasse, nedbrydning af organisk stof samt CO₂s lange klimaeffekt."
Menneskelige udledninger,Hvilken proces i cementproduktion frigiver kuldioxid ud over energiforbruget?,300,"opvarmning af kalksten, så karbonat spaltes",afkøling af sand med vand,formaling af grus alene,hærdning ved tilsætning af salt,,,,GHG Protocol/EPA – CO₂ emissions from cement production,https://ghgprotocol.org/sites/default/files/2023-03/co2-cement-epa_0.pdf,OK,2026-07-09,"Åben metodevejledning. Underbygger procesudledning fra cement, hvor calciumcarbonat/kalksten opvarmes og afgiver CO₂ ved calcination."
Følger og risici,Hvilken ændring bidrager direkte til stigende havniveau?,100,tab af is fra gletsjere og indlandsis på land,smeltning af flydende havis alene,dannelse af flere skyer,lavere bølger i kystzoner,,,,NASA Science – The Ocean and Climate Change,https://science.nasa.gov/earth/explore/the-ocean-and-climate-change/,OK,2026-07-09,"NASA-side. Underbygger havets varmeoptag, termisk udvidelse, smeltning af landis og havniveaustigning."
Følger og risici,Hvorfor hæver smeltende havis kun havniveauet meget lidt direkte?,200,isen flyder allerede og fortrænger næsten sin egen masse i vand,havis indeholder ingen vandmolekyler,havis smelter kun om natten,alt smeltevand fordamper straks,,,,NASA Science – The Ocean and Climate Change,https://science.nasa.gov/earth/explore/the-ocean-and-climate-change/,OK,2026-07-09,"NASA-side. Underbygger havets varmeoptag, termisk udvidelse, smeltning af landis og havniveaustigning."
Løsninger og aftaler,Hvad betyder klimatilpasning?,100,at justere samfund og naturforvaltning til faktiske eller forventede klimavirkninger,at ændre Jordens bane,at stoppe al økonomisk aktivitet,at erstatte alle vejrudsigter med klimamodeller,,,,IPCC SR1.5 – Glossary,https://www.ipcc.ch/sr15/chapter/glossary/,OK,2026-07-09,"IPCC-ordliste. Underbygger centrale klimabegreber som mitigation, adaptation, net zero, carbon budget, carbon sink/source, resilience, climate model og tipping point."
Løsninger og aftaler,Hvad betyder klimaresiliens?,200,"evnen til at håndtere, tilpasse sig og komme sig efter klimarelaterede påvirkninger",evnen til at undgå alle former for vejr,at et system aldrig ændrer sig,at udledninger ikke kan måles,,,,IPCC SR1.5 – Glossary,https://www.ipcc.ch/sr15/chapter/glossary/,OK,2026-07-09,"IPCC-ordliste. Underbygger centrale klimabegreber som mitigation, adaptation, net zero, carbon budget, carbon sink/source, resilience, climate model og tipping point."
