Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Fysik, måling og forskning",Hvad var Ole Rømers afgørende konklusion om lys?,100,Det bevæger sig med en endelig hastighed,Det kan ikke bevæge sig i vakuum,Det består kun af lydsvingninger,Det bevæger sig øjeblikkeligt,,,,"Denne dag i KU’s historie: Ole Rømer opdager, at lyset tøver",https://uniavisen.dk/denne-dag-i-kus-historie-ole-roemer-opdager-at-lyset-toever/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at observationer af Jupiter og månen Io førte til opdagelsen af lysets tøven/endelige hastighed.
"Fysik, måling og forskning",Hvilken dansk kemiker indførte pH-begrebet i 1909?,200,S.P.L. Sørensen,Johan Kjeldahl,Niels Finsen,August Krogh,,,,Opdagelsen af pH-skalaen fandt sted på Carlsberg,https://homeofcarlsberg.com/da/stories/opdagelsen-af-ph-skalaen-fandt-sted-pa-carlsberg/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at S.P.L. Sørensen opfandt/indførte pH-skalaen på Carlsberg Laboratorium i 1909.
"Fysik, måling og forskning",Hvilket år indførte S.P.L. Sørensen pH-skalaen?,300,1909,1884,1920,1943,,,,Opdagelsen af pH-skalaen fandt sted på Carlsberg,https://homeofcarlsberg.com/da/stories/opdagelsen-af-ph-skalaen-fandt-sted-pa-carlsberg/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at S.P.L. Sørensen opfandt/indførte pH-skalaen på Carlsberg Laboratorium i 1909.
"Fysik, måling og forskning","På hvilket laboratorium arbejdede S.P.L. Sørensen, da han udviklede pH-begrebet?",400,Carlsberg Laboratorium,Niels Bohr Institutet,Statens Serum Institut,Risø,,,,Opdagelsen af pH-skalaen fandt sted på Carlsberg,https://homeofcarlsberg.com/da/stories/opdagelsen-af-ph-skalaen-fandt-sted-pa-carlsberg/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at S.P.L. Sørensen opfandt/indførte pH-skalaen på Carlsberg Laboratorium i 1909.
"Fysik, måling og forskning",Hvad angiver en pH-værdi først og fremmest?,500,hvor sur eller basisk en opløsning er,hvor hurtigt en væske fordamper,hvor meget en genstand vejer,hvor stærkt et stof leder elektricitet,,,,S.P.L. Sørensen - Lex er Danmarks nationalleksikon,https://lex.dk/S.P.L._S%C3%B8rensen,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger S.P.L. Sørensen og pH som mål for brintionkoncentration/surhedsgrad.
Medicin og bioteknologi,Hvilken forsker var med til at grundlægge Nordisk Insulinlaboratorium i 1923?,100,Hans Christian Hagedorn,Hans Christian Gram,Niels Stensen,Villum Kann Rasmussen,,,,Insulin 100 years,https://www.novonordisk.com/about/insulin-100-years.html,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Hans Christian Hagedorn, NPH (Neutral Protamine Hagedorn) insulin, protamin og introduktionen i 1946."
Medicin og bioteknologi,Hvad står forkortelsen NPH for i insulinpræparatet NPH-insulin?,200,Neutral Protamine Hagedorn,Nordic Pure Human,Neutral Pancreatic Hormone,Novo Protamine Hybrid,,,,Insulin 100 years,https://www.novonordisk.com/about/insulin-100-years.html,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Hans Christian Hagedorn, NPH (Neutral Protamine Hagedorn) insulin, protamin og introduktionen i 1946."
Medicin og bioteknologi,Hvilket stof bruges i NPH-insulin til at forlænge insulinets virkning?,300,protamin,heparin,penicillin,adrenalin,,,,Insulin 100 years,https://www.novonordisk.com/about/insulin-100-years.html,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Hans Christian Hagedorn, NPH (Neutral Protamine Hagedorn) insulin, protamin og introduktionen i 1946."
Medicin og bioteknologi,Hvilket år blev NPH-insulin introduceret?,400,1946,1923,1954,1985,,,,Insulin 100 years,https://www.novonordisk.com/about/insulin-100-years.html,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Hans Christian Hagedorn, NPH (Neutral Protamine Hagedorn) insulin, protamin og introduktionen i 1946."
Medicin og bioteknologi,Hvilket år blev den første NovoPen lanceret?,500,1985,1957,1973,1997,,,,Insulin 100 years,https://www.novonordisk.com/about/insulin-100-years.html,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger NovoPen som insulinpen og Novo Nordisks insulin-historik, herunder lanceringen i 1985."
