Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Kroppe og tilpasninger,Hvilken øgle skyder tungen ud med ekstrem acceleration for at fange bytte?,100,kamæleon,leguan,varan,firben,,,,Wikipedia – Chameleon,https://en.wikipedia.org/wiki/Chameleon,OK,2026-07-09,Åben artikel om kamæleoners ekstremt hurtige tungeprojektil ved fangst af bytte.
Kroppe og tilpasninger,Hvilken fuglegruppe kan som den eneste flyve kontrolleret baglæns?,200,kolibrier,sejlere,isfugle,albatrosser,,,,Wikipedia – Hummingbird,https://en.wikipedia.org/wiki/Hummingbird,OK,2026-07-09,Åben artikel om kolibriers evne til kontrolleret baglæns flyvning.
Kroppe og tilpasninger,Hvilken fugl har et enormt skoformet næb og lever i østafrikanske sumpe?,300,skonæb,marabustork,sekretærfugl,pelikan,,,,Wikipedia – Shoebill,https://en.wikipedia.org/wiki/Shoebill,OK,2026-07-09,Åben artikel om skonæb og det store skoformede næb i østafrikanske vådområder.
Kroppe og tilpasninger,Hvilke mikroskopiske strukturer hjælper gekkoer med at hæfte på glatte flader?,400,"setae, fine hårstrukturer",sugekopper,limkirtler,magnetiske skæl,,,,Wikipedia – Gecko,https://en.wikipedia.org/wiki/Gecko,OK,2026-07-09,Åben artikel om gekkoers setae og hæfteevne på glatte flader.
Kroppe og tilpasninger,Hvilken fisk skyder vandstråler mod insekter over vandoverfladen?,500,sprøjtefisk,flyvefisk,mudderspringer,klatrefisk,,,,Wikipedia – Archerfish,https://en.wikipedia.org/wiki/Archerfish,OK,2026-07-09,Åben artikel om sprøjtefisk/archerfish og vandstråler mod bytte over vandet.
Kroppe og tilpasninger,Hvilket lille krebsdyr skaber et kraftigt smæld og en kavitationboble med sin klo?,600,pistolreje,eremitkrebs,krabbe,krill,,,,Wikipedia – Alpheidae,https://en.wikipedia.org/wiki/Alpheidae,OK,2026-07-09,Åben artikel om pistolrejer og kavitationbobler fra kløerne.
Kroppe og tilpasninger,"Hvilken nordamerikansk frø kan overleve, at en stor del af kropsvæsken fryser om vinteren?",700,skovfrø,oksefrø,pilgiftfrø,løvfrø,,,,Wikipedia – Wood frog,https://en.wikipedia.org/wiki/Wood_frog,OK,2026-07-09,Åben artikel om skovfrøens frysetolerance.
Kroppe og tilpasninger,Hvilken nordamerikansk øgle kan sprøjte blod fra området omkring øjnene som forsvar?,800,hornøgle,gilaøgle,anole,basilisk,,,,Wikipedia – Horned lizard,https://en.wikipedia.org/wiki/Horned_lizard,OK,2026-07-09,Åben artikel om hornøglers blodsprøjt fra øjenområdet som forsvar.
Levesteder og udbredelse,På hvilket kontinent lever vombatter naturligt?,100,Australien,Afrika,Sydamerika,Europa,,,,Wikipedia – Wombat,https://en.wikipedia.org/wiki/Wombat,OK,2026-07-09,Åben artikel om vombatter som naturligt hjemmehørende i Australien.
Levesteder og udbredelse,På hvilken ø lever næseaben naturligt?,200,Borneo,Sumatra,Java,Sri Lanka,,,,Wikipedia – Proboscis monkey,https://en.wikipedia.org/wiki/Proboscis_monkey,OK,2026-07-09,Åben artikel om næseaben som endemisk for Borneo.
