Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Regning,Hvad er (48 + 72) ÷ 6?,100,20,18,22,24,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 15 · 16 - 11 · 8?,200,152,142,160,168,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,"Hvad er 2.500 · 0,04?",300,100,10,40,1000,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,"Hvad er 3,6 · 2,5?",400,9,8,9.5,90,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,"Hvad er 7,2 ÷ 0,3?",500,24,2.4,21,27,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,"Hvad er 1,25 + 0,875?",600,"2,125","2,025","2,175","2,250",,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,"Hvad er 12,5 · 0,64?",700,8,6.4,7.5,80,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er (2⁵ + 4³) ÷ 8?,800,12,8,10,16,,,,Khan Academy – Exponent properties review,https://www.khanacademy.org/math/algebra-basics/basic-alg-foundations/alg-basics-exponents/a/exponent-properties-review,OK,2026-07-09,"Åben undervisningskilde om potensregler, herunder multiplikation af potenser med samme grundtal. Underbygger metoden; resultatet er kontrolleret."
Brøker og procent,Hvad er 7/12 - 5/18?,100,11/36,1/6,7/36,13/36,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 18 % af 1.250?,200,225,180,200,250,,,,Khan Academy – Rates and percentages,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,OK,2026-07-09,"Åben undervisningskilde om procent, rabatter, ændringer og procentregning. Underbygger metoden; talresultatet er kontrolleret."
Brøker og procent,En pris stiger 20 % og falder derefter 20 %. Hvad bliver 100 kr. til?,300,96 kr.,80 kr.,100 kr.,104 kr.,,,,Khan Academy – Rates and percentages,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,OK,2026-07-09,"Åben undervisningskilde om procent, rabatter, ændringer og procentregning. Underbygger metoden; talresultatet er kontrolleret."
Brøker og procent,"Hvad er 0,0̅3 som brøk, når 3-tallet gentages uendeligt?",400,1/3,3/10,1/30,3/100,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er forholdet 18:24 forkortet til?,500,3:4,2:3,4:5,6:8,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,"Hvis 5/8 af et tal er 45, hvad er tallet?",600,72,64,75,80,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 1/(1/2 + 1/3)?,700,6/5,5/6,1/5,5/2,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er den procentvise ændring fra 250 til 190?,800,Et fald på 24 %,Et fald på 20 %,Et fald på 30 %,En stigning på 24 %,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Geometri og måling,Hvad er overfladearealet af en terning med sidelængden 4 cm?,100,96 cm²,16 cm²,64 cm²,128 cm²,,,,Math is Fun – Cube,https://www.mathsisfun.com/geometry/cube.html,OK,2026-07-09,"Åben formelside for terning, bl.a. overfladeareal = 6a². Underbygger formelvalget; talresultatet er kontrolleret."
