Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Celler og krop,Hvilket organ pumper blod gennem kredsløbet?,100,hjertet,leveren,milten,bugspytkirtlen,,,,hjertet - Lex er Danmarks nationalleksikon,https://lex.dk/hjertet,OK,2026-07-09,"Underbygger hjertet som muskel/pumpe, der pumper blodet rundt i kroppen."
Celler og krop,Hvilke organer filtrerer blodet og danner urin?,200,nyrerne,lungerne,tarmene,skjoldbruskkirtlerne,,,,nyrerne - Lex er Danmarks nationalleksikon,https://lex.dk/nyrerne,OK,2026-07-09,"Underbygger nyrerne som organer, der danner urin."
Celler og krop,Hvilket organ producerer galde?,300,leveren,galdeblæren,mavesækken,nyren,,,,"galde - Læs mere om funktion, indhold og produktion – Lex",https://lex.dk/galde,OK,2026-07-09,Underbygger at galde dannes i leveren.
Celler og krop,Hvor optages størstedelen af næringsstofferne fra fordøjelsen?,400,i tyndtarmen,i mavesækken,i spiserøret,i tyktarmen,,,,tarmabsorption - Læs om optagelse af næringsstoffer – Lex,https://lex.dk/tarmabsorption,OK,2026-07-09,Underbygger at størstedelen af optagelsen af næringsstoffer foregår i tyndtarmen.
Celler og krop,Hvilke blodbestanddele spiller en central rolle i koagulation?,500,blodplader,røde blodlegemer,lymfekar,nerveceller,,,,Blodets bestanddele,https://bloddonor.dk/fakta-om-blod/blodets-bestanddele/,OK,2026-07-09,Underbygger blodpladernes rolle i at få blodet til at størkne.
Celler og krop,I hvilke små lungestrukturer foregår hovedparten af gasudvekslingen?,600,alveolerne,bronkierne,mellemgulvet,strubehovedet,,,,alveoler – i lungerne - Lex er Danmarks nationalleksikon,https://lex.dk/alveoler_-_i_lungerne,OK,2026-07-09,Underbygger alveoler og gasudveksling i lungerne.
Celler og krop,Hvilket hormon sænker normalt blodets glukosekoncentration?,700,insulin,adrenalin,thyroxin,melatonin,,,,insulin - Lex er Danmarks nationalleksikon,https://lex.dk/insulin,OK,2026-07-09,"Underbygger insulin som hormon, der sænker blodsukker/glukose i blodet."
Arv og evolution,Hvilken munk er kendt for arvelighedsforsøg med ærteplanter?,100,Gregor Mendel,Charles Lyell,Robert Hooke,Louis Pasteur,,,,Gregor Mendel - Munk og planteforsker - Genetik - Lex,https://lex.dk/Gregor_Mendel,OK,2026-07-09,Underbygger Gregor Mendels arvelighedsforsøg med ærteplanter.
Arv og evolution,Hvilken proces beskrev Darwin og Wallace som en vigtig mekanisme i evolution?,200,naturlig selektion,kunstig respiration,spontan generation,geologisk erosion,,,,selektion - Lex er Danmarks nationalleksikon,https://lex.dk/selektion,OK,2026-07-09,Underbygger naturlig selektion som mekanisme foreslået af Darwin og Wallace.
Arv og evolution,Hvad er en mutation?,300,en ændring i arvematerialets sekvens eller struktur,en normal celledeling uden ændring,en ændring i vejret,en midlertidig muskelsammentrækning,,,,mutation - I gener og kromosomer - Læs om årsager - Lex,https://lex.dk/mutation,OK,2026-07-09,Underbygger mutation som ændring i cellens DNA/arveanlæg.
Arv og evolution,Hvad er en organismes fænotype?,400,dens observerbare egenskaber,dens DNA-sekvens alene,dens antal mutationer alene,dens placering i et økosystem,,,,fænotype - Genetik - Egenskaber - Miljø - Læs mere – Lex,https://lex.dk/f%C3%A6notype,OK,2026-07-09,Underbygger fænotype som individets observerbare fremtoning/egenskaber.
Arv og evolution,Hvad er en organismes genotype?,500,dens genetiske sammensætning for de betragtede gener,dens synlige miljø alene,dens samlede fødeindtag,dens alder i generationer,,,,genotype - Den genetiske indretning af et individ - Lex,https://lex.dk/genotype,OK,2026-07-09,Underbygger genotype som individets genetiske indretning.
Arv og evolution,Hvad er en biologisk tilpasning?,600,"en arvelig egenskab, der øger succes i et bestemt miljø",enhver ændring et individ vælger i løbet af livet,et tilfældigt vejrfænomen,en sygdom uden arvelig betydning,,,,tilpasning - Lex er Danmarks nationalleksikon,https://lex.dk/tilpasning,OK,2026-07-09,Underbygger biologisk tilpasning/adaptation som egenskab i forhold til miljøet.
Planter og svampe,Hvad kræver de fleste frø som minimum for at spire?,100,"vand, ilt og passende temperatur","stærkt lys, salt og frost",kuldioxid uden vand,jord som et absolut krav,,,,"planter - Læs om fysiologi, vækst og evolution - Lex",https://lex.dk/planter,OK,2026-07-09,"Underbygger at et spirende frø kræver vand, ilt og passende temperatur."
Planter og svampe,Hvilken plantedel udvikles normalt til frugten efter befrugtning?,200,frugtknuden,støvknappen,bægerbladet,rodhætten,,,,"frugt - Læs om opbygning, spredning og modning - Lex",https://lex.dk/frugt,OK,2026-07-09,"Underbygger frugt, frugtknude og frøanlæg i frugtanlægget."
Planter og svampe,Hvad er befrugtning hos blomsterplanter?,300,sammensmeltning af hanlig og hunlig kønscelle,overførsel af pollen til støvfang,udvikling af rodhår,fordampning fra bladet,,,,plantefysiologi – Lex,https://lex.dk/plantefysiologi,OK,2026-07-09,Underbygger frøspiring og grundlæggende plantefysiologiske processer.
Planter og svampe,Hvilken plantegruppe danner frø i kogler?,400,nøgenfrøede planter,bregner,mosser,alger,,,,nøgenfrøede - Lex er Danmarks nationalleksikon,https://lex.dk/n%C3%B8genfr%C3%B8ede,OK,2026-07-09,"Underbygger nøgenfrøede som frøplanter, bl.a. nåletræer/kogleplanter."
