Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Byer og kendte steder,Hvilken vestjysk by blev udbygget som eksporthavn efter nederlaget i 1864?,100,Esbjerg,Ringkøbing,Lemvig,Thisted,,,,Trap Danmark / Lex – Esbjergs historie,https://trap.lex.dk/Esbjergs_historie,OK,2026-07-09,Dansk historisk artikel. Underbygger Esbjergs udbygning som vestjysk eksporthavn efter 1864.
Byer og kendte steder,Hvilken by ligger ved Gudenåens udløb i Randers Fjord?,200,Randers,Silkeborg,Horsens,Vejle,,,,Lex – Randers,https://lex.dk/Randers,OK,2026-07-09,Dansk leksikonartikel. Underbygger Randers’ placering ved Gudenåens udmunding i Randers Fjord.
Byer og kendte steder,"Hvilken midtjysk by er kendt for søerne, skovene og Museum Jorn?",300,Silkeborg,Herning,Viborg,Skive,,,,Lex – Silkeborg,https://lex.dk/Silkeborg,OK,2026-07-09,"Dansk leksikonartikel. Underbygger Silkeborgs placering ved søerne og byens kulturliv, herunder Museum Jorn-området."
Landskab og farvande,Hvilket farvand ligger mellem Nordjylland og Norge?,100,Skagerrak,Kattegat,Lillebælt,Storebælt,,,,Lex – Skagerrak,https://lex.dk/Skagerrak,OK,2026-07-09,Dansk leksikonartikel. Underbygger Skagerrak som farvandet mellem Nordjylland og Norge.
Landskab og farvande,Hvilket farvand ligger øst for Jylland mellem Danmark og Sverige?,200,Kattegat,Skagerrak,Vadehavet,Øresund,,,,Lex – Kattegat,https://lex.dk/Kattegat,OK,2026-07-09,Dansk leksikonartikel. Underbygger Kattegat øst for Jylland mellem Danmark og Sverige.
Landskab og farvande,Hvilket bælt adskiller Jylland fra Fyn?,300,Lillebælt,Storebælt,Femern Bælt,Øresund,,,,Lex – Lillebælt,https://lex.dk/Lilleb%C3%A6lt,OK,2026-07-09,Dansk leksikonartikel. Underbygger Lillebælt som farvand mellem Jylland og Fyn.
Historie og arkæologi,Hvad kaldes vikingeborgen ved Hobro?,100,Fyrkat,Trelleborg,Borgring,Nonnebakken,,,,Lex – Fyrkat,https://lex.dk/Fyrkat,OK,2026-07-09,Dansk leksikonartikel. Underbygger Fyrkat som vikingeborg ved Hobro.
Historie og arkæologi,Hvad hedder den store ringborg ved Limfjorden nær Aggersund?,200,Aggersborg,Fyrkat,Trelleborg,Borgeby,,,,Lex – Aggersborg,https://lex.dk/Aggersborg,OK,2026-07-09,Dansk leksikonartikel. Underbygger Aggersborg som stor ringborg ved Limfjorden nær Aggersund.
"Kultur, erhverv og forbindelser",Hvilken lyd- og designvirksomhed blev grundlagt i Struer i 1925?,100,Bang & Olufsen,LEGO,Vestas,Grundfos,,,,Lex – Bang & Olufsen,https://lex.dk/Bang_%26_Olufsen,OK,2026-07-09,Dansk leksikonartikel. Underbygger Bang & Olufsen som lyd- og designvirksomhed grundlagt i Struer i 1925.
"Kultur, erhverv og forbindelser",Hvilken pumpevirksomhed har hovedsæde i Bjerringbro?,200,Grundfos,Danfoss,Velux,JYSK,,,,Grundfos – Our history,https://www.grundfos.com/dk/about-us/who-we-are/the-history-of-grundfos,OK,2026-07-09,Officiel virksomhedsside. Underbygger Grundfos’ historiske tilknytning til Bjerringbro og virksomhedens pumpehistorie.
