Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Renæssance og barok,Hvem komponerede værket “Tafelmusik”?,100,Georg Philipp Telemann,Arcangelo Corelli,Johann Pachelbel,Dieterich Buxtehude,,,,Wikipedia – Tafelmusik (Telemann),https://en.wikipedia.org/wiki/Tafelmusik_(Telemann),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “Les Indes galantes”?,200,Jean-Philippe Rameau,Jean-Baptiste Lully,Marc-Antoine Charpentier,François Couperin,,,,Wikipedia – Les Indes galantes,https://en.wikipedia.org/wiki/Les_Indes_galantes,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “operaen Armide fra 1686”?,300,Jean-Baptiste Lully,Jean-Philippe Rameau,Marc-Antoine Charpentier,François Couperin,,,,Wikipedia – Armide (Lully),https://en.wikipedia.org/wiki/Armide_(Lully),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,"Hvem komponerede værket “Te Deum, H. 146”?",400,Marc-Antoine Charpentier,Jean-Philippe Rameau,Jean-Baptiste Lully,François Couperin,,,,Wikipedia – Te Deum (Charpentier),https://en.wikipedia.org/wiki/Te_Deum_(Charpentier),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “Membra Jesu nostri”?,500,Dieterich Buxtehude,Arcangelo Corelli,Johann Pachelbel,Georg Philipp Telemann,,,,Wikipedia – Membra Jesu Nostri,https://en.wikipedia.org/wiki/Membra_Jesu_Nostri,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “Essercizi per gravicembalo”?,600,Domenico Scarlatti,Giovanni Battista Pergolesi,Tomaso Albinoni,Pietro Locatelli,,,,Wikipedia – Essercizi per Gravicembalo,https://en.wikipedia.org/wiki/Essercizi_per_Gravicembalo,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “Les Nations”?,700,François Couperin,Jean-Philippe Rameau,Jean-Baptiste Lully,Marc-Antoine Charpentier,,,,Wikipedia – Les Nations,https://en.wikipedia.org/wiki/Les_Nations,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,Hvem komponerede værket “Den ufuldendte symfoni”?,100,Franz Schubert,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Carl Maria von Weber,,,,Wikipedia – Symphony No. 8 (Schubert),https://en.wikipedia.org/wiki/Symphony_No._8_(Schubert),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,Hvem komponerede værket “operaen Il barbiere di Siviglia fra 1816”?,200,Gioachino Rossini,Vincenzo Bellini,Gaetano Donizetti,Luigi Cherubini,,,,Wikipedia – The Barber of Seville,https://en.wikipedia.org/wiki/The_Barber_of_Seville,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,"Hvem komponerede værket “Violinkoncerten i D-dur, opus 61”?",300,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Franz Schubert,Carl Maria von Weber,,,,Wikipedia – Violin Concerto (Beethoven),https://en.wikipedia.org/wiki/Violin_Concerto_(Beethoven),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
