Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Fysik og energi,Hvad beregnes fart som?,100,afstand divideret med tid,tid divideret med afstand,masse gange fart,kraft divideret med areal,,,,OpenStax Physics – Speed and Velocity,https://openstax.org/books/physics/pages/2-2-speed-and-velocity,OK,2026-07-09,Åben fysikbog. Underbygger fart som distance/afstand divideret med tid.
Fysik og energi,Hvad er SI-enheden for elektrisk strømstyrke?,200,ampere,volt,ohm,coulomb,,,,NIST – SI Units: Electric Current,https://www.nist.gov/pml/owm/si-units-electric-current,OK,2026-07-09,"Officiel NIST-side om ampere, volt og ohm samt relationer mellem elektriske SI-enheder."
Fysik og energi,Hvad er SI-enheden for elektrisk spænding?,300,volt,ampere,watt,tesla,,,,NIST – SI Units: Electric Current,https://www.nist.gov/pml/owm/si-units-electric-current,OK,2026-07-09,"Officiel NIST-side om ampere, volt og ohm samt relationer mellem elektriske SI-enheder."
Fysik og energi,Hvad er SI-enheden for elektrisk modstand?,400,ohm,volt,ampere,henry,,,,NIST – SI Units: Electric Current,https://www.nist.gov/pml/owm/si-units-electric-current,OK,2026-07-09,"Officiel NIST-side om ampere, volt og ohm samt relationer mellem elektriske SI-enheder."
Kemi og stoffer,Hvad angiver et grundstofs atomnummer?,100,antallet af protoner,antallet af neutroner,antallet af elektronskaller,atomets masse i gram,,,,"Chemistry LibreTexts – Atoms, Molecules, and Ions",https://chem.libretexts.org/Courses/Lansing_Community_College/LCC%3A_Chem_151_-_General_Chemistry_I/Text/02%3A_Atoms_Molecules_and_Ions,OK,2026-07-09,"Åben kemikilde om protoner, neutroner, elektroner, atomnummer, isotoper og ioner."
Kemi og stoffer,Hvad kaldes atomer af samme grundstof med forskelligt antal neutroner?,200,isotoper,ioner,legeringer,polymerer,,,,NIST – SI Units,https://www.nist.gov/pml/owm/metric-si/si-units,OK,2026-07-09,Officiel NIST-side om SI-systemets grundenheder og afledte enheder med særlige navne og symboler.
Kemi og stoffer,Hvad kaldes et atom eller molekyle med elektrisk nettoladning?,300,en ion,en isotop,en katalysator,en opløsning,,,,NIST – SI Units,https://www.nist.gov/pml/owm/metric-si/si-units,OK,2026-07-09,Officiel NIST-side om SI-systemets grundenheder og afledte enheder med særlige navne og symboler.
Kemi og stoffer,Hvad er den kemiske formel for vand?,400,H₂O,CO₂,O₂,H₂O₂,,,,Lex – vand,https://lex.dk/vand,OK,2026-07-09,Dansk nationalleksikon. Underbygger vand som H₂O og vandets centrale fysiske egenskaber.
Jorden og vejret,Hvad driver hovedsageligt bevægelsen af Jordens tektoniske plader?,100,varmestrømme i kappen,Månens lys,vind i troposfæren,havets saltholdighed,,,,Khan Academy – What is kinetic energy?,https://www.khanacademy.org/science/highschool-physics/x6679aa2c65c01e53%3Aenergy/x6679aa2c65c01e53%3Awork-and-power/a/what-is-kinetic-energy,OK,2026-07-09,Åben undervisningsside om kinetisk energi som energi knyttet til bevægelse.
Jorden og vejret,"Hvad kaldes grænsen, hvor to tektoniske plader bevæger sig fra hinanden?",200,en divergent pladegrænse,en konvergent pladegrænse,en transform pladegrænse,en erosionsfront,,,,National Geographic Education – Plate Tectonics,https://education.nationalgeographic.org/resource/plate-tectonics/,OK,2026-07-09,"Åben undervisningsside om pladetektonik, pladegrænser, konvektion/varmestrømme og pladebevægelser."
Jorden og vejret,"Hvad kaldes grænsen, hvor to tektoniske plader bevæger sig mod hinanden?",300,en konvergent pladegrænse,en divergent pladegrænse,en passiv kyst,en vejrfront,,,,National Geographic Education – Plate Tectonics,https://education.nationalgeographic.org/resource/plate-tectonics/,OK,2026-07-09,"Åben undervisningsside om pladetektonik, pladegrænser, konvektion/varmestrømme og pladebevægelser."
Jorden og vejret,"Hvad kaldes instrumentet, der måler jordens rystelser ved et jordskælv?",400,et seismometer,et barometer,et hygrometer,et anemometer,,,,USGS – The Science of Earthquakes,https://www.usgs.gov/programs/earthquake-hazards/science-earthquakes,OK,2026-07-09,"Officiel USGS-formidling om jordskælv, hypocenter/focus, epicenter og seismiske processer."
Måling og metode,Hvorfor bruges en kontrolgruppe i et forsøg?,100,for at give et sammenligningsgrundlag,for at skjule resultaterne,for at gøre alle variable forskellige,for at erstatte gentagelser,,,,OpenStax Biology 2e – The Science of Biology,https://openstax.org/books/biology-2e/pages/1-1-the-science-of-biology,OK,2026-07-09,"Åben lærebogskilde om hypoteser, variable, kontrollerede forsøg, kontrolgruppe og peer review i naturvidenskab."
Måling og metode,Hvorfor gentages målinger i et eksperiment?,200,for at vurdere variation og øge pålideligheden,for at sikre præcis samme tilfældige fejl,for at ændre hypotesen undervejs,for at undgå at beregne gennemsnit,,,,PMC/NIH – The Scientific Method: A Need for Something Better?,https://pmc.ncbi.nlm.nih.gov/articles/PMC7965632/,OK,2026-07-09,"Åben fagartikel, der bl.a. fremhæver gentagelighed/reproducerbarhed som central i naturvidenskabelig metode."
Måling og metode,Hvad beskriver målenøjagtighed?,300,hvor tæt en måling er på den sande værdi,hvor ens gentagne målinger er,hvor mange decimaler der skrives,hvor hurtigt målingen foretages,,,,OpenStax Concepts of Biology – The Process of Science,https://openstax.org/books/concepts-biology/pages/1-2-the-process-of-science,OK,2026-07-09,"Åben lærebogskilde om naturvidenskabelig metode, variable, kontroller og forsøgsdesign."
