Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Guder og slægter,"Hvilken gud mistede sin hånd, da Fenrisulven blev bundet?",100,Tyr,Brage,Ull,Forsete,,,,Wikipedia – Týr,https://en.wikipedia.org/wiki/T%C3%BDr,OK,2026-07-09,"Åben artikel om Tyr/Týr, herunder hans rolle i Fenrisulvens binding og forbindelsen til tirsdag."
Guder og slægter,"Hvilken gudinde vogter de æbler, der holder guderne unge?",200,Idun,Sif,Skade,Nanna,,,,Wikipedia – Iðunn,https://en.wikipedia.org/wiki/I%C3%B0unn,OK,2026-07-09,"Åben artikel om Idun/Iðunn og æblerne, der holder guderne unge."
Guder og slægter,Hvem er Frejas bror blandt vanerne?,300,Frej,Balder,Brage,Vidar,,,,Wikipedia – Freyr,https://en.wikipedia.org/wiki/Freyr,OK,2026-07-09,"Åben artikel om Frej/Freyr, hans slægt, skib og forholdet til Gerda."
Væsner og genstande,"Hvad hedder den vældige ulv, som guderne binder med Gleipner?",100,Fenrisulven,Garm,Skoll,Hati,,,,Wikipedia – Fenrir,https://en.wikipedia.org/wiki/Fenrir,OK,2026-07-09,Åben artikel om Fenrir/Fenrisulven og hans binding med Gleipner.
Væsner og genstande,"Hvad hedder Midgårdsormen, der ligger omkring menneskenes verden?",200,Jormungand,Nidhug,Fafner,Garm,,,,Wikipedia – Jörmungandr,https://en.wikipedia.org/wiki/J%C3%B6rmungandr,OK,2026-07-09,Åben artikel om Jormungand/Jörmungandr som Midgårdsormen.
Væsner og genstande,Hvad hedder Odins spyd?,300,Gungner,Gram,Dainsleif,Tyrfing,,,,Wikipedia – Gungnir,https://en.wikipedia.org/wiki/Gungnir,OK,2026-07-09,Åben artikel om Odins spyd Gungnir/Gungner.
Verdener og fortællinger,"Hvad hedder gudernes borg, hvor aserne bor?",100,Asgård,Alfheim,Niflheim,Hel,,,,Wikipedia – Asgard,https://en.wikipedia.org/wiki/Asgard,OK,2026-07-09,Åben artikel om Asgård/Asgard som asernes/gudernes verden.
Verdener og fortællinger,"Hvad hedder verdenstræet, som forbinder mytologiens verdener?",200,Yggdrasil,Lærad,Mimameid,Barnstok,,,,Lex – Yggdrasil,https://lex.dk/Yggdrasil,OK,2026-07-09,Lex beskriver Yggdrasil som verdenstræet i nordisk mytologi.
"Kilder, ritualer og ord","Hvem skrev Den Yngre Edda, også kaldet Snorres Edda?",100,Snorre Sturlason,Saxo Grammaticus,Ari den Frode,Sæmund den Vise,,,,Lex – Snorres_Edda,https://lex.dk/Snorres_Edda,OK,2026-07-09,Lex beskriver Snorres Edda som skrevet af Snorre/Snorri Sturluson.
"Kilder, ritualer og ord",Hvilket eddadigt fortæller om Thors jagt på den stjålne hammer?,200,Trymskvadet,Håvamål,Vølvens Spådom,Loketrætten,,,,Lex – Trymskvadet,https://lex.dk/Trymskvadet,OK,2026-07-09,Lex beskriver Trymskvadet som eddadigtet om Tryms tyveri af Thors hammer.
