Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Lande og styreformer,Hvad betaler man officielt med i Grønland?,100,danske kroner,euro,islandske kroner,canadiske dollars,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Lande og styreformer,Hvilket betalingsmiddel anvendes på Åland?,200,euro,svenske kroner,danske kroner,norske kroner,,,,Nordisk Samarbejde – About Åland,https://www.norden.org/en/information/about-aland,OK,2026-07-09,"Officiel nordisk faktaside om Åland; underbygger Mariehamn, svensk som officielt sprog, euro, selvstyre, øtal og Lagtinget."
Lande og styreformer,Hvilket rige er Færøerne en selvstyrende del af?,300,Kongeriget Danmark,Kongeriget Norge,Republikken Finland,Kongeriget Sverige,,,,Nordisk Samarbejde – Facts about the Faroe Islands,https://www.norden.org/en/information/facts-about-faroe-islands,OK,2026-07-09,"Officiel nordisk faktaside om Færøerne; underbygger hovedstad, sprog, øtal, højeste punkt, selvstyre og valuta."
Lande og styreformer,Hvilket rige er Grønland en selvstyrende del af?,400,Kongeriget Danmark,Kongeriget Norge,Republikken Island,Republikken Finland,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Lande og styreformer,Hvilken stat er Åland en selvstyrende del af?,500,Finland,Sverige,Danmark,Norge,,,,Nordisk Samarbejde – About Åland,https://www.norden.org/en/information/about-aland,OK,2026-07-09,"Officiel nordisk faktaside om Åland; underbygger Mariehamn, svensk som officielt sprog, euro, selvstyre, øtal og Lagtinget."
Lande og styreformer,Hvilken institution er Danmarks parlament?,600,Folketinget,Stortinget,Riksdagen,Altinget,,,,Folketinget – The Danish Parliament,https://www.thedanishparliament.dk/en,OK,2026-07-09,"Officiel side for Danmarks parlament, Folketinget."
Lande og styreformer,Hvilket navn har det norske parlament?,700,Stortinget,Folketinget,Riksdagen,Eduskunta,,,,Stortinget – About the Storting,https://www.stortinget.no/en/In-English/About-the-Storting/,OK,2026-07-09,Officiel side om Stortinget som Norges parlament.
Natur og geografi,Hvilken bjergtop er Islands højeste?,100,Hvannadalshnúkur,Hekla,Katla,Galdhøpiggen,,,,Nordisk Samarbejde – Facts about Iceland,https://www.norden.org/en/information/facts-about-iceland,OK,2026-07-09,"Officiel nordisk faktaside om Island; underbygger hovedstad, valuta, sprog, geografi og nationaldata."
Natur og geografi,Hvilket bjerg rager højest op i Grønland?,200,Gunnbjørn Fjeld,Hvannadalshnúkur,Halti,Kebnekaise,,,,Nordisk Samarbejde – Facts about Greenland,https://www.norden.org/en/information/facts-about-greenland,OK,2026-07-09,"Officiel nordisk faktaside om Grønland; underbygger Nuuk, grønlandsk/kalaallisut, valuta, areal, højeste punkt og selvstyre."
Natur og geografi,Hvilken færøsk top er øgruppens højeste?,300,Slættaratindur,Sornfelli,Orrdalsklint,Galdhøpiggen,,,,Nordisk Samarbejde – Facts about the Faroe Islands,https://www.norden.org/en/information/facts-about-faroe-islands,OK,2026-07-09,"Officiel nordisk faktaside om Færøerne; underbygger hovedstad, sprog, øtal, højeste punkt, selvstyre og valuta."
