Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Regning,Hvad er 304 - 167?,100,137,127,147,139,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 14 · 9?,200,126,116,124,136,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 144 ÷ 12?,300,12,10,11,14,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Regning,Hvad er 18 + 27 - 9?,400,36,34,38,45,,,,Khan Academy – Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782%3Acc-6th-exponents-and-order-of-operations/x0267d782%3Amore-on-order-of-operations/a/order-of-operations-review,OK,2026-07-09,"Åben undervisningskilde om regnehierarki, parenteser, eksponenter og aritmetisk evaluering. Talresultatet i spørgsmålet er kontrolleret med regnereglen."
Brøker og procent,Hvilken brøk forkortes 6/8 til?,100,3/4,2/3,4/5,5/6,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 10 % af 350?,200,35,30,40,45,,,,Khan Academy – Rates and percentages,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,OK,2026-07-09,"Åben undervisningskilde om procent, rabatter, ændringer og procentregning. Underbygger metoden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 2/3 + 1/3?,300,1,2/6,3/6,4/3,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Brøker og procent,Hvad er 5/6 - 1/3?,400,1/2,1/3,2/3,4/6,,,,"Khan Academy – Fractions, decimals, & percentages",https://www.khanacademy.org/kmap/numbers-and-operations-h/no224-fractions-decimals-percentages,OK,2026-07-09,"Åben Khan Academy-enhed om brøker, decimaltal, procent og regning med tal i forskellige former. Underbygger fremgangsmåden; talresultatet er kontrolleret."
Geometri og måling,"Hvor mange millimeter er 3,5 cm?",100,35 mm,"3,5 mm",350 mm,"0,35 mm",,,,Math is Fun – Metric Length,https://www.mathsisfun.com/measure/metric-length.html,OK,2026-07-09,Åben forklaring af metriske længdeenheder og omregning mellem cm og mm. Underbygger enhedsomregningen; talresultatet er kontrolleret.
Geometri og måling,Hvad er arealet af en trekant med grundlinje 8 cm og højde 5 cm?,200,20 cm²,13 cm²,40 cm²,80 cm²,,,,Math is Fun – Area of Plane Shapes,https://www.mathsisfun.com/area.html,OK,2026-07-09,"Åben formelside for areal af rektangel, trekant, kvadrat, parallelogram og cirkel. Underbygger formelvalget; talresultatet er kontrolleret."
Geometri og måling,Hvad er diameteren i en cirkel med radius 7 cm?,300,14 cm,"3,5 cm",7 cm,21 cm,,,,Math is Fun – Circle,https://www.mathsisfun.com/geometry/circle.html,OK,2026-07-09,"Åben formelside om radius, diameter, omkreds og areal i cirkler. Underbygger formelvalget; talresultatet er kontrolleret."
Geometri og måling,Hvor mange liter er 2.500 ml?,400,"2,5 liter","0,25 liter",25 liter,250 liter,,,,Math is Fun – Metric Volume,https://www.mathsisfun.com/measure/metric-volume.html,OK,2026-07-09,"Åben forklaring af metriske rumfangsenheder, herunder ml og liter. Underbygger enhedsomregningen; talresultatet er kontrolleret."
Tal og algebra,Hvilken værdi af x løser x + 7 = 19?,100,12,10,11,13,,,,Khan Academy – Solving equations & inequalities,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solving-equations-inequalities,OK,2026-07-09,Åben Khan Academy-enhed om løsning af ligninger. Underbygger ligningsmetoden; talresultatet er kontrolleret.
Tal og algebra,Hvad er den største fælles divisor for 12 og 18?,200,6,2,3,9,,,,Khan Academy – Greatest common factor,https://www.khanacademy.org/v/greatest-common-divisor,OK,2026-07-09,Åben undervisningskilde om største fælles divisor/faktor. Underbygger metoden; talresultatet er kontrolleret.
Tal og algebra,Hvad er det mindste fælles multiplum for 4 og 6?,300,12,8,10,24,,,,Khan Academy – Least common multiple,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-lcm/v/least-common-multiple-exercise,OK,2026-07-09,Åben undervisningskilde om mindste fælles multiplum. Underbygger metoden; talresultatet er kontrolleret.
