Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Pionerer og milepæle,Hvem blev det første menneske i rummet?,100,Jurij Gagarin,Alan Shepard,John Glenn,Aleksej Leonov,,,,NASA – Yuri Gagarin: First Human in Space,https://www.nasa.gov/history/60-years-ago-yuri-gagarin-becomes-the-first-human-in-space/,OK,2026-07-09,NASA-historik om Jurij Gagarin som første menneske i rummet på Vostok 1.
Pionerer og milepæle,Hvilket dyr blev sendt i kredsløb om Jorden med Sputnik 2?,200,hunden Laika,chimpansen Ham,katten Félicette,hunden Belka,,,,NASA NSSDCA – Sputnik 2,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1957-002A,OK,2026-07-09,NASA NSSDCA-katalog om Sputnik 2 og hunden Laika i kredsløb om Jorden.
Pionerer og milepæle,Hvem blev den første kvinde i rummet?,300,Valentina Teresjkova,Svetlana Savitskaja,Sally Ride,Mae Jemison,,,,NASA – Valentina Tereshkova,https://www.nasa.gov/people/valentina-tereshkova/,OK,2026-07-09,NASA-biografi om Valentina Teresjkova som første kvinde i rummet på Vostok 6.
Pionerer og milepæle,Hvad hed rumfartøjet på Jurij Gagarins historiske flyvning?,400,Vostok 1,Voskhod 1,Soyuz 1,Mercury 6,,,,NASA – Yuri Gagarin: First Human in Space,https://www.nasa.gov/history/60-years-ago-yuri-gagarin-becomes-the-first-human-in-space/,OK,2026-07-09,NASA-historik om Jurij Gagarin som første menneske i rummet på Vostok 1.
Raketter og rumfartøjer,Hvorfor bygges mange raketter i flere trin?,100,for at kassere tom masse under opstigningen,for at skabe kunstig tyngdekraft,for at undgå brug af oxidationsmiddel,for at gøre raketten tungere i kredsløb,,,,NASA Glenn – Rocket staging,https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/rocket-staging/,OK,2026-07-09,NASA Glenn-læringsside om rakettrin og hvorfor tom masse kasseres under opstigningen.
Raketter og rumfartøjer,Hvad kendetegner en faststofraketmotor?,200,brændstof og oxidationsmiddel er blandet i et fast drivmiddel,den bruger kun flydende hydrogen,den kan altid slukkes og startes frit,den kræver ilt fra atmosfæren,,,,NASA Glenn – Solid Rocket Engine,https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/solid-rocket-engine/,OK,2026-07-09,NASA Glenn-side om faststofraketmotorer med brændstof og oxidationsmiddel i fast drivmiddel.
Raketter og rumfartøjer,Hvad kendetegner en typisk raketmotor med flydende drivmidler?,300,brændstof og oxidationsmiddel opbevares i separate tanke,den har intet oxidationsmiddel,den kan kun bruges under vand,drivmidlet er støbt som én fast blok,,,,NASA Glenn – Liquid Rocket Engines,https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/liquid-rocket-engine/,OK,2026-07-09,NASA Glenn-side om raketmotorer med flydende drivmidler i separate tanke.
Raketter og rumfartøjer,Hvilket stof bruges ofte som oxidationsmiddel i kryogene raketmotorer?,400,flydende ilt,flydende kvælstof,flydende helium,flydende neon,,,,NASA – Liquid oxygen,https://www.nasa.gov/image-article/liquid-oxygen/,OK,2026-07-09,NASA-kilde om flydende ilt som kryogent oxidationsmiddel i raketmotorer.
Månen og Mars,Hvilken Apollo-mission landede tæt ved Surveyor 3 for at hente dele fra sonden?,100,Apollo 12,Apollo 11,Apollo 14,Apollo 15,,,,NASA – Apollo 12,https://www.nasa.gov/mission/apollo-12/,OK,2026-07-09,NASA-side om Apollo 12 og landingen tæt på Surveyor 3 for at hente dele fra sonden.
Månen og Mars,Hvilken Apollo-mission brugte den første Lunar Roving Vehicle på Månen?,200,Apollo 15,Apollo 12,Apollo 13,Apollo 14,,,,NASA – Apollo 15,https://www.nasa.gov/mission/apollo-15/,OK,2026-07-09,NASA-side om Apollo 15 og den første Lunar Roving Vehicle på Månen.
Månen og Mars,Hvilken Apollo 17-astronaut var uddannet geolog?,300,Harrison Schmitt,Gene Cernan,Ron Evans,Alan Bean,,,,NASA – Harrison Schmitt,https://www.nasa.gov/people/harrison-schmitt/,OK,2026-07-09,NASA-biografi om Harrison Schmitt som Apollo 17-astronaut og uddannet geolog.
Månen og Mars,Hvilken mission gennemførte den første bløde landing på Månens bagside?,400,Chang’e 4,Chang’e 3,Luna 24,Chandrayaan-2,,,,NASA Science – Chang’e 4,https://science.nasa.gov/mission/change-4/,OK,2026-07-09,NASA Science-side om Chang’e 4 som første bløde landing på Månens bagside og roveren Yutu-2.
Satellitter og rumstationer,Hvad hed den første vellykkede meteorologiske satellit?,100,TIROS-1,Telstar 1,Vanguard 1,Skylab,,,,NASA – TIROS-1,https://www.nasa.gov/history/tiros-1-the-first-weather-satellite/,OK,2026-07-09,NASA-historik om TIROS-1 som den første vellykkede meteorologiske satellit.
Satellitter og rumstationer,"Hvilken satellitserie begyndte i 1972 med Earth Resources Technology Satellite, senere Landsat 1?",200,Landsat,Galileo,Voyager,Apollo,,,,NASA – Landsat,https://science.nasa.gov/mission/landsat/,OK,2026-07-09,"NASA Science-side om Landsat-programmet, der begyndte med Earth Resources Technology Satellite/Landsat 1 i 1972."
Satellitter og rumstationer,Hvad er hovedformålet med navigationssystemet GPS?,300,at bestemme position og tid ved hjælp af satellitsignaler,at måle havdybde med sonar,at sende mennesker til Månen,at skabe kunstig tyngdekraft,,,,GPS.gov – What is GPS?,https://www.gps.gov/systems/gps/,OK,2026-07-09,"Officiel amerikansk GPS-side om GPS som satellitbaseret system til position, navigation og tid."
