Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Instruktører og film,Hvem instruerede “Blue Velvet” fra 1986?,100,David Lynch,Brian De Palma,David Cronenberg,Jim Jarmusch,,,,Wikipedia – Blue Velvet (film),https://en.wikipedia.org/wiki/Blue_Velvet_(film),OK,2026-07-09,Åben filmartikel. Underbygger instruktøren bag Blue Velvet.
Instruktører og film,"Hvem instruerede “Paris, Texas” fra 1984?",200,Wim Wenders,Werner Herzog,Rainer Werner Fassbinder,Volker Schlöndorff,,,,"Wikipedia – Paris, Texas (film)","https://en.wikipedia.org/wiki/Paris,_Texas_(film)",OK,2026-07-09,"Åben filmartikel. Underbygger instruktøren bag Paris, Texas."
Instruktører og film,Hvem instruerede “Wings of Desire” fra 1987?,300,Wim Wenders,Percy Adlon,Margarethe von Trotta,Werner Herzog,,,,Wikipedia – Wings of Desire,https://en.wikipedia.org/wiki/Wings_of_Desire,OK,2026-07-09,Åben filmartikel. Underbygger instruktøren bag Wings of Desire.
Instruktører og film,Hvem instruerede “Fanny and Alexander” fra 1982?,400,Ingmar Bergman,Lasse Hallström,Bo Widerberg,Bille August,,,,Wikipedia – Fanny and Alexander,https://en.wikipedia.org/wiki/Fanny_and_Alexander,OK,2026-07-09,Åben filmartikel. Underbygger instruktøren bag Fanny and Alexander.
Instruktører og film,Hvem instruerede “The Sacrifice” fra 1986?,500,Andrei Tarkovsky,Elem Klimov,Nikita Mikhalkov,Krzysztof Kieślowski,,,,Wikipedia – The Sacrifice (1986 film),https://en.wikipedia.org/wiki/The_Sacrifice_(1986_film),OK,2026-07-09,Åben filmartikel. Underbygger instruktøren bag The Sacrifice.
Instruktører og film,Hvem instruerede “The Color Purple” fra 1985?,600,Steven Spielberg,Sidney Lumet,Norman Jewison,Jonathan Demme,,,,Wikipedia – The Color Purple (1985 film),https://en.wikipedia.org/wiki/The_Color_Purple_(1985_film),OK,2026-07-09,Åben filmartikel. Underbygger instruktør og rollebesætning for The Color Purple.
Instruktører og film,Hvem instruerede krigsfilmen “Platoon” fra 1986?,700,Oliver Stone,Stanley Kubrick,Francis Ford Coppola,Michael Mann,,,,Wikipedia – Platoon (film),https://en.wikipedia.org/wiki/Platoon_(film),OK,2026-07-09,Åben filmartikel. Underbygger instruktør og Oscar-sammenhæng for Platoon.
Roller og skuespillere,Hvem spiller Claire Standish i “The Breakfast Club”?,100,Molly Ringwald,Ally Sheedy,Demi Moore,Jennifer Jason Leigh,,,,Wikipedia – The Breakfast Club,https://en.wikipedia.org/wiki/The_Breakfast_Club,OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og figur for The Breakfast Club.
Roller og skuespillere,Hvem spiller danseinstruktøren Johnny Castle i “Dirty Dancing”?,200,Patrick Swayze,Kevin Bacon,John Travolta,Richard Gere,,,,Wikipedia – Dirty Dancing,https://en.wikipedia.org/wiki/Dirty_Dancing,OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og centrale oplysninger om Dirty Dancing.
Roller og skuespillere,Hvem spiller svejseren og danseren Alex Owens i “Flashdance”?,300,Jennifer Beals,Lori Singer,Debra Winger,Kim Basinger,,,,Wikipedia – Flashdance,https://en.wikipedia.org/wiki/Flashdance,OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og figur for Flashdance.
Roller og skuespillere,Hvem spiller Loretta Castorini i “Moonstruck”?,400,Cher,Meryl Streep,Jessica Lange,Sally Field,,,,Wikipedia – Moonstruck,https://en.wikipedia.org/wiki/Moonstruck,OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og figur for Moonstruck.
Roller og skuespillere,Hvem spiller Raymond Babbitt i “Rain Man”?,500,Dustin Hoffman,Tom Cruise,Jack Lemmon,William Hurt,,,,Wikipedia – Rain Man,https://en.wikipedia.org/wiki/Rain_Man,OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og Oscar-sammenhæng for Rain Man.
Roller og skuespillere,Hvem spiller Mahatma Gandhi i Richard Attenboroughs film fra 1982?,600,Ben Kingsley,Om Puri,Roshan Seth,Alec Guinness,,,,Wikipedia – Gandhi (film),https://en.wikipedia.org/wiki/Gandhi_(film),OK,2026-07-09,Åben filmartikel. Underbygger rollebesætning og Oscar-sammenhæng for Gandhi.
