Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Kommunikation og medier,Hvem grundlagde Kodak og gjorde rullefilm til et masseprodukt?,100,George Eastman,Edwin Land,Louis Daguerre,Eadweard Muybridge,,,,fotografi – den fotografiske teknik – Lex,https://lex.dk/fotografi_-_den_fotografiske_teknik,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Eastman og rullefilm/fotografiets teknik.
Kommunikation og medier,Hvilket kombineret filmkamera og projektionsapparat forbindes med brødrene Lumière?,200,Cinématographe,kinetoskopet,fonografen,laterna magica,,,,film – Lex,https://lex.dk/film,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Lumière og Cinématographe.
Kommunikation og medier,Hvilken fotografisk proces blev offentliggjort af Louis Daguerre i 1839?,300,daguerreotypien,cyanotypien,autokromprocessen,xerografien,,,,fotografi – den fotografiske teknik – Lex,https://lex.dk/fotografi_-_den_fotografiske_teknik,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Daguerre og daguerreotypien.
Kommunikation og medier,Hvem tog det ældste bevarede fotografi fra et kamera omkring 1826 eller 1827?,400,Joseph Nicéphore Niépce,Louis Daguerre,George Eastman,William Henry Fox Talbot,,,,fotografi – den fotografiske teknik – Lex,https://lex.dk/fotografi_-_den_fotografiske_teknik,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Niépce og det ældste bevarede fotografi.
Kommunikation og medier,Hvem demonstrerede i 1927 et fuldelektronisk tv-billede med sit system?,500,Philo Farnsworth,John Logie Baird,Guglielmo Marconi,Edwin Land,,,,Philo Taylor Farnsworth – Lex,https://lex.dk/Philo_Taylor_Farnsworth,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Farnsworths elektroniske tv-billede.
Transport og maskiner,Hvilken sikkerhedsanordning demonstrerede Elisha Otis til elevatorer i 1854?,100,"en fangmekanisme, der stoppede fald ved kabelbrud",en elektrisk døråbner,en hydraulisk motor,en dampdrevet modvægt,,,,"Elevator safety brake, 1854 | National Museum of American History",https://americanhistory.si.edu/collections/object-groups/otis-elevator,OK – kilde tilføjet,2026-07-09,Museums-kilde til Otis’ elevator-sikkerhedsbremse.
Transport og maskiner,Hvem fik i 1888 patent på et luftfyldt dæk til cykler?,200,John Boyd Dunlop,Karl Drais,John Kemp Starley,André Michelin,,,,John Boyd Dunlop - Wikipedia,https://en.wikipedia.org/wiki/John_Boyd_Dunlop,OK – kilde tilføjet,2026-07-09,Kilde til Dunlop og luftfyldt cykeldæk.
Transport og maskiner,"Hvem udviklede VS-300, en vigtig prototype for den moderne enrotorede helikopter?",300,Igor Sikorsky,Juan de la Cierva,Frank Whittle,Glenn Curtiss,,,,Igor Sikorsky – Lex,https://lex.dk/Igor_Sikorsky,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Sikorsky og helikopterudvikling.
Transport og maskiner,Hvem patenterede en praktisk trykluftsbremse til jernbanetog i 1869?,400,George Westinghouse,George Stephenson,Elisha Otis,Robert Fulton,,,,George Westinghouse - Wikipedia,https://en.wikipedia.org/wiki/George_Westinghouse,OK – kilde tilføjet,2026-07-09,Kilde til Westinghouse og trykluftsbremse.
Transport og maskiner,Hvilke to ingeniører udviklede jetmotorer uafhængigt i Storbritannien og Tyskland?,500,Frank Whittle og Hans von Ohain,James Watt og Thomas Newcomen,Rudolf Diesel og Nikolaus Otto,Igor Sikorsky og Juan de la Cierva,,,,jetmotor – Lex,https://lex.dk/jetmotor,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til Whittle/von Ohain og jetmotoren.
Medicin og hverdag,Hvilket apparat registrerer hjertets elektriske aktivitet?,100,elektrokardiografen,stetoskopet,spirometeret,otoskopet,,,,elektrokardiografi – Lex,https://lex.dk/elektrokardiografi,OK – kilde tilføjet,2026-07-09,Dansk Lex-kilde til EKG/elektrokardiograf.
Medicin og hverdag,"Hvem udviklede et kviksølvtermometer og den temperaturskala, der bærer hans navn?",200,Daniel Gabriel Fahrenheit,Anders Celsius,William Thomson,Evangelista Torricelli,,,,Daniel Gabriel Fahrenheit – Lex,https://lex.dk/Daniel_Gabriel_Fahrenheit,OK – kilde tilføjet,2026-07-09,"Dansk Lex-kilde til Fahrenheit, kviksølvtermometer og temperaturskala."
