Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Ansigt, blik og bevægelse",Hvad kan et hurtigt øjenbrynsløft i nogle sammenhænge fungere som?,100,en kort hilsen eller genkendelse,et universelt faresignal,et juridisk samtykke,et tegn på blindhed,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse","Hvad kaldes det, når en person ubevidst tilpasser sin kropsholdning til en anden?",200,spejling,transskription,artikulation,projektion,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse","Hvilken bevægelse viser oftest, at en lytter følger med uden at afbryde?",300,små nik,at vende ryggen til,at lukke døren,at forlade rummet,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse",Hvad kan en tydeligt hævet håndflade mod en taler ofte signalere?,400,stop eller vent,at man ikke har hænder,at man vil hviske,at man sover,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse",Hvad er mimik?,500,bevægelser og udtryk i ansigtet,ordstilling i sætninger,lyd fra maskiner,afstand mellem personer,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse",Hvad er en gestus?,600,en meningsbærende kropsbevægelse,en skriftlig overskrift,en type fodtøj,en kemisk reaktion,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Ansigt, blik og bevægelse","Hvilken ansigtsdel er central for et ægte eller socialt smil, men kan ikke alene afgøre oprigtighed?",700,mund og øjenområde,ører og nakke,hår og pande alene,underarme og knæ,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
"Stemme, rum og berøring",Hvilken afstand bruges ofte ved mere formelle møder og kundekontakt?,100,social afstand,intim afstand,søvnzone,berøringszone,,,,EBSCO Research Starters – Proxemics,https://www.ebsco.com/research-starters/social-sciences-and-humanities/proxemics,OK,2026-07-09,"Åben faglig oversigt. Underbygger Edward T. Hall, proxemics, intime/personlige/sociale/offentlige afstandszoner og kulturel variation i rumlig kommunikation."
"Stemme, rum og berøring",Hvilken afstand bruges typisk af en taler foran en større forsamling?,200,offentlig afstand,intim afstand,personlig afstand,håndtryksafstand,,,,EBSCO Research Starters – Proxemics,https://www.ebsco.com/research-starters/social-sciences-and-humanities/proxemics,OK,2026-07-09,"Åben faglig oversigt. Underbygger Edward T. Hall, proxemics, intime/personlige/sociale/offentlige afstandszoner og kulturel variation i rumlig kommunikation."
"Stemme, rum og berøring","Hvad kan det signalere, hvis en person konsekvent kommer meget for sent i en kultur, hvor punktlighed vægtes?",300,lav prioritering eller manglende respekt,altid sygdom,altid høj status,altid begejstring,,,,A Primer on Communication Studies – Types of Nonverbal Communication,https://2012books.lardbucket.org/books/a-primer-on-communication-studies/s04-02-types-of-nonverbal-communicati.html,OK,2026-07-09,"Åben lærebog. Underbygger kinesics, oculesics, haptics, vocalics, proxemics, chronemics, adaptors, emblems, illustrators, gestik, posture, eye contact, facial expressions, paralanguage og personlige afstandszoner."
