Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘lend’?,100,låne noget ud,låne af nogen,forbedre,undgå,,,,Wiktionary – lend,https://en.wiktionary.org/wiki/lend,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “lend”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘improve’?,200,forbedre,låne af nogen,låne noget ud,undgå,,,,Wiktionary – improve,https://en.wiktionary.org/wiki/improve,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “improve”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘avoid’?,300,undgå,låne af nogen,låne noget ud,forbedre,,,,Wiktionary – avoid,https://en.wiktionary.org/wiki/avoid,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “avoid”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘relieved’?,400,lettet,flov,stædig,nysgerrig,,,,Wiktionary – relieved,https://en.wiktionary.org/wiki/relieved,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “relieved”; det danske svar er en elevvenlig oversættelse/parafrase.
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘embarrassed’?,500,flov,lettet,stædig,nysgerrig,,,,Wiktionary – embarrassed,https://en.wiktionary.org/wiki/embarrassed,OK – åbnet,2026-07-09,Åbent ordbogsopslag. Underbygger betydningen af “embarrassed”; det danske svar er en elevvenlig oversættelse/parafrase.
Grammatik og udtale,Hvilken sætning står korrekt i present perfect?,100,She has lived here for five years.,She lived here since five years.,She has live here for five years.,She is lived here for five years.,,,,British Council – Present perfect,https://learnenglish.britishcouncil.org/free-resources/grammar/english-grammar-reference/present-perfect,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger konstruktionen “has lived” med varighed frem til nu.
Grammatik og udtale,Hvilken sætning bruger future continuous korrekt?,200,"At eight, I will be working.","At eight, I will working.","At eight, I am will work.","At eight, I will be work.",,,,British Council – Future continuous,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/future-continuous-future-perfect,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger formen “will be working” for future continuous.
Grammatik og udtale,"Hvilken fortsættelse er korrekt: “If I had known, …”?",300,I would have called you.,I will call you.,I would call you yesterday.,I had call you.,,,,British Council – Third conditional,https://learnenglish.britishcouncil.org/free-resources/grammar/b1-b2/conditionals-third-mixed,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger tredje konditional: had + past participle / would have + past participle.
Grammatik og udtale,Hvilken verbumsform følger normalt efter modalverbet “must”?,400,grundformen uden “to”,datidsformen,-ing-formen,perfektum participium alene,,,,"British Council Teens – have to, must and should",https://learnenglishteens.britishcouncil.org/grammar/a1-a2-grammar/have-must-should-obligation-advice,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger at “must” efterfølges af grundformen uden “to”.
Grammatik og udtale,Hvilken formulering er grammatisk korrekt?,500,between you and me,between you and I,between your and me,between yours and I,,,,British Council – Personal pronouns,https://learnenglish.britishcouncil.org/free-resources/grammar/english-grammar-reference/personal-pronouns,OK – åbnet,2026-07-09,Åben grammatikkilde. Underbygger brug af objektform efter præposition; “between you and me” er standardsprogligt korrekt.
