Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1948?,100,London,Paris,Athen,Helsinki,,,,Olympics.com – London 1948,https://www.olympics.com/en/olympic-games/london-1948,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1932?,200,Los Angeles,San Diego,San Francisco,Seattle,,,,Olympics.com – Los Angeles 1932,https://www.olympics.com/en/olympic-games/los-angeles-1932,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1920?,300,Antwerpen,Bruxelles,Gent,Amsterdam,,,,Olympics.com – Antwerp 1920,https://www.olympics.com/en/olympic-games/antwerp-1920,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1912?,400,Stockholm,Göteborg,Oslo,Helsinki,,,,Olympics.com – Stockholm 1912,https://www.olympics.com/en/olympic-games/stockholm-1912,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,"Hvilken by overtog værtskabet for sommerlegene 1908, efter at Rom trak sig?",500,London,Manchester,Paris,Athen,,,,Olympics.com – London 1908,https://www.olympics.com/en/olympic-games/london-1908,OK,2026-07-09,Officiel OL-side for London 1908. Underbygger at London var vært efter at Rom trak sig.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1904?,600,St. Louis,Chicago,Boston,Philadelphia,,,,Olympics.com – St. Louis 1904,https://www.olympics.com/en/olympic-games/st-louis-1904,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1900?,700,Paris,Athen,London,Bruxelles,,,,Olympics.com – Paris 1900,https://www.olympics.com/en/olympic-games/paris-1900,OK,2026-07-09,Officiel OL-side for den konkrete udgave. Underbygger værtsby og år.
Værtsbyer og år,"Hvilken by lagde navn til sommer-OL 2020, som på grund af pandemien blev afholdt i 2021?",800,Tokyo,Beijing,Seoul,Osaka,,,,Olympics.com – Tokyo 2020,https://www.olympics.com/en/olympic-games/tokyo-2020,OK,2026-07-09,Officiel OL-side for Tokyo 2020. Underbygger at legene bar Tokyo 2020-navnet og blev afholdt i 2021.
Sportsgrene og discipliner,Hvilke tre dele består den olympiske standardtriatlon af?,100,"1500 m svømning, 40 km cykling og 10 km løb","750 m svømning, 20 km cykling og 5 km løb","3 km svømning, 100 km cykling og 30 km løb","10 km løb, 40 km roning og 1500 m svømning",,,,World Triathlon – Competition Rules,https://www.triathlon.org/about/downloads/category/competition_rules,OK,2026-07-09,"Officiel regel-/dokumentkilde. Underbygger standarddistancen med 1500 m svømning, 40 km cykling og 10 km løb."
Sportsgrene og discipliner,Hvilke fem discipliner indgik i moderne femkamp ved Paris 2024?,200,"fægtning, svømning, ridning samt kombineret løb og skydning","cykling, roning, tennis, boksning og løb","fægtning, gymnastik, ridning, kajak og bueskydning","svømning, vægtløftning, judo, skydning og cykling",,,,UIPM – Modern Pentathlon,https://www.uipmworld.org/sport/modern-pentathlon,OK,2026-07-09,"Officiel UIPM-side. Underbygger moderne femkamp med fægtning, svømning, ridning samt kombineret løb og skydning/laser-run."
Sportsgrene og discipliner,Hvilket gymnastikredskab bruges kun i mændenes redskabsgymnastik?,300,bensvinghest,bom,forskudt barre,rytmegymnastisk bånd,,,,Olympics.com – Artistic Gymnastics,https://www.olympics.com/en/sports/artistic-gymnastics/,OK,2026-07-09,"Officiel OL-sportside. Underbygger redskabsgymnastik og de olympiske redskaber, herunder bensvinghest for mænd."
Sportsgrene og discipliner,Hvilket gymnastikredskab bruges kun i kvindernes redskabsgymnastik?,400,bom,ringe,bensvinghest,reck,,,,Olympics.com – Artistic Gymnastics,https://www.olympics.com/en/sports/artistic-gymnastics/,OK,2026-07-09,Officiel OL-sportside. Underbygger redskabsgymnastik og kvindernes bom/balance beam.
Sportsgrene og discipliner,Hvilken skydedisciplin kombineres med løb i laser-run under moderne femkamp?,500,pistolskydning,riffelskydning,bueskydning,lerdueskydning,,,,UIPM – Modern Pentathlon,https://www.uipmworld.org/sport/modern-pentathlon,OK,2026-07-09,"Officiel UIPM-side. Underbygger moderne femkamp med fægtning, svømning, ridning samt kombineret løb og skydning/laser-run."
Sportsgrene og discipliner,"Hvilken atletikdisciplin bruger et kugleformet metalredskab, der stødes fra skulderen?",600,kuglestød,diskoskast,hammerkast,spydkast,,,,World Athletics – Shot Put,https://worldathletics.org/disciplines/throws/shot-put,OK,2026-07-09,"Officiel atletikside. Underbygger kuglestød med kugleformet metalredskab, der stødes fra skulderen."
Sportsgrene og discipliner,"Hvilken cykeldisciplin køres på en stejl, oval indendørs eller udendørs bane?",700,banecykling,mountainbike,BMX freestyle,landevejscykling,,,,UCI – Track Cycling,https://www.uci.org/discipline/track/12EvqCznGJ3BWwzfgjbo3E,OK,2026-07-09,"Officiel cykelside. Underbygger banecykling på oval, stejl bane/velodrom."
Sportsgrene og discipliner,Hvilken vandsport har discipliner som kajak og canadier på fladt vand?,800,sprintkajak og -kano,roning,sejlsport,vandpolo,,,,ICF – Canoe Sprint,https://www.canoeicf.com/disciplines/canoe-sprint,OK,2026-07-09,Officiel ICF-side. Underbygger sprintkajak/-kano på fladt vand med kajak og canadier/canoe.
