Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘queso’?,100,ost,æble,brød,mælk,,,,Wiktionary – queso,https://en.wiktionary.org/wiki/queso,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘pan’?,200,brød,æble,ost,mælk,,,,Wiktionary – pan,https://en.wiktionary.org/wiki/pan,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘leche’?,300,mælk,æble,ost,brød,,,,Wiktionary – leche,https://en.wiktionary.org/wiki/leche,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘lunes’?,400,mandag,vi ses i morgen,i går,snart,,,,Wiktionary – lunes,https://en.wiktionary.org/wiki/lunes,OK,2026-07-09,Åben ordbogsartikel. Underbygger betydningen af det spanske ord eller udtryk.
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘hasta mañana’?,500,vi ses i morgen,mandag,i går,snart,,,,Wiktionary – hasta mañana,https://en.wiktionary.org/wiki/hasta_ma%C3%B1ana,OK,2026-07-09,Åben ordbogs-/phrasebookartikel. Underbygger betydningen “vi ses i morgen/indtil i morgen”.
Grammatik og udtale,Hvilket ord betyder “der er” i nutid?,100,hay,es,está,tiene,,,,Wiktionary – hay,https://en.wiktionary.org/wiki/hay,OK,2026-07-09,Åben ordbogsartikel. Underbygger hay som udtryk for “der er/der findes”.
Grammatik og udtale,Hvilken form af “tener” passer til “yo”?,200,tengo,tiene,tenemos,tienes,,,,Wiktionary – tener,https://en.wiktionary.org/wiki/tener,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formen tengo af tener.
Grammatik og udtale,Hvilken form af “ir” passer til “nosotros”?,300,vamos,van,vais,voy,,,,Wiktionary – ir,https://en.wiktionary.org/wiki/ir,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formerne vamos og fui af ir.
Grammatik og udtale,Hvad er præteritumsformen af “ir” med “yo”?,400,fui,iba,voy,iré,,,,Wiktionary – ir,https://en.wiktionary.org/wiki/ir,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formerne vamos og fui af ir.
Grammatik og udtale,Hvilken form er imperfektum af “ser” med “yo”?,500,era,fui,soy,sería,,,,Wiktionary – ser,https://en.wiktionary.org/wiki/ser,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formen era af ser.
Kunst og kultur,Hvem skrev værket “La ciudad y los perros”?,100,Mario Vargas Llosa,Isabel Allende,Pablo Neruda,Octavio Paz,,,,Wikipedia – The Time of the Hero,https://en.wikipedia.org/wiki/The_Time_of_the_Hero,OK,2026-07-09,Åben artikel om romanen La ciudad y los perros/The Time of the Hero. Underbygger Mario Vargas Llosa som forfatter.
