Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Første Verdenskrig,Hvilken person blev myrdet i Sarajevo og udløste julikrisen i 1914?,100,Franz Ferdinand,Wilhelm 2.,Nikolaj 2.,Georges Clemenceau,,,,Wikipedia – Assassination of Archduke Franz Ferdinand,https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand,OK,2026-07-09,Åben artikel om mordet på Franz Ferdinand og julikrisens udløsning.
Første Verdenskrig,Hvad kaldtes den tyske plan om hurtigt at besejre Frankrig via Belgien?,200,Schlieffenplanen,Moltke-doktrinen,Zimmermannplanen,Hindenburgprogrammet,,,,Wikipedia – Schlieffen Plan,https://en.wikipedia.org/wiki/Schlieffen_Plan,OK,2026-07-09,Åben artikel om Schlieffenplanen og den tyske strategi via Belgien.
Første Verdenskrig,Hvilken krigsform prægede Vestfronten i lange perioder?,300,skyttegravskrig,ørkenkrig,bjergguerilla,søblokade,,,,Wikipedia – Trench warfare,https://en.wikipedia.org/wiki/Trench_warfare,OK,2026-07-09,"Åben artikel om skyttegravskrig, særligt på Første Verdenskrigs vestfront."
Anden Verdenskrig i Europa,Hvad betyder betegnelsen blitzkrieg?,100,lynkrig,ubådskrig,stillingskrig,luftbro,,,,Wikipedia – Blitzkrieg,https://en.wikipedia.org/wiki/Blitzkrieg,OK,2026-07-09,Åben artikel om blitzkrieg som lynkrig og hurtig kombineret krigsførelse.
Anden Verdenskrig i Europa,Hvornår erklærede Storbritannien og Frankrig krig mod Tyskland?,200,3. september 1939,1. september 1939,9. april 1940,22. juni 1941,,,,Wikipedia – United Kingdom declaration of war on Germany (1939),https://en.wikipedia.org/wiki/United_Kingdom_declaration_of_war_on_Germany_(1939),OK,2026-07-09,Åben artikel om den britiske krigserklæring 3. september 1939; Frankrig erklærede krig samme dag.
Anden Verdenskrig i Europa,Hvad hed ikke-angrebspagten mellem Tyskland og Sovjetunionen fra august 1939?,300,Molotov-Ribbentrop-pagten,Münchenaftalen,Stålpagten,Locarnopagten,,,,Wikipedia – Molotov–Ribbentrop Pact,https://en.wikipedia.org/wiki/Molotov%E2%80%93Ribbentrop_Pact,OK,2026-07-09,Åben artikel om Molotov-Ribbentrop-pagten fra august 1939.
Global krig og Holocaust,Hvilket land erklærede USA krig mod den 8. december 1941?,100,Japan,Tyskland,Italien,Sovjetunionen,,,,Wikipedia – United States declaration of war on Japan,https://en.wikipedia.org/wiki/United_States_declaration_of_war_on_Japan,OK,2026-07-09,Åben artikel om USA’s krigserklæring mod Japan 8. december 1941.
Global krig og Holocaust,Hvilket søslag i juni 1942 blev et afgørende vendepunkt i Stillehavskrigen?,200,Midway,Coral Sea,Leyte Gulf,Guadalcanal,,,,Wikipedia – Battle of Midway,https://en.wikipedia.org/wiki/Battle_of_Midway,OK,2026-07-09,Åben artikel om slaget ved Midway i juni 1942 som vendepunkt i Stillehavskrigen.
"Danmark, Norden og efterspil",Hvad kaldes den danske regerings linje over for besættelsesmagten frem til august 1943?,100,samarbejdspolitikken,neutralitetspolitikken,modstandsregeringen,Atlantpagten,,,,Wikipedia – German occupation of Denmark,https://en.wikipedia.org/wiki/German_occupation_of_Denmark,OK,2026-07-09,"Åben artikel om den tyske besættelse af Danmark, samarbejdspolitik og modstand."
"Danmark, Norden og efterspil",På hvilken dato ophørte den danske regering med at fungere efter tyske krav og uroligheder?,200,29. august 1943,9. april 1940,4. maj 1945,19. september 1944,,,,Danmarkshistorien/Lex – Augustoprøret 29. august 1943,https://danmarkshistorien.lex.dk/Augustopr%C3%B8ret_29._august_1943,OK,2026-07-09,"Dansk fagkilde om augustoprøret, regeringens ophør og samarbejdspolitikkens sammenbrud 29. august 1943."
