Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Konger, krige og demokrati",På hvilken dato lød befrielsesbudskabet over BBC til Danmark i 1945?,100,4. maj,5. maj,9. april,29. august,,,,"Befrielsesbudskabet, 4. maj 1945 - Læs BBC's udsendelse - Lex",https://danmarkshistorien.lex.dk/Befrielsesbudskabet%2C_4._maj_1945,OK_KILDE_TILFØJET,2026-07-09,Underbygger befrielsesbudskabet den 4. maj 1945.
"Konger, krige og demokrati",Hvem blev Danmarks første kvindelige minister i 1924?,200,Nina Bang,Bodil Koch,Lis Groes,Ingrid Jespersen,,,,"Nina Bang, 1866-1928 - Danmarkshistorien",https://danmarkshistorien.lex.dk/Nina_Bang%2C_1866-1928,OK_KILDE_TILFØJET,2026-07-09,Underbygger Nina Bang som Danmarks første kvindelige minister i 1924.
"Konger, krige og demokrati",Hvilket år forbindes systemskiftet med parlamentarismens gennembrud i Danmark?,300,1901,1849,1915,1953,,,,Systemskiftet 1901 – Danmarkshistorien | Lex,https://danmarkshistorien.lex.dk/Systemskiftet_1901,OK_KILDE_TILFØJET,2026-07-09,Underbygger parlamentarismens gennembrud ved systemskiftet i 1901.
"Konger, krige og demokrati",Hvilket år fik danske kvinder valgret til Folketinget?,400,1915,1901,1920,1953,,,,Kvindelig valgret 1849-1915 - Danmarkshistorien,https://danmarkshistorien.lex.dk/Kvindelig_valgret_1849-1915,OK_KILDE_TILFØJET,2026-07-09,Underbygger kvinders valgret til Folketinget ved grundlovsændringen i 1915.
"Byer, øer og landskaber",Hvad hedder Danmarks højeste naturlige punkt?,100,Møllehøj,Himmelbjerget,Yding Skovhøj,Ejer Bavnehøj,,,,Møllehøj – Lex,https://lex.dk/M%C3%B8lleh%C3%B8j,OK_KILDE_TILFØJET,2026-07-09,Underbygger Møllehøj som Danmarks højeste naturlige punkt.
"Byer, øer og landskaber",Hvad hedder Danmarks længste vandløb?,200,Gudenåen,Skjern Å,Susåen,Storå,,,,Gudenå – Lex,https://lex.dk/Guden%C3%A5,OK_KILDE_TILFØJET,2026-07-09,Underbygger Gudenåen som Danmarks længste vandløb.
"Byer, øer og landskaber",Hvad hedder Danmarks største sø målt efter areal?,300,Arresø,Esrum Sø,Mossø,Furesø,,,,Arresø – Lex,https://lex.dk/Arres%C3%B8,OK_KILDE_TILFØJET,2026-07-09,Underbygger Arresø som Danmarks største sø målt efter areal.
"Byer, øer og landskaber",Hvilken større nordjysk by ligger ved Limfjorden?,400,Aalborg,Viborg,Herning,Silkeborg,,,,Aalborg – Lex,https://lex.dk/Aalborg,OK_KILDE_TILFØJET,2026-07-09,Underbygger Aalborgs placering ved Limfjorden.
Oldtid og middelalder,Hvilket moselig blev fundet ved Grauballe nær Aarhus i 1952?,100,Grauballemanden,Tollundmanden,Rendswührenmanden,Bockstenmanden,,,,Grauballemanden - Danmarks bedst bevarede moselig - Lex,https://lex.dk/Grauballemanden,OK_KILDE_TILFØJET,2026-07-09,Underbygger Grauballemanden og fundet i 1952.
Oldtid og middelalder,Hvilket sølvkar fra jernalderen blev fundet i en mose ved Gundestrup i Himmerland?,200,Gundestrupkedlen,Himlingøjebægeret,Jellingbægeret,Hobybægrene,,,,Gundestrupkarret – Lex,https://lex.dk/Gundestrupkarret,OK_KILDE_TILFØJET,2026-07-09,Underbygger Gundestrupkarret som sølvkar fundet i Himmerland.
Oldtid og middelalder,Hvilket par oldtidsfund fra Gallehus bar blandt andet en tidlig runeindskrift?,300,Guldhornene,Viksøhjelmene,Lurerne,Dejbjergvognene,,,,guldhornene – Lex,https://lex.dk/guldhornene,OK_KILDE_TILFØJET,2026-07-09,Underbygger Guldhornene og runeindskriften.
Oldtid og middelalder,Hvilken konge lod den store Jellingsten rejse?,400,Harald Blåtand,Gorm den Gamle,Svend Tveskæg,Knud den Store,,,,Jellingstenene – Den store og den lille Jellingsten – Lex,https://lex.dk/Jellingstenene,OK_KILDE_TILFØJET,2026-07-09,"Underbygger Harald Blåtand, den store Jellingsten og kristningen af danerne."
Kulturhistorie og samfund,Hvilken tænker forbindes stærkt med idégrundlaget for den danske folkehøjskole?,100,N.F.S. Grundtvig,Søren Kierkegaard,Georg Brandes,Ludvig Holberg,,,,Grundtvig – Lex,https://lex.dk/Grundtvig,OK_KILDE_TILFØJET,2026-07-09,Underbygger Grundtvigs betydning for folkehøjskolen.
Kulturhistorie og samfund,Hvilken skolemand omsatte mange af Grundtvigs tanker i praktisk højskole- og friskolearbejde?,200,Christen Kold,Johan Borup,Jørgen Bukdahl,Poul la Cour,,,,Grundtvig – Lex,https://lex.dk/Grundtvig,OK_KILDE_TILFØJET,2026-07-09,Underbygger Grundtvigs betydning for folkehøjskolen.
Kulturhistorie og samfund,"Hvad kaldes virksomhedsformen, hvor medlemmerne ejer og driver en virksomhed i fællesskab?",300,andelsselskab,aktieselskab,statsvirksomhed,enkeltmandsfirma,,,,andelsselskab – Lex,https://lex.dk/andelsselskab,OK_KILDE_TILFØJET,2026-07-09,Underbygger andelsselskab som virksomhedsform.
