Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Retter og hjemsteder,Hvilken vietnamesisk nudelsuppe laves typisk med aromatisk bouillon og risnudler?,100,phở,ramen,laksa,udon,,,,Wikipedia – Pho,https://en.wikipedia.org/wiki/Pho,OK,2026-07-09,Åben oversigtsartikel. Underbygger phở som vietnamesisk nudelsuppe med bouillon og risnudler.
Retter og hjemsteder,"Hvilken thailandsk ret består typisk af wokstegte risnudler med tamarind, æg og ofte jordnødder?",200,pad thai,bibimbap,nasi goreng,chow mein,,,,Wikipedia – Stir frying,https://en.wikipedia.org/wiki/Stir_frying,OK,2026-07-09,Åben oversigtsartikel. Underbygger wokstegning/stir frying som hurtig tilberedning ved høj varme under omrøring.
Retter og hjemsteder,Hvilken koreansk ret betyder omtrent “blandet ris” og serveres med forskellige grøntsager og ofte æg?,300,bibimbap,kimchi,bulgogi,tteokbokki,,,,Wikipedia – Bibimbap,https://en.wikipedia.org/wiki/Bibimbap,OK,2026-07-09,"Åben oversigtsartikel. Underbygger bibimbap som koreansk “blandet ris” med grønt, æg og andet fyld."
Ingredienser og teknikker,Hvilken type gæring omdanner sukker til mælkesyre i blandt andet kimchi og surkål?,100,mælkesyregæring,alkoholisk destillation,eddikesyrefri tørring,maillardreaktion,,,,Wikipedia – Lactic acid fermentation,https://en.wikipedia.org/wiki/Lactic_acid_fermentation,OK,2026-07-09,"Åben oversigtsartikel. Underbygger mælkesyregæring som fermentering, hvor sukker omdannes til mælkesyre."
Ingredienser og teknikker,Hvad betyder confit traditionelt som tilberedningsmetode?,200,langsom tilberedning og opbevaring i fedt,hurtig stegning over åben ild,tørring i sukker,kogning i saltvand,,,,Wikipedia – Confit,https://en.wikipedia.org/wiki/Confit,OK,2026-07-09,"Åben oversigtsartikel. Underbygger confit som langsom tilberedning og konservering, ofte i fedt."
Ingredienser og teknikker,"Hvilken metode tilbereder vakuumpakket mad ved præcist kontrolleret, relativt lav temperatur?",300,sous vide,flambering,gratinering,fritering,,,,Wikipedia – Sous vide,https://en.wikipedia.org/wiki/Sous_vide,OK,2026-07-09,Åben oversigtsartikel. Underbygger sous vide som vakuum-/posebaseret tilberedning ved præcist kontrolleret lavere temperatur.
"Brød, sødt og drikke",Hvilket fladbrød bages ofte på indersiden af en tandoor i Syd- og Centralasien?,100,naan,pita,focaccia,injera,,,,Wikipedia – Naan,https://en.wikipedia.org/wiki/Naan,OK,2026-07-09,Åben oversigtsartikel. Underbygger naan som fladbrød bagt i tandoor i Syd- og Centralasien.
"Brød, sødt og drikke","Hvilket fladbrød danner ofte en lomme, når det bages?",200,pita,baguette,brioche,lavash,,,,Wikipedia – Pita,https://en.wikipedia.org/wiki/Pita,OK,2026-07-09,"Åben oversigtsartikel. Underbygger pita som fladbrød, der kan danne en lomme under bagning."
Måltider og madkultur,"Hvad kaldes et udvalg af små retter, der deles i det østlige Middelhav og Mellemøsten?",100,mezze,antipasti,dim sum,pintxos,,,,Wikipedia – Meze,https://en.wikipedia.org/wiki/Meze,OK,2026-07-09,Åben oversigtsartikel. Underbygger mezze som udvalg af små retter delt i Østmiddelhavet og Mellemøsten.
Måltider og madkultur,Hvad kaldes den svenske pause med kaffe og ofte noget sødt?,200,fika,siesta,aperitivo,yum cha,,,,Wikipedia – Fika,https://en.wikipedia.org/wiki/Fika_(Sweden),OK,2026-07-09,Åben oversigtsartikel. Underbygger fika som svensk kaffepause med socialt samvær og ofte noget sødt.
