Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Renæssance og barok,Hvem komponerede værket “Kanon i D-dur”?,100,Johann Pachelbel,Arcangelo Corelli,Dieterich Buxtehude,Georg Philipp Telemann,,,,Wikipedia – Pachelbel's Canon,https://en.wikipedia.org/wiki/Pachelbel%27s_Canon,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “Water Music”?,200,Georg Friedrich Händel,Johann Sebastian Bach,Antonio Vivaldi,Henry Purcell,,,,Wikipedia – Water Music (Handel),https://en.wikipedia.org/wiki/Water_Music_(Handel),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,"Hvem komponerede værket “Gloria i D-dur, RV 589”?",300,Antonio Vivaldi,Johann Sebastian Bach,Georg Friedrich Händel,Henry Purcell,,,,Wikipedia – Gloria (Vivaldi),https://en.wikipedia.org/wiki/Gloria_(Vivaldi),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,Hvem komponerede værket “The Fairy Queen”?,400,Henry Purcell,Johann Sebastian Bach,Georg Friedrich Händel,Antonio Vivaldi,,,,Wikipedia – The Fairy-Queen,https://en.wikipedia.org/wiki/The_Fairy-Queen,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Renæssance og barok,"Hvem komponerede værket “Julekoncerten, opus 6 nr. 8”?",500,Arcangelo Corelli,Johann Pachelbel,Dieterich Buxtehude,Georg Philipp Telemann,,,,Wikipedia – Christmas Concerto,https://en.wikipedia.org/wiki/Christmas_Concerto,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,Hvem komponerede værket “Måneskinssonaten”?,100,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Joseph Haydn,Luigi Boccherini,,,,Wikipedia – Piano Sonata No. 14 (Beethoven),https://en.wikipedia.org/wiki/Piano_Sonata_No._14_(Beethoven),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,Hvem komponerede værket “Eine kleine Nachtmusik”?,200,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Joseph Haydn,Luigi Boccherini,,,,Wikipedia – Eine kleine Nachtmusik,https://en.wikipedia.org/wiki/Eine_kleine_Nachtmusik,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,"Hvem komponerede værket “Klarinetkoncerten i A-dur, K. 622”?",300,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Franz Schubert,Carl Maria von Weber,,,,Wikipedia – Clarinet Concerto (Mozart),https://en.wikipedia.org/wiki/Clarinet_Concerto_(Mozart),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,Hvem komponerede værket “Kejserkvartetten”?,400,Joseph Haydn,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Luigi Boccherini,,,,"Wikipedia – String Quartet Op. 76, No. 3 (Haydn)","https://en.wikipedia.org/wiki/String_Quartet_Op._76,_No._3_(Haydn)",OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Klassik og tidlig romantik,"Hvem komponerede værket “Menuetten fra strygekvintetten i E-dur, opus 11 nr. 5”?",500,Luigi Boccherini,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Joseph Haydn,,,,Wikipedia – String Quintet No. 5 (Boccherini),https://en.wikipedia.org/wiki/String_Quintet_No._5_(Boccherini),OK,2026-07-09,"Åben værkside om Boccherinis strygekvintet i E-dur, opus 11 nr. 5, og det berømte menuet-sats."
Romantik og nationalromantik,Hvem komponerede værket “Carmen”?,100,Georges Bizet,Richard Wagner,Giuseppe Verdi,Giacomo Puccini,,,,Wikipedia – Carmen,https://en.wikipedia.org/wiki/Carmen,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Romantik og nationalromantik,Hvem komponerede værket “Aida”?,200,Giuseppe Verdi,Richard Wagner,Giacomo Puccini,Georges Bizet,,,,Wikipedia – Aida,https://en.wikipedia.org/wiki/Aida,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Romantik og nationalromantik,Hvem komponerede værket “La bohème”?,300,Giacomo Puccini,Richard Wagner,Giuseppe Verdi,Georges Bizet,,,,Wikipedia – La bohème,https://en.wikipedia.org/wiki/La_boh%C3%A8me,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
Romantik og nationalromantik,"Hvem komponerede værket “Vltava, også kaldet Moldau”?",400,Bedřich Smetana,Johannes Brahms,Pjotr Tjajkovskij,Antonín Dvořák,,,,Wikipedia – Má vlast,https://en.wikipedia.org/wiki/M%C3%A1_vlast,OK,2026-07-09,"Åben værkside om Má vlast, hvor Vltava/Moldau indgår og Smetana er komponist."
Romantik og nationalromantik,Hvem komponerede værket “Tristan und Isolde”?,500,Richard Wagner,Giuseppe Verdi,Giacomo Puccini,Georges Bizet,,,,Wikipedia – Tristan und Isolde,https://en.wikipedia.org/wiki/Tristan_und_Isolde,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
1900-tallet og Norden,Hvem komponerede værket “Rhapsody in Blue”?,100,George Gershwin,Benjamin Britten,Aaron Copland,Leonard Bernstein,,,,Wikipedia – Rhapsody in Blue,https://en.wikipedia.org/wiki/Rhapsody_in_Blue,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
1900-tallet og Norden,"Hvem komponerede værket “Symfoni nr. 5 i d-mol, opus 47”?",200,Dmitrij Sjostakovitj,Béla Bartók,Sergej Prokofjev,Leoš Janáček,,,,Wikipedia – Symphony No. 5 (Shostakovich),https://en.wikipedia.org/wiki/Symphony_No._5_(Shostakovich),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
1900-tallet og Norden,Hvem komponerede værket “War Requiem”?,300,Benjamin Britten,Aaron Copland,George Gershwin,Leonard Bernstein,,,,Wikipedia – War Requiem,https://en.wikipedia.org/wiki/War_Requiem,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
1900-tallet og Norden,Hvem komponerede værket “Appalachian Spring”?,400,Aaron Copland,Benjamin Britten,George Gershwin,Leonard Bernstein,,,,Wikipedia – Appalachian Spring,https://en.wikipedia.org/wiki/Appalachian_Spring,OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
1900-tallet og Norden,Hvem komponerede værket “Sinfonietta fra 1926”?,500,Leoš Janáček,Béla Bartók,Sergej Prokofjev,Dmitrij Sjostakovitj,,,,Wikipedia – Sinfonietta (Janáček),https://en.wikipedia.org/wiki/Sinfonietta_(Jan%C3%A1%C4%8Dek),OK,2026-07-09,Åben værkside/oversigtsartikel der kobler værket eller katalogbetegnelsen til den rigtige komponist.
