Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Grækenland og Rom,Hvad hedder Artemis i den romerske gudeverden?,100,Diana,Venus,Minerva,Proserpina,,,,Wikipedia – Diana (mythology),https://en.wikipedia.org/wiki/Diana_(mythology),OK,2026-07-09,Åben artikel der underbygger den romerske gud og koblingen til den græske parallel i spørgsmålet.
Grækenland og Rom,Hvad hedder Hefaistos i den romerske gudeverden?,200,Vulkan,Mars,Merkur,Neptun,,,,Wikipedia – Vulcan (mythology),https://en.wikipedia.org/wiki/Vulcan_(mythology),OK,2026-07-09,Åben artikel der underbygger den romerske gud og koblingen til den græske parallel i spørgsmålet.
Grækenland og Rom,Hvad hedder Demeter i den romerske gudeverden?,300,Ceres,Vesta,Juno,Flora,,,,Wikipedia – Ceres (mythology),https://en.wikipedia.org/wiki/Ceres_(mythology),OK,2026-07-09,Åben artikel der underbygger den romerske gud og koblingen til den græske parallel i spørgsmålet.
Grækenland og Rom,Hvad hedder Dionysos ofte i den romerske gudeverden?,400,Bacchus,Janus,Faunus,Quirinus,,,,Wikipedia – Dionysus,https://en.wikipedia.org/wiki/Dionysus,OK,2026-07-09,Åben artikel der beskriver Dionysos/Bacchus som græsk-romersk vin- og teatergud.
Grækenland og Rom,Hvilken helt udfører de tolv arbejder i græsk mytologi?,500,Herakles,Perseus,Theseus,Jason,,,,Wikipedia – Heracles,https://en.wikipedia.org/wiki/Heracles,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken helt dræber Minotauros i labyrinten på Kreta?,600,Theseus,Achilleus,Odysseus,Bellerofon,,,,Wikipedia – Theseus,https://en.wikipedia.org/wiki/Theseus,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken helt hugger hovedet af Medusa?,700,Perseus,Herakles,Orfeus,Ajax,,,,Wikipedia – Perseus,https://en.wikipedia.org/wiki/Perseus,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,"Hvad hedder Odysseus’ hustru, som venter på Ithaka?",800,Penelope,Andromache,Helena,Ariadne,,,,Wikipedia – Penelope,https://en.wikipedia.org/wiki/Penelope,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Egyptens gudeverden,"Hvad kaldes den store slange, som angriber Ras solbåd om natten?",100,Apophis,Mehen,Ammit,Wadjet,,,,Wikipedia – Apep,https://en.wikipedia.org/wiki/Apep,OK,2026-07-09,"Åben artikel om Apep/Apophis som den store slange, der angriber Ras solbåd."
Egyptens gudeverden,Hvilken gudinde personificerer himlen og afbildes ofte hvælvet over jorden?,200,Nut,Tefnut,Neith,Selket,,,,Wikipedia – Nut (goddess),https://en.wikipedia.org/wiki/Nut_(goddess),OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
