Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Symboler og navne,Hvilket grundstof har symbolet Cr?,100,Krom,Mangan,Gallium,Sølv,,,,Royal Society of Chemistry – Krom/chromium,https://periodic-table.rsc.org/element/24/chromium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for mangan?,200,Mn,Co,Se,Ba,,,,Royal Society of Chemistry – Mangan/manganese,https://periodic-table.rsc.org/element/25/manganese,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvilket grundstof har symbolet Fe?,300,Jern,Kobolt,Arsen,Jod,,,,Royal Society of Chemistry – Jern/iron,https://periodic-table.rsc.org/element/26/iron,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for kobolt?,400,Co,Cu,Kr,Au,,,,Royal Society of Chemistry – Kobolt/cobalt,https://periodic-table.rsc.org/element/27/cobalt,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvilket grundstof har symbolet Ni?,500,Nikkel,Kobber,Brom,Cæsium,,,,Royal Society of Chemistry – Nikkel/nickel,https://periodic-table.rsc.org/element/28/nickel,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for kobber?,600,Cu,Ga,Sn,Pb,,,,Royal Society of Chemistry – Kobber/copper,https://periodic-table.rsc.org/element/29/copper,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvilket grundstof har symbolet Zn?,700,Zink,Gallium,Sølv,Platin,,,,Royal Society of Chemistry – Zink/zinc,https://periodic-table.rsc.org/element/30/zinc,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for gallium?,800,Ga,As,Xe,Ra,,,,Royal Society of Chemistry – Gallium,https://periodic-table.rsc.org/element/31/gallium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for kobolt?,100,27,28,26,29,,,,Royal Society of Chemistry – Kobolt/cobalt,https://periodic-table.rsc.org/element/27/cobalt,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for nikkel?,200,28,29,27,30,,,,Royal Society of Chemistry – Nikkel/nickel,https://periodic-table.rsc.org/element/28/nickel,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for kobber?,300,29,30,28,31,,,,Royal Society of Chemistry – Kobber/copper,https://periodic-table.rsc.org/element/29/copper,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for zink?,400,30,31,29,32,,,,Royal Society of Chemistry – Zink/zinc,https://periodic-table.rsc.org/element/30/zinc,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for gallium?,500,31,32,30,33,,,,Royal Society of Chemistry – Gallium,https://periodic-table.rsc.org/element/31/gallium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for germanium?,600,32,33,31,34,,,,Royal Society of Chemistry – Germanium,https://periodic-table.rsc.org/element/32/germanium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for arsen?,700,33,34,32,35,,,,Royal Society of Chemistry – Arsen/arsenic,https://periodic-table.rsc.org/element/33/arsenic,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for selen?,800,34,35,33,36,,,,Royal Society of Chemistry – Selen/selenium,https://periodic-table.rsc.org/element/34/selenium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Grupper og egenskaber,Hvilket grundstof er en halvleder og grundlaget for mange computerchips?,100,Silicium,Natrium,Argon,Brom,,,,Royal Society of Chemistry – Silicium/silicon,https://periodic-table.rsc.org/element/14/silicon,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Grupper og egenskaber,Hvilket grundstof har det højeste smeltepunkt blandt rene metaller?,200,Wolfram,Jern,Guld,Kviksølv,,,,Royal Society of Chemistry – Tungsten,https://periodic-table.rsc.org/element/74/tungsten,OK,2026-07-09,RSC-elementside. Underbygger wolframs meget høje smeltepunkt og brug i traditionelle glødepæretråde.
Grupper og egenskaber,Hvilket grundstof er kendt for at sublimere fra fast stof til violet damp?,300,Jod,Brom,Klor,Fluor,,,,Royal Society of Chemistry – Jod/iodine,https://periodic-table.rsc.org/element/53/iodine,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
