Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Historie og idégrundlag,Hvilket år blev den første særlige efterskolelov vedtaget?,100,1930,1849,1901,1975,,,,Efterskolens historie og værdigrundlag,https://www.efterskolerne.dk/om-efterskoleforeningen/efterskolens-historie-og-vaerdigrundlag/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger efterskolens historiske udvikling fra Ryslinge/Kristen Kold, Grundtvig-inspiration, grænseskoler, prøveadgang, lovændringer, Tinglev/Ladelund, elevstøtte og selvevaluering."
Historie og idégrundlag,Hvilket år fik efterskoler lov til at tilbyde enkelte af folkeskolens afgangsprøver?,200,1967,1930,1975,1994,,,,Efterskolens historie og værdigrundlag,https://www.efterskolerne.dk/om-efterskoleforeningen/efterskolens-historie-og-vaerdigrundlag/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger efterskolens historiske udvikling fra Ryslinge/Kristen Kold, Grundtvig-inspiration, grænseskoler, prøveadgang, lovændringer, Tinglev/Ladelund, elevstøtte og selvevaluering."
Historie og idégrundlag,Hvilket år fik efterskoler lov til at tilbyde alle folkeskolens afgangsprøver?,300,1975,1967,1982,2000,,,,Efterskolens historie og værdigrundlag,https://www.efterskolerne.dk/om-efterskoleforeningen/efterskolens-historie-og-vaerdigrundlag/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger efterskolens historiske udvikling fra Ryslinge/Kristen Kold, Grundtvig-inspiration, grænseskoler, prøveadgang, lovændringer, Tinglev/Ladelund, elevstøtte og selvevaluering."
Historie og idégrundlag,Hvad skete der med både elevtal og antal efterskoler omtrent fra 1975 til 2000?,400,de blev omtrent fordoblet,de blev halveret hvert år,de forsvandt helt,de blev fastlåst ved lov,,,,Efterskolens historie og værdigrundlag,https://www.efterskolerne.dk/om-efterskoleforeningen/efterskolens-historie-og-vaerdigrundlag/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger efterskolens historiske udvikling fra Ryslinge/Kristen Kold, Grundtvig-inspiration, grænseskoler, prøveadgang, lovændringer, Tinglev/Ladelund, elevstøtte og selvevaluering."
Historie og idégrundlag,Hvilken ændring i 1994 gjorde efterskoleophold økonomisk tilgængeligt for en bredere gruppe?,500,obligatorisk offentlig elevstøtte,afskaffelse af kost og logi,forbud mod skolepenge,gratis togdrift til alle skoler,,,,Efterskolens historie og værdigrundlag,https://www.efterskolerne.dk/om-efterskoleforeningen/efterskolens-historie-og-vaerdigrundlag/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger efterskolens historiske udvikling fra Ryslinge/Kristen Kold, Grundtvig-inspiration, grænseskoler, prøveadgang, lovændringer, Tinglev/Ladelund, elevstøtte og selvevaluering."
Skoleform og rammer,Hvilke tre fag er obligatoriske i en almindelig 10. klasse på efterskole?,100,"dansk, matematik og engelsk","latin, græsk og kemi","musik, idræt og billedkunst","tysk, fransk og spansk",,,,Om 10. klasse,https://uvm.dk/grundskole/folkeskolen/fag-og-indhold/10-klasse/om-10-klasse/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger 10. klasses obligatoriske fag dansk, matematik og engelsk, OSO, timetal og obligatorisk brobygning."
Skoleform og rammer,"Hvad er minimum for den ugentlige undervisningstid på efterskolekurser i 8., 9. og 10. klasse ifølge de gældende rammer?",200,21 timer eksklusive pauser,5 timer inklusive pauser,40 timer uden pauser,10 timer om måneden,,,,Om 10. klasse,https://uvm.dk/grundskole/folkeskolen/fag-og-indhold/10-klasse/om-10-klasse/,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger 10. klasses obligatoriske fag dansk, matematik og engelsk, OSO, timetal og obligatorisk brobygning."
Skoleform og rammer,Hvad kan en efterskole vælge i forhold til folkeskolens prøver i 8. og 9. klasse?,300,at afholde prøver eller være prøvefri efter reglerne,at opfinde nationale eksamensbeviser,at afskaffe karakterer i hele Danmark,at lade eleverne rette hinandens officielle prøver,,,,Privatister,https://uvm.dk/grundskole/folkeskolen/folkeskolens-proever/proevetilrettelaeggelse/elever-der-foelger-andre-undervisningstilbud/privatister/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at elever fra prøvefri skole eller andet undervisningstilbud kan aflægge folkeskolens prøver som privatister efter reglerne.
Skoleform og rammer,Hvad skal en prøvefri efterskole tydeligt oplyse om?,400,at skolen ikke afholder folkeskolens prøver,at skolen ikke har undervisning,at eleverne ikke må læse,at skolen er kommunal,,,,Privatister,https://uvm.dk/grundskole/folkeskolen/folkeskolens-proever/proevetilrettelaeggelse/elever-der-foelger-andre-undervisningstilbud/privatister/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at elever fra prøvefri skole eller andet undervisningstilbud kan aflægge folkeskolens prøver som privatister efter reglerne.
Skoleform og rammer,Hvordan kan en elev fra en prøvefri efterskole eventuelt aflægge folkeskolens prøver?,500,som privatist efter reglerne,kun som universitetsstuderende,ved at stemme om resultatet,uden tilmelding,,,,Privatister,https://uvm.dk/grundskole/folkeskolen/folkeskolens-proever/proevetilrettelaeggelse/elever-der-foelger-andre-undervisningstilbud/privatister/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at elever fra prøvefri skole eller andet undervisningstilbud kan aflægge folkeskolens prøver som privatister efter reglerne.
