Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Symboler og navne,Hvilket grundstof har symbolet Ne?,100,Neon,Natrium,Klor,Mangan,,,,Royal Society of Chemistry – Neon,https://periodic-table.rsc.org/element/10/neon,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for natrium?,200,Na,Al,Ca,Zn,,,,Royal Society of Chemistry – Natrium/sodium,https://periodic-table.rsc.org/element/11/sodium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvilket grundstof har symbolet Mg?,300,Magnesium,Aluminium,Kalium,Kobolt,,,,Royal Society of Chemistry – Magnesium,https://periodic-table.rsc.org/element/12/magnesium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvad er det kemiske symbol for aluminium?,400,Al,P,Cr,Ge,,,,Royal Society of Chemistry – Aluminium,https://periodic-table.rsc.org/element/13/aluminium,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Symboler og navne,Hvilket grundstof har symbolet Si?,500,Silicium,Fosfor,Titan,Kobber,,,,Royal Society of Chemistry – Silicium/silicon,https://periodic-table.rsc.org/element/14/silicon,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for silicium?,100,14,15,13,16,,,,Royal Society of Chemistry – Silicium/silicon,https://periodic-table.rsc.org/element/14/silicon,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for fosfor?,200,15,16,14,17,,,,Royal Society of Chemistry – Fosfor/phosphorus,https://periodic-table.rsc.org/element/15/phosphorus,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for svovl?,300,16,17,15,18,,,,Royal Society of Chemistry – Svovl/sulfur,https://periodic-table.rsc.org/element/16/sulfur,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for klor?,400,17,18,16,19,,,,Royal Society of Chemistry – Klor/chlorine,https://periodic-table.rsc.org/element/17/chlorine,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Atomnumre og system,Hvad er atomnummeret for argon?,500,18,19,17,20,,,,Royal Society of Chemistry – Argon,https://periodic-table.rsc.org/element/18/argon,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Grupper og egenskaber,Hvilket af disse grundstoffer er et jordalkalimetal?,100,Magnesium,Natrium,Klor,Jern,,,,Lex – alkalimetaller,https://lex.dk/alkalimetaller,OK,2026-07-09,"Dansk nationalleksikon. Underbygger gruppe 1-metallerne lithium, natrium, kalium, rubidium, cæsium og francium."
Grupper og egenskaber,Hvilket metal er flydende ved almindelig stuetemperatur?,200,Kviksølv,Jern,Guld,Aluminium,,,,Royal Society of Chemistry – Kviksølv/mercury,https://periodic-table.rsc.org/element/80/mercury,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Grupper og egenskaber,Hvilket ikke-metal er flydende ved almindelig stuetemperatur?,300,Brom,Klor,Jod,Svovl,,,,Royal Society of Chemistry – Kviksølv/mercury,https://periodic-table.rsc.org/element/80/mercury,OK,2026-07-09,"Åben RSC-elementside med atomnummer, atomtegn/symbol, placering, tilstandsform, egenskaber og anvendelser."
Grupper og egenskaber,Hvilket grundstof udgør den største del af Jordens atmosfære?,400,Kvælstof,Ilt,Argon,Kulstof,,,,NASA Astrobiology – Nitrogen May Be a Sign of Habitability,https://astrobiology.nasa.gov/news/nitrogen-may-be-a-sign-of-habitability-2/,OK,2026-07-09,NASA-side. Underbygger at ca. 78 % af Jordens atmosfære er kvælstof/nitrogen.
Grupper og egenskaber,Hvilket grundstof er det mest udbredte i universet?,500,Hydrogen,Helium,Ilt,Kulstof,,,,Royal Society of Chemistry – Hydrogen,https://periodic-table.rsc.org/element/1/hydrogen,OK,2026-07-09,"RSC-elementside. Underbygger hydrogen som grundstof nr. 1, letteste grundstof og almindeligste grundstof i universet."
Stoffer og anvendelser,Hvilket grundstof er hovedbestanddelen i grafitten i en blyant?,100,Kulstof,Bly,Silicium,Jern,,,,Lex – carbon,https://lex.dk/carbon,OK,2026-07-09,"Dansk nationalleksikon. Underbygger carbon/kulstof, diamant og grafit, herunder grafit i blyanter."
Stoffer og anvendelser,Hvilket metal bruges ofte til elektriske ledninger på grund af sin gode ledningsevne?,200,Kobber,Bly,Titan,Magnesium,,,,Royal Society of Chemistry – Copper,https://periodic-table.rsc.org/element/29/copper,OK,2026-07-09,RSC-elementside. Underbygger kobber som god elektrisk leder og brug i elektriske ledninger.
Stoffer og anvendelser,Hvilket grundstof tilsættes ofte drikkevand og tandpasta i form af fluorider for at forebygge caries?,300,Fluor,Klor,Jod,Brom,,,,Lex – vand,https://lex.dk/vand,OK,2026-07-09,Dansk nationalleksikon. Underbygger vand som H₂O.
