Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Fødsel og udvikling,Hvor længe varer en kanins drægtighed typisk?,100,omkring 31-33 dage,omkring 10-12 dage,omkring 60-65 dage,omkring 90 dage,,,,Merck Veterinary Manual – Management of Rabbits,https://www.merckvetmanual.com/exotic-and-laboratory-animals/rabbits/management-of-rabbits,OK,2026-07-09,"Åben veterinær reference. Underbygger reproduktion, drægtighed, redekasse, kindling, kit/doe/buck, ungernes udvikling, håndopmadning, fravænning, håndtering, neutralisering og basal forebyggende pleje."
Fødsel og udvikling,Hvordan fødes kaninunger normalt med hensyn til pels?,200,nøgne,med fuld vinterpels,med dun som kyllinger,med skæl,,,,Merck Veterinary Manual – Management of Rabbits,https://www.merckvetmanual.com/exotic-and-laboratory-animals/rabbits/management-of-rabbits,OK,2026-07-09,"Åben veterinær reference. Underbygger reproduktion, drægtighed, redekasse, kindling, kit/doe/buck, ungernes udvikling, håndopmadning, fravænning, håndtering, neutralisering og basal forebyggende pleje."
Fødsel og udvikling,Hvordan fødes kaninunger normalt med hensyn til syn?,300,blinde,med fuldt udviklet syn,farveblinde men seende,med ét åbent øje,,,,Merck Veterinary Manual – Management of Rabbits,https://www.merckvetmanual.com/exotic-and-laboratory-animals/rabbits/management-of-rabbits,OK,2026-07-09,"Åben veterinær reference. Underbygger reproduktion, drægtighed, redekasse, kindling, kit/doe/buck, ungernes udvikling, håndopmadning, fravænning, håndtering, neutralisering og basal forebyggende pleje."
Rede og moderpleje,Hvorfor holder en hunkanin sig ofte væk fra reden det meste af døgnet?,100,for ikke at tiltrække rovdyr til ungerne,fordi hun ikke kan genkende dem,fordi hun kun spiser om vinteren,fordi ungerne er giftige,,,,Rabbit Welfare Association & Fund – What to Do About Accidental Rabbit Litters,https://rabbitwelfare.co.uk/welfare-need/accidental-litters/,OK,2026-07-09,"Åben kaninvelfærdsside. Underbygger moderens korte diegivning, at hun opholder sig væk fra reden, fede maver, kitternes udvikling, kritisk socialiseringsperiode og håndtering af uplanlagte kuld."
Rede og moderpleje,"Hvad er normalt, selv om det kan se ud som forsømmelse?",200,at moderen kun besøger reden kortvarigt,at moderen aldrig producerer mælk,at ungerne ligger i vand,at ungerne fodres med brød,,,,Merck Veterinary Manual – Management of Rabbits,https://www.merckvetmanual.com/exotic-and-laboratory-animals/rabbits/management-of-rabbits,OK,2026-07-09,"Åben veterinær reference. Underbygger reproduktion, drægtighed, redekasse, kindling, kit/doe/buck, ungernes udvikling, håndopmadning, fravænning, håndtering, neutralisering og basal forebyggende pleje."
Rede og moderpleje,Hvilket miljø har nyfødte kaninunger især brug for?,300,"varmt, tørt og roligt","koldt, vådt og lyst",støjende og blæsende,uden rede og skjul,,,,Merck Veterinary Manual – Management of Rabbits,https://www.merckvetmanual.com/exotic-and-laboratory-animals/rabbits/management-of-rabbits,OK,2026-07-09,"Åben veterinær reference. Underbygger reproduktion, drægtighed, redekasse, kindling, kit/doe/buck, ungernes udvikling, håndopmadning, fravænning, håndtering, neutralisering og basal forebyggende pleje."
Foder og sundhed,Hvorfor er fibre fra hø vigtige for kaniner?,100,de understøtter tarmbevægelser og tandslid,de stopper al tandvækst,de erstatter vand,de gør kaninen til drøvtygger,,,,MSD Veterinary Manual – Nutrition of Rabbits,https://www.msdvetmanual.com/exotic-and-laboratory-animals/rabbits/nutrition-of-rabbits,OK,2026-07-09,"Åben veterinær reference om kaniners ernæring. Underbygger fiberrig kost, hø, fordøjelsesmotilitet, blindtarmsfermentering, cecotrofer og B-vitaminer."
Foder og sundhed,Hvilket foder bør altid indføres gradvist hos unge kaniner?,200,nye grønne planter og grøntsager,friskt vand,hø,moderens mælk,,,,MSD Veterinary Manual – Nutrition of Rabbits,https://www.msdvetmanual.com/exotic-and-laboratory-animals/rabbits/nutrition-of-rabbits,OK,2026-07-09,"Åben veterinær reference om kaniners ernæring. Underbygger fiberrig kost, hø, fordøjelsesmotilitet, blindtarmsfermentering, cecotrofer og B-vitaminer."
Adfærd og ansvarligt kaninhold,Hvad er den bedste artsfællekontakt for en tamkanin?,100,en kompatibel kaninmakker,et spejl,en bamse alene,kun menneskelig kontakt,,,,RSPCA – Keeping Rabbits Together,https://www.rspca.org.uk/adviceandwelfare/pets/rabbits/company,OK,2026-07-09,"Åben dyrevelfærdsside. Underbygger at kaniner bør holdes med kompatibel kaninmakker, gradvis introduktion og at tidlig blid håndtering kan gøre menneskekontakt mindre stressende."
Adfærd og ansvarligt kaninhold,Hvad kaldes et glædesspring med vrid i luften?,200,binky,freeze,stomp,cast,,,,The Spruce Pets – Understanding Rabbit Behavior and Body Language,https://www.thesprucepets.com/rabbit-behavior-4025353,OK,2026-07-09,"Åben introduktion til kaninadfærd. Underbygger hverdagsord som binky, flop, chinning, circling og tænderskæren som kropssprog."
