Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Fysik og energi,Hvad kræver lyd for at kunne udbrede sig?,100,et stofligt medium,et absolut vakuum,synligt lys,et magnetfelt,,,,Physics LibreTexts – Fundamentals of Acoustics,https://phys.libretexts.org/Bookshelves/Waves_and_Acoustics/Acoustics/01%3A_Fundamentals/1.01%3A_Fundamentals_of_Acoustics,OK,2026-07-09,"Åben fysikkilde om lyd som trykbølger, der udbredes gennem gas, væske eller fast stof."
Fysik og energi,Hvilken farve i synligt lys har den længste bølgelængde?,200,rød,violet,blå,grøn,,,,OpenStax Physics – The Electromagnetic Spectrum,https://openstax.org/books/physics/pages/16-3-the-electromagnetic-spectrum,OK,2026-07-09,Åben fysikbog om lys og bølgelængder i det elektromagnetiske spektrum.
Fysik og energi,Hvilken farve i synligt lys har den korteste bølgelængde?,300,violet,rød,orange,gul,,,,OpenStax Physics – The Electromagnetic Spectrum,https://openstax.org/books/physics/pages/16-3-the-electromagnetic-spectrum,OK,2026-07-09,Åben fysikbog om lys og bølgelængder i det elektromagnetiske spektrum.
Fysik og energi,Hvilken linsetype samler parallelle lysstråler?,400,en konveks linse,en konkav linse,et plant spejl,et prisme uden brydning,,,,OpenStax Physics – Lenses,https://openstax.org/books/physics/pages/17-3-lenses,OK,2026-07-09,"Åben fysikbog om linser, herunder konvekse/samlende linser."
Fysik og energi,Hvilken regel gælder ved spejlende refleksion af lys?,500,Indfaldsvinklen er lig refleksionsvinklen,Indfaldsvinklen er altid 90°,Lyset mister hele sin fart,Refleksionsvinklen er altid halvdelen,,,,OpenStax Physics – Reflection,https://openstax.org/books/physics/pages/16-2-reflection,OK,2026-07-09,"Åben fysikbog om refleksion og reglen om, at indfaldsvinkel er lig refleksionsvinkel."
Fysik og energi,Hvad er SI-enheden for tryk?,600,pascal,newton,joule,hertz,,,,NIST – SI Units,https://www.nist.gov/pml/owm/metric-si/si-units,OK,2026-07-09,Officiel NIST-side om SI-systemets grundenheder og afledte enheder med særlige navne og symboler.
Fysik og energi,Hvad beregnes massefylde som?,700,masse divideret med rumfang,rumfang divideret med masse,kraft gange afstand,masse gange acceleration,,,,OpenStax Physics – Density,https://openstax.org/books/physics/pages/11-2-density,OK,2026-07-09,Åben fysikbog om massefylde/densitet som masse pr. volumen/rumfang.
Kemi og stoffer,"Hvad kaldes en homogen blanding, hvor et stof er opløst i et andet?",100,en opløsning,en suspension,et grundstof,en isotop,,,,Chemistry LibreTexts – Solutions,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry/13%3A_Solutions/13.01%3A_Introduction_to_Solutions,OK,2026-07-09,Åben kemikilde om opløsninger som homogene blandinger.
Kemi og stoffer,Hvilken metode bruges til at skille et uopløst fast stof fra en væske gennem et filter?,200,filtrering,destillation,kromatografi,sublimation,,,,Chemistry LibreTexts – Separating Mixtures,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_%28OpenStax%29/01%3A_Essential_Ideas/1.16%3A_Methods_for_Separating_Mixtures,OK,2026-07-09,"Åben kemikilde om adskillelse af blandinger, herunder filtrering og destillation."
Kemi og stoffer,Hvilken metode kan adskille væsker med forskellige kogepunkter?,300,destillation,filtrering,magnetisering,sedimentation alene,,,,Chemistry LibreTexts – Separating Mixtures,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_%28OpenStax%29/01%3A_Essential_Ideas/1.16%3A_Methods_for_Separating_Mixtures,OK,2026-07-09,"Åben kemikilde om adskillelse af blandinger, herunder filtrering og destillation."
Kemi og stoffer,Hvad kaldes bindingen mellem positivt og negativt ladede ioner?,400,ionbinding,kovalent binding,peptidbinding,friktionsbinding,,,,"Chemistry LibreTexts – Atoms, Molecules, and Ions",https://chem.libretexts.org/Courses/Lansing_Community_College/LCC%3A_Chem_151_-_General_Chemistry_I/Text/02%3A_Atoms_Molecules_and_Ions,OK,2026-07-09,"Åben kemikilde om protoner, neutroner, elektroner, atomnummer, isotoper og ioner."
Kemi og stoffer,Hvad kaldes overgangen fra væske til fast stof?,500,størkning,fordampning,sublimation,kondensation,,,,LibreTexts Chemistry – Phase Changes,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry/10%3A_Solids_Liquids_and_Gases/10.04%3A_Phase_Changes,OK,2026-07-09,"Åben kemikilde om faseovergange som smeltning, frysning/kondensering, fordampning og sublimation."
Kemi og stoffer,Hvad kaldes overgangen fra fast stof direkte til gas?,600,sublimation,kondensation,smeltning,frysning,,,,LibreTexts Chemistry – Phase Changes,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry/10%3A_Solids_Liquids_and_Gases/10.04%3A_Phase_Changes,OK,2026-07-09,"Åben kemikilde om faseovergange som smeltning, frysning/kondensering, fordampning og sublimation."
Jorden og vejret,Hvad kaldes vandets overgang fra væske til gas?,100,fordampning,kondensation,nedbør,infiltration,,,,LibreTexts Chemistry – Phase Changes,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry/10%3A_Solids_Liquids_and_Gases/10.04%3A_Phase_Changes,OK,2026-07-09,"Åben kemikilde om faseovergange som smeltning, frysning/kondensering, fordampning og sublimation."
