Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Lande og hovedstæder,Hvilket land har Bratislava som hovedstad?,100,Slovakiet,Bosnien-Hercegovina,Belarus,Sverige,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvad er hovedstaden i Ungarn?,200,Budapest,Sarajevo,Kyiv,Tbilisi,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvilket land har Ljubljana som hovedstad?,300,Slovenien,Montenegro,Schweiz,Island,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvad er hovedstaden i Kroatien?,400,Zagreb,Podgorica,Amsterdam,Oslo,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvilket land har Sarajevo som hovedstad?,500,Bosnien-Hercegovina,Nordmakedonien,Andorra,Letland,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvad er hovedstaden i Serbien?,600,Beograd,Skopje,Vaduz,Helsinki,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvilket land har Podgorica som hovedstad?,700,Montenegro,Rumænien,San Marino,Tyskland,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Lande og hovedstæder,Hvad er hovedstaden i Albanien?,800,Tirana,Bukarest,Monaco,Tallinn,,,,Lex – Europas hovedstæder,https://lex.dk/Europas_hovedst%C3%A6der,OK,2026-07-09,Dansk oversigt fra Lex over europæiske lande og hovedstæder. Underbygger land/hovedstad-relationen i spørgsmålet.
Kortet og naturen,Hvilken europæisk hovedstad gennemstrømmes af Donau og består historisk af Buda og Pest?,100,Budapest,Bratislava,Beograd,Bukarest,,,,Lex – Budapest,https://lex.dk/Budapest,OK,2026-07-09,Dansk Lex-artikel. Underbygger Budapest som Ungarns hovedstad ved Donau og historisk sammensat af Buda og Pest.
Kortet og naturen,Hvilken europæisk hovedstad ligger ved Tejo-flodens udmunding?,200,Lissabon,Madrid,Valletta,Athen,,,,Lex – Lissabon,https://lex.dk/Lissabon,OK,2026-07-09,Dansk Lex-artikel. Underbygger Lissabon som portugisisk hovedstad ved Tejo.
Kortet og naturen,"Hvilken europæisk hovedstad ligger ved Moldau, som på tjekkisk hedder Vltava?",300,Prag,Warszawa,Sofia,Zagreb,,,,Lex – Prag,https://lex.dk/Prag,OK,2026-07-09,Dansk Lex-artikel. Underbygger Prag som Tjekkiets hovedstad ved Moldau/Vltava.
Kortet og naturen,Hvilken nordisk hovedstad ligger på øerne Sjælland og Amager?,400,København,Stockholm,Oslo,Helsinki,,,,Lex – København,https://lex.dk/K%C3%B8benhavn,OK,2026-07-09,Dansk Lex-artikel. Underbygger København som dansk hovedstad og beliggenhed ved Sjælland/Amager.
