Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Solsystemets verdener,Hvilken planet er næststørst i Solsystemet?,100,Saturn,Jupiter,Uranus,Neptun,,,,"Saturn (planet) - Opbygning, måner og atmosfære - Lex",https://lex.dk/Saturn_-_planet,OK,2026-07-09,Dansk leksikonkilde; underbygger at Saturn er næststørste planet efter Jupiter.
Solsystemets verdener,Hvilken planet er mindst i Solsystemet?,200,Merkur,Mars,Venus,Jorden,,,,Merkur - Se liste over egenskaber - Udforskninger - Lex,https://lex.dk/Merkur,OK,2026-07-09,Dansk leksikonkilde; underbygger at Merkur er Solsystemets inderste og mindste planet.
Solsystemets verdener,"Hvilken planet har ringe, der blev opdaget i 1977?",300,Uranus,Mars,Venus,Merkur,,,,Uranus - Rummet.dk,https://www.vildmedrummet.dk/solsystemet/andre-planeter/uranus/,OK,2026-07-09,Dansk målgruppeegnet kilde; skriver at Uranus' tydeligste ringe blev opdaget i 1977.
Solsystemets verdener,Hvilken planets nordpol har et sekskantet skyfænomen?,400,Saturn,Jupiter,Uranus,Neptun,,,,Saturn's Hexagon in Motion,https://science.nasa.gov/mission/cassini/science/saturn/hexagon-in-motion/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde valgt frem for svagere danske kilder; underbygger sekskanten i skyerne ved Saturns nordpol.
Solsystemets verdener,"Hvilken planet har en dag på cirka 24 timer, mest lig Jordens?",500,Mars,Venus,Jupiter,Merkur,,,,Fakta om Mars - Rummet.dk,https://www.vildmedrummet.dk/solsystemet/mars/fakta-om-mars/,OK,2026-07-09,Dansk målgruppeegnet kilde; angiver Mars' omdrejningstid/døgnlængde omkring 24 timer og 40 minutter.
Solsystemets verdener,Hvilken planet blev opdaget i 1846 ved hjælp af matematiske forudsigelser?,600,Neptun,Uranus,Saturn,Mars,,,,"Neptun (planet) - Egenskaber, måner og atmosfære - Lex",https://lex.dk/Neptun_-_planet,OK,2026-07-09,Dansk leksikonkilde; underbygger opdagelsen i 1846 på grundlag af beregninger/forudsigelser.
Solsystemets verdener,"Hvilken planet blev den første, der blev opdaget med teleskop?",700,Uranus,Neptun,Saturn,Jupiter,,,,Uranus - Niels Bohr Institutet - Københavns Universitet,https://nbi.ku.dk/spoerg_om_fysik/planeterne/uranus/,OK,2026-07-09,Dansk universitetskilde; skriver at Uranus var den første planet opdaget ved hjælp af kikkert/teleskop.
Solsystemets verdener,"Hvilket navn har den zone omkring Solen, hvor flydende vand kan være muligt på en planets overflade?",800,Den beboelige zone,Asteroidebæltet,Kuiperbæltet,Heliopausen,,,,"Planeter i beboelig zone omkring de fleste stjerner, beregner forskere",https://nbi.ku.dk/nyheder/nyheder_15/planeter-i-beboelig-zone-omkring-de-fleste-stjerner-beregner-forskere/,OK,2026-07-09,Dansk universitetskilde; definerer den beboelige zone som området hvor flydende vand kan eksistere på en planets overflade.
Måner og smålegemer,"Hvad hedder asteroiden, som rumsonden OSIRIS-REx hentede prøver fra?",100,Bennu,Vesta,Eros,Pallas,,,,NASA's OSIRIS-REx Mission to Asteroid Bennu,https://science.nasa.gov/mission/osiris-rex/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde; underbygger at OSIRIS-REx indsamlede prøve fra asteroiden Bennu.
Måner og smålegemer,Hvad hedder den største genstand i asteroidebæltet?,200,Ceres,Vesta,Pallas,Hygiea,,,,Ceres – dværgplanet - Lex er Danmarks nationalleksikon,https://lex.dk/Ceres_-_dv%C3%A6rgplanet,OK,2026-07-09,Dansk leksikonkilde; underbygger Ceres som den største asteroide/genstand i asteroidebæltet.
Måner og smålegemer,Hvilken Saturn-måne har det enorme nedslagskrater Odysseus?,300,Tethys,Mimas,Rhea,Dione,,,,Odysseus Crater on Tethys: Moon of Saturn,https://science.nasa.gov/resource/odysseus-crater-on-tethys-moon-of-saturn/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde; underbygger at Odysseus er et stort krater på Saturn-månen Tethys.
