Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Krop og bevægelse,Hvor mange taktslag har skridt normalt?,100,fire,to,tre,fem,,,,Wikipedia – Horse gait,https://en.wikipedia.org/wiki/Horse_gait,OK,2026-07-09,"Åben artikel om hestens gangarter. Underbygger taktslag og benbevægelse i skridt, trav, galop/canter, gallop og pasgang."
Krop og bevægelse,Hvor mange taktslag har trav normalt?,200,to,tre,fire,ét,,,,Wikipedia – Horse gait,https://en.wikipedia.org/wiki/Horse_gait,OK,2026-07-09,"Åben artikel om hestens gangarter. Underbygger taktslag og benbevægelse i skridt, trav, galop/canter, gallop og pasgang."
Krop og bevægelse,Hvordan bevæger benene sig i almindelig trav?,300,i diagonale benpar,begge ben på samme side samtidig,alle fire ben samtidig,ét forben ad gangen uden bagben,,,,Wikipedia – Horse gait,https://en.wikipedia.org/wiki/Horse_gait,OK,2026-07-09,"Åben artikel om hestens gangarter. Underbygger taktslag og benbevægelse i skridt, trav, galop/canter, gallop og pasgang."
Krop og bevægelse,Hvad kaldes den store del af kroppen omkring ribbenene?,400,brystkassen,ganachen,pollen,koden,,,,The Spruce Pets – Horse Pictures: A Guide to the Different Parts of a Horse,https://www.thesprucepets.com/the-parts-of-a-horse-1887388,OK,2026-07-09,"Åben illustreret oversigt over hestens ydre kropsdele. Underbygger betegnelser som withers/manke, poll/nakke, croup/kryds, fetlock/kodeled, pastern/kode, cannon bone/pibeknogle, hock/hase og gaskin/underlår."
Krop og bevægelse,Hvad kaldes det muskuløse område mellem knæled og hase på bagbenet?,500,underlåret,underarmen,piben,brystkassen,,,,The Spruce Pets – Horse Pictures: A Guide to the Different Parts of a Horse,https://www.thesprucepets.com/the-parts-of-a-horse-1887388,OK,2026-07-09,"Åben illustreret oversigt over hestens ydre kropsdele. Underbygger betegnelser som withers/manke, poll/nakke, croup/kryds, fetlock/kodeled, pastern/kode, cannon bone/pibeknogle, hock/hase og gaskin/underlår."
Krop og bevægelse,Hvad er en “kastanje” på et hesteben?,600,"en hornagtig, hårløs hudfortykkelse",en ekstra hov,en farveplet i pelsen,en hævelse i kodeleddet,,,,The Spruce Pets – Horse Pictures: A Guide to the Different Parts of a Horse,https://www.thesprucepets.com/the-parts-of-a-horse-1887388,OK,2026-07-09,"Åben illustreret oversigt over hestens ydre kropsdele. Underbygger betegnelser som withers/manke, poll/nakke, croup/kryds, fetlock/kodeled, pastern/kode, cannon bone/pibeknogle, hock/hase og gaskin/underlår."
Krop og bevægelse,Hvad er en spore eller ergot på hestens ben?,700,en lille hornagtig udvækst ved kodeområdet,en ekstra tand,en del af øret,en knogle i halen,,,,The Spruce Pets – Horse Pictures: A Guide to the Different Parts of a Horse,https://www.thesprucepets.com/the-parts-of-a-horse-1887388,OK,2026-07-09,"Åben illustreret oversigt over hestens ydre kropsdele. Underbygger betegnelser som withers/manke, poll/nakke, croup/kryds, fetlock/kodeled, pastern/kode, cannon bone/pibeknogle, hock/hase og gaskin/underlår."
Pasning og sundhed,Hvorfor er kontakt med andre heste vigtig for de fleste heste?,100,heste er sociale flokdyr,heste lever naturligt altid alene,social kontakt erstatter behovet for vand,heste kan kun hvile uden artsfæller,,,,NFACC – Code of Practice for the Care and Handling of Equines,https://www.nfacc.ca/codes-of-practice/equine-code,OK,2026-07-09,"Åben praksiskode for hestehold. Underbygger daglig adgang til vand, foderstyring, social kontakt, motion/foldtid, pleje, ventilation og generel velfærd."
Pasning og sundhed,Hvad giver foldtid eller turnout blandt andet mulighed for?,200,"fri bevægelse, græsning og social adfærd",at undgå al motion,at leve uden læ eller vand,at erstatte hovpleje,,,,NFACC – Code of Practice for the Care and Handling of Equines,https://www.nfacc.ca/codes-of-practice/equine-code,OK,2026-07-09,"Åben praksiskode for hestehold. Underbygger daglig adgang til vand, foderstyring, social kontakt, motion/foldtid, pleje, ventilation og generel velfærd."
Pasning og sundhed,Hvad er et vigtigt formål med strigling?,300,at rense pels og hud og samtidig opdage sår eller hævelser,at ændre hestens knogler,at gøre hoven længere,at erstatte vaccination,,,,NFACC – Code of Practice for the Care and Handling of Equines,https://www.nfacc.ca/codes-of-practice/equine-code,OK,2026-07-09,"Åben praksiskode for hestehold. Underbygger daglig adgang til vand, foderstyring, social kontakt, motion/foldtid, pleje, ventilation og generel velfærd."
