Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Käse’?,100,ost,æble,brød,mælk,,,,Wiktionary – Käse,https://en.wiktionary.org/wiki/K%C3%A4se,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Brot’?,200,brød,æble,ost,mælk,,,,Wiktionary – Brot,https://en.wiktionary.org/wiki/Brot,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Milch’?,300,mælk,æble,ost,brød,,,,Wiktionary – Milch,https://en.wiktionary.org/wiki/Milch,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Montag’?,400,mandag,vi ses i morgen,i går,snart,,,,Wiktionary – Montag,https://en.wiktionary.org/wiki/Montag,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘bis morgen’?,500,vi ses i morgen,mandag,i går,snart,,,,Wiktionary – bis morgen,https://en.wiktionary.org/wiki/bis_morgen,OK,2026-07-09,"Åben ordbogsartikel. Underbygger betydningen, kønnet, bøjningen eller brugen af det tyske ord eller udtryk."
Grammatik og udtale,Hvilken form af “haben” passer til “wir”?,100,haben,habt,hat,habe,,,,Wiktionary – haben,https://en.wiktionary.org/wiki/haben,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formen haben til wir.
Grammatik og udtale,Hvilken form af “werden” passer til “er”?,200,wird,werde,werdet,werden,,,,Wiktionary – werden,https://en.wiktionary.org/wiki/werden,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger formen wird og futurum med werde + infinitiv.
Grammatik og udtale,Hvordan placeres det delte verbum i “Ich ___ um sieben Uhr ___”?,300,stehe … auf,aufstehe … ikke mere,auf … stehe,stehe auf … igen til sidst,,,,Dartmouth German Grammar – Separable Prefixes,https://germanstudiesdepartmenaluser.host.dartmouth.edu/Verbs/Separable.html,OK,2026-07-09,Åben tyskgrammatisk reference. Forklarer delte/separable verber og placeringen af forstavelsen.
Grammatik og udtale,Hvilken sætning står korrekt i perfektum?,400,Ich habe gearbeitet.,Ich bin gearbeitet.,Ich habe arbeiten.,Ich arbeitete gehabt.,,,,Dartmouth German Grammar – Present Perfect,https://germanstudiesdepartmenaluser.host.dartmouth.edu/Perfect/PresentPerfect.html,OK,2026-07-09,Åben tyskgrammatisk reference. Forklarer perfektum med haben/sein og participium.
Grammatik og udtale,Hvilket hjælpeverbum bruges normalt i perfektum af “gehen”?,500,sein,haben,werden,können,,,,Wiktionary – gehen,https://en.wiktionary.org/wiki/gehen,OK,2026-07-09,Åben bøjnings-/ordbogsartikel. Underbygger perfektum med sein ved bevægelsesverbet gehen.
Kunst og kultur,Hvem skrev værket “Die Klavierspielerin”?,100,Elfriede Jelinek,Hermann Hesse,Bertolt Brecht,Friedrich Dürrenmatt,,,,Wikipedia – The Piano Teacher (novel),https://en.wikipedia.org/wiki/The_Piano_Teacher_(novel),OK,2026-07-09,Åben artikel om romanen. Underbygger Elfriede Jelinek som forfatter.
